run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,circuit_type,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
c3470cd6,13,12,0,0.0,False,False,None,6.982696102118928,,,,,,,,,,,6.982696102118907,,0.999999999999997,,,,0.7896778583526611,0.7896778583526611,False,,0.0,0.0,,,0.8609275817871094,2026-06-17 19:02:48,x86_64,dacsgpu0001,,64,64,3.11.15,0.22,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,7,"[(0, 11), (3, 12), (10, 12), (8, 11), (1, 12), (4, 12), (10, 11), (2, 12), (5, 12), (6, 11), (7, 11), (9, 11)]",
bf440af3,15,14,0,0.0,False,False,None,7.500000000000004,,,,,,,,,,,7.499999999999997,,0.999999999999999,,,,0.49138355255126953,0.49138355255126953,False,,0.0,0.0,,,0.547184944152832,2026-06-17 19:02:48,x86_64,dacsgpu0001,,64,64,3.11.15,0.24,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,13,"[(9, 14), (4, 14), (5, 14), (0, 14), (13, 14), (8, 14), (3, 14), (10, 14), (11, 14), (6, 14), (1, 14), (12, 14), (7, 14), (2, 14)]",
9d109834,10,9,0,0.0,False,False,None,6.426031530825896,,,,,,,,,,,6.42603153082589,,0.999999999999999,,,,0.5585565567016602,0.5585565567016602,False,,0.0,0.0,,,0.6230337619781494,2026-06-17 19:02:48,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,12,"[(8, 9), (2, 6), (6, 9), (7, 9), (1, 5), (5, 9), (3, 7), (0, 9), (4, 8)]",
e78c719f,13,12,0,0.0,False,False,None,8.412105062808658,,,,,,,,,,,8.412105062808642,,0.9999999999999981,,,,1.087157964706421,1.087157964706421,False,,0.0,0.0,,,1.139024257659912,2026-06-17 19:02:49,x86_64,dacsgpu0001,,64,64,3.11.15,0.22,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,14,"[(8, 9), (7, 9), (7, 12), (10, 11), (5, 12), (0, 12), (6, 11), (1, 11), (4, 5), (8, 10), (3, 6), (2, 10)]",
ba736a28,10,9,0,0.0,False,False,None,6.478385494588447,,,,,,,,,,,6.478385494588453,,1.0000000000000009,,,,0.5923042297363281,0.5923042297363281,False,,0.0,0.0,,,0.6706218719482422,2026-06-17 19:02:50,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,16,"[(3, 9), (2, 7), (5, 7), (3, 5), (4, 6), (6, 8), (1, 8), (4, 9), (0, 9)]",
a85157ba,14,13,0,0.0,False,False,None,7.000000000000028,,,,,,,,,,,7.000000000000016,,0.9999999999999982,,,,3.0466742515563965,3.0466742515563965,False,,0.0,0.0,,,3.135789155960083,2026-06-17 19:02:50,x86_64,dacsgpu0001,,64,64,3.11.15,0.23,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,11,"[(1, 13), (12, 13), (7, 13), (2, 13), (9, 13), (4, 13), (5, 13), (0, 13), (8, 13), (3, 13), (10, 13), (11, 13), (6, 13)]",
5fffba04,10,9,0,0.0,False,False,None,6.443715856621124,,,,,,,,,,,6.443715856621155,,1.0000000000000049,,,,0.9179258346557617,0.9179258346557617,False,,0.0,0.0,,,0.9954462051391602,2026-06-17 19:02:50,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,15,"[(6, 9), (1, 9), (3, 5), (0, 7), (7, 9), (4, 6), (7, 8), (2, 8), (5, 8)]",
c5a688ce,10,10,0,0.0,False,False,None,6.784144874191839,,,,,,,,,,,6.784144874191867,,1.000000000000004,,,,0.426131010055542,0.426131010055542,False,,0.0,0.0,,,0.4838085174560547,2026-06-17 19:02:51,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,18,"[(8, 9), (3, 9), (2, 7), (1, 6), (5, 7), (7, 9), (6, 8), (5, 6), (4, 8), (0, 5)]",
dae5c0f6,9,9,0,0.0,False,False,None,6.167772188791707,,,,,,,,,,,6.167772188791695,,0.9999999999999981,,,,0.24204540252685547,0.24204540252685547,False,,0.0,0.0,,,0.28616809844970703,2026-06-17 19:02:51,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,19,"[(2, 7), (1, 6), (5, 7), (3, 5), (4, 6), (1, 8), (3, 4), (2, 8), (0, 8)]",
777cfd60,9,9,0,0.0,False,False,None,6.075672763737641,,,,,,,,,,,6.075672763737635,,0.999999999999999,,,,0.23106884956359863,0.23106884956359863,False,,0.0,0.0,,,0.3465743064880371,2026-06-17 19:02:51,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,20,"[(3, 5), (6, 8), (0, 6), (2, 8), (4, 5), (3, 7), (4, 8), (6, 7), (1, 7)]",
