run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,circuit_type,n_start,n_end,graph_generation_type,time_limit,failed_instance_termination_thrsh,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
f009cf04,8,24,0,0.0,False,False,None,10.000000000000028,,,,,,,,,,,10.000000000000028,,1.0,,,,0.015833139419555664,0.015833139419555664,False,,0.0,0.0,,,0.029352903366088867,2026-06-26 13:55:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,10,"[(2, 3), (2, 6), (3, 5), (4, 6), (0, 5), (1, 4), (0, 2), (1, 7), (5, 7), (4, 5), (3, 7), (2, 5), (1, 3), (0, 1), (1, 6), (0, 4), (0, 7), (5, 6), (3, 6), (2, 4), (2, 7), (4, 7), (1, 2), (0, 6)]",
4fa4275d,8,24,0,0.0,False,False,None,9.809016994374938,,,,,,,,,,,9.809016994374938,,1.0,,,,0.02202153205871582,0.02202153205871582,False,,0.0,0.0,,,0.0380406379699707,2026-06-26 13:55:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,11,"[(2, 3), (2, 6), (3, 5), (4, 6), (0, 5), (0, 2), (1, 7), (5, 7), (4, 5), (3, 7), (2, 5), (1, 3), (0, 1), (1, 6), (0, 4), (0, 7), (5, 6), (3, 6), (2, 4), (2, 7), (4, 7), (1, 2), (1, 5), (6, 7)]",
c800fe31,9,10,0,0.0,False,False,None,6.236411627771377,,,,,,,,,,,6.236411627771377,,1.0,,,,0.021303653717041016,0.021303653717041016,False,,0.0,0.0,,,0.03833341598510742,2026-06-26 13:55:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,12,"[(2, 7), (0, 1), (2, 3), (0, 4), (5, 7), (4, 6), (6, 8), (5, 6), (0, 6), (2, 4)]",
96e74ecf,9,21,0,0.0,False,False,None,9.960783523542847,,,,,,,,,,,9.960783523542847,,1.0,,,,0.029680967330932617,0.029680967330932617,False,,0.0,0.0,,,0.04433012008666992,2026-06-26 13:55:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,14,"[(2, 3), (2, 6), (3, 5), (7, 8), (0, 8), (1, 7), (5, 7), (3, 4), (2, 8), (4, 5), (3, 7), (2, 5), (4, 8), (1, 3), (0, 7), (6, 8), (2, 4), (0, 3), (0, 6), (1, 5), (6, 7)]",
53df0341,9,18,0,0.0,False,False,None,9.08008050133704,,,,,,,,,,,9.08008050133704,,1.0,,,,0.01788926124572754,0.01788926124572754,False,,0.0,0.0,,,0.032305240631103516,2026-06-26 13:55:48,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,13,"[(2, 7), (0, 1), (2, 3), (0, 4), (2, 6), (0, 7), (3, 5), (4, 6), (1, 2), (5, 6), (0, 6), (3, 4), (6, 8), (4, 5), (0, 5), (1, 4), (5, 8), (0, 8)]",
6846651e,9,18,0,0.0,False,False,None,9.31847285198822,,,,,,,,,,,9.31847285198822,,1.0,,,,0.018711328506469727,0.018711328506469727,False,,0.0,0.0,,,0.02980351448059082,2026-06-26 13:55:48,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,15,"[(1, 3), (2, 7), (1, 6), (0, 4), (3, 8), (4, 7), (5, 7), (1, 2), (3, 6), (0, 6), (3, 4), (1, 5), (2, 8), (4, 5), (5, 6), (7, 8), (0, 2), (0, 8)]",
b0028227,9,18,0,0.0,False,False,None,8.668163939107119,,,,,,,,,,,8.668163939107119,,1.0,,,,0.02044057846069336,0.02044057846069336,False,,0.0,0.0,,,0.03271031379699707,2026-06-26 13:55:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,19,"[(2, 7), (2, 3), (1, 6), (4, 7), (0, 7), (0, 3), (4, 6), (1, 2), (1, 8), (0, 6), (3, 4), (2, 8), (5, 6), (6, 7), (0, 5), (1, 4), (2, 4), (1, 7)]",
17b175a0,10,9,0,0.0,False,False,None,6.271621605910738,,,,,,,,,,,6.271621605910738,,1.0,,,,0.017923593521118164,0.017923593521118164,False,,0.0,0.0,,,0.03426313400268555,2026-06-26 13:55:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,22,"[(3, 9), (2, 3), (0, 7), (7, 9), (6, 8), (0, 6), (4, 9), (4, 5), (1, 7)]",
6977cd93,10,21,0,0.0,False,False,None,10.15889397129796,,,,,,,,,,,10.15889397129796,,1.0,,,,0.035141706466674805,0.035141706466674805,False,,0.0,0.0,,,0.0467529296875,2026-06-26 13:55:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,23,"[(4, 6), (0, 5), (1, 7), (6, 9), (4, 5), (2, 5), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (6, 8), (5, 9), (3, 6), (2, 4), (4, 7), (7, 9), (0, 6), (1, 5), (0, 9), (5, 8)]",
ded53972,9,18,0,0.0,False,False,None,9.114748662345662,,,,,,,,,,,9.114748662345662,,1.0,,,,0.021105527877807617,0.021105527877807617,False,,0.0,0.0,,,0.03339695930480957,2026-06-26 13:55:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,18,"[(1, 3), (0, 1), (2, 7), (2, 3), (0, 4), (5, 7), (0, 7), (3, 5), (4, 6), (1, 2), (1, 8), (0, 6), (3, 4), (5, 6), (6, 8), (7, 8), (0, 8), (6, 7)]",
