hog_graph_index,sdp_seed,present_p,missing_cached_p
71,8000042,[1],"[3, 5]"
71,9000042,[1],"[3, 5]"
72,42,[1],"[3, 5]"
72,1000042,[1],"[3, 5]"
72,2000042,[1],"[3, 5]"
72,3000042,[1],"[3, 5]"
72,4000042,[1],"[3, 5]"
72,5000042,[1],"[3, 5]"
72,6000042,[1],"[3, 5]"
72,7000042,[1],"[3, 5]"
72,8000042,[1],"[3, 5]"
72,9000042,[1],"[3, 5]"
73,42,[1],"[3, 5]"
73,1000042,[1],"[3, 5]"
73,2000042,[1],"[3, 5]"
73,3000042,[1],"[3, 5]"
73,4000042,[1],"[3, 5]"
73,5000042,[1],"[3, 5]"
73,6000042,[1],"[3, 5]"
73,7000042,[1],"[3, 5]"
73,8000042,[1],"[3, 5]"
73,9000042,[1],"[3, 5]"
74,42,[1],"[3, 5]"
74,1000042,[1],"[3, 5]"
74,2000042,[1],"[3, 5]"
74,3000042,[1],"[3, 5]"
74,4000042,[1],"[3, 5]"
74,5000042,[1],"[3, 5]"
74,6000042,[1],"[3, 5]"
74,7000042,[1],"[3, 5]"
74,8000042,[1],"[3, 5]"
74,9000042,[1],"[3, 5]"
75,42,[1],"[3, 5]"
75,1000042,[1],"[3, 5]"
75,2000042,[1],"[3, 5]"
75,3000042,[1],"[3, 5]"
75,4000042,[1],"[3, 5]"
75,5000042,[1],"[3, 5]"
75,6000042,[1],"[3, 5]"
75,7000042,[1],"[3, 5]"
75,8000042,[1],"[3, 5]"
75,9000042,[1],"[3, 5]"
76,42,[1],"[3, 5]"
76,1000042,[1],"[3, 5]"
76,2000042,[1],"[3, 5]"
76,3000042,[1],"[3, 5]"
76,4000042,[1],"[3, 5]"
76,5000042,[1],"[3, 5]"
76,6000042,[1],"[3, 5]"
76,7000042,[1],"[3, 5]"
76,8000042,[1],"[3, 5]"
76,9000042,[1],"[3, 5]"
77,42,[1],"[3, 5]"
77,1000042,[1],"[3, 5]"
77,2000042,[1],"[3, 5]"
77,3000042,[1],"[3, 5]"
77,4000042,[1],"[3, 5]"
77,5000042,[1],"[3, 5]"
77,6000042,[1],"[3, 5]"
77,7000042,[1],"[3, 5]"
77,8000042,[1],"[3, 5]"
77,9000042,[1],"[3, 5]"
78,42,[1],"[3, 5]"
78,1000042,[1],"[3, 5]"
78,2000042,[1],"[3, 5]"
78,3000042,[1],"[3, 5]"
78,4000042,[1],"[3, 5]"
78,5000042,[1],"[3, 5]"
78,6000042,[1],"[3, 5]"
78,7000042,[1],"[3, 5]"
78,8000042,[1],"[3, 5]"
78,9000042,[1],"[3, 5]"
79,42,[1],"[3, 5]"
79,1000042,[1],"[3, 5]"
79,2000042,[1],"[3, 5]"
79,3000042,[1],"[3, 5]"
79,4000042,[1],"[3, 5]"
79,5000042,[1],"[3, 5]"
79,6000042,[1],"[3, 5]"
79,7000042,[1],"[3, 5]"
79,8000042,[1],"[3, 5]"
79,9000042,[1],"[3, 5]"
80,42,[1],"[3, 5]"
80,1000042,[1],"[3, 5]"
80,2000042,[1],"[3, 5]"
80,3000042,[1],"[3, 5]"
80,4000042,[1],"[3, 5]"
80,5000042,[1],"[3, 5]"
80,6000042,[1],"[3, 5]"
80,7000042,[1],"[3, 5]"
80,8000042,[1],"[3, 5]"
80,9000042,[1],"[3, 5]"
81,42,[1],"[3, 5]"
81,1000042,[1],"[3, 5]"
81,2000042,[1],"[3, 5]"
81,3000042,[1],"[3, 5]"
81,4000042,[1],"[3, 5]"
81,5000042,[1],"[3, 5]"
81,6000042,[1],"[3, 5]"
81,7000042,[1],"[3, 5]"
81,8000042,[1],"[3, 5]"
81,9000042,[1],"[3, 5]"
82,42,[1],"[3, 5]"
82,1000042,[1],"[3, 5]"
82,2000042,[1],"[3, 5]"
82,3000042,[1],"[3, 5]"
82,4000042,[1],"[3, 5]"
82,5000042,[1],"[3, 5]"
82,6000042,[1],"[3, 5]"
82,7000042,[1],"[3, 5]"
82,8000042,[1],"[3, 5]"
82,9000042,[1],"[3, 5]"
83,42,[1],"[3, 5]"
83,1000042,[1],"[3, 5]"
83,2000042,[1],"[3, 5]"
83,3000042,[1],"[3, 5]"
83,4000042,[1],"[3, 5]"
83,5000042,[1],"[3, 5]"
83,6000042,[1],"[3, 5]"
83,7000042,[1],"[3, 5]"
83,8000042,[1],"[3, 5]"
83,9000042,[1],"[3, 5]"
84,42,[1],"[3, 5]"
84,1000042,[1],"[3, 5]"
84,2000042,[1],"[3, 5]"
84,3000042,[1],"[3, 5]"
84,4000042,[1],"[3, 5]"
84,5000042,[1],"[3, 5]"
84,6000042,[1],"[3, 5]"
84,7000042,[1],"[3, 5]"
84,8000042,[1],"[3, 5]"
84,9000042,[1],"[3, 5]"
85,42,[1],"[3, 5]"
85,1000042,[1],"[3, 5]"
85,2000042,[1],"[3, 5]"
85,3000042,[1],"[3, 5]"
85,4000042,[1],"[3, 5]"
85,5000042,[1],"[3, 5]"
85,6000042,[1],"[3, 5]"
85,7000042,[1],"[3, 5]"
85,8000042,[1],"[3, 5]"
85,9000042,[1],"[3, 5]"
86,42,[1],"[3, 5]"
86,1000042,[1],"[3, 5]"
86,2000042,[1],"[3, 5]"
86,3000042,[1],"[3, 5]"
86,4000042,[1],"[3, 5]"
86,5000042,[1],"[3, 5]"
86,6000042,[1],"[3, 5]"
86,7000042,[1],"[3, 5]"
86,8000042,[1],"[3, 5]"
86,9000042,[1],"[3, 5]"
87,42,[1],"[3, 5]"
87,1000042,[1],"[3, 5]"
87,2000042,[1],"[3, 5]"
87,3000042,[1],"[3, 5]"
87,4000042,[1],"[3, 5]"
87,5000042,[1],"[3, 5]"
87,6000042,[1],"[3, 5]"
87,7000042,[1],"[3, 5]"
87,8000042,[1],"[3, 5]"
87,9000042,[1],"[3, 5]"
88,42,[1],"[3, 5]"
88,1000042,[1],"[3, 5]"
88,2000042,[1],"[3, 5]"
88,3000042,[1],"[3, 5]"
88,4000042,[1],"[3, 5]"
88,5000042,[1],"[3, 5]"
88,6000042,[1],"[3, 5]"
88,7000042,[1],"[3, 5]"
88,8000042,[1],"[3, 5]"
88,9000042,[1],"[3, 5]"
89,42,[1],"[3, 5]"
89,1000042,[1],"[3, 5]"
89,2000042,[1],"[3, 5]"
89,3000042,[1],"[3, 5]"
89,4000042,[1],"[3, 5]"
89,5000042,[1],"[3, 5]"
89,6000042,[1],"[3, 5]"
89,7000042,[1],"[3, 5]"
89,8000042,[1],"[3, 5]"
89,9000042,[1],"[3, 5]"
90,42,[1],"[3, 5]"
90,1000042,[1],"[3, 5]"
90,2000042,[1],"[3, 5]"
90,3000042,[1],"[3, 5]"
90,4000042,[1],"[3, 5]"
90,5000042,[1],"[3, 5]"
90,6000042,[1],"[3, 5]"
90,7000042,[1],"[3, 5]"
90,8000042,[1],"[3, 5]"
90,9000042,[1],"[3, 5]"
91,42,[1],"[3, 5]"
