run_id,m,p,precision,singlet_injection,warm_start,parameter_vector,result,duration_seconds,finished_at,approx_ratio,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb
81b386a3,1,1,10000.0,False,True,"[1, 1, 1]",0.49999999999999745,0.0642709732055664,2026-03-27 12:19:57,0.49999999999999745,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,178.39
1c7f12f9,3,1,10000.0,False,True,"[1, 1, 1]",1.4999987876902232,0.10880517959594727,2026-03-27 12:20:03,0.6339808908242701,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,180.36
af946093,2,1,10000.0,False,True,"[1, 1, 1]",0.9999705201677789,0.08135986328125,2026-03-27 12:20:00,0.666647013445186,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,180.89
31e1a8de,5,1,10000.0,False,True,"[1, 1, 1]",2.4999999472414625,0.15553498268127441,2026-03-27 12:20:10,0.6677350286435529,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,182.42
d2cae1c2,4,1,10000.0,False,True,"[1, 1, 1]",1.99999748600671,0.10592913627624512,2026-03-27 12:20:06,0.6830592506853518,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,180.42
dee9a4e2,1,2,10000.0,False,True,"[1, 1, 1]",0.49999999999982914,0.06300187110900879,2026-03-27 12:20:09,0.49999999999982914,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,178.08
6e39a245,3,2,10000.0,False,True,"[1, 1, 1]",1.4999982917191668,0.20806193351745605,2026-03-27 12:20:19,0.633980681199986,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,190.78
65d10d90,2,2,10000.0,False,True,"[1, 1, 1]",0.9999932542418026,0.0948951244354248,2026-03-27 12:20:13,0.666662169494535,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,180.38
6eed5bad,5,2,10000.0,False,True,"[1, 1, 1]",2.499999910852784,0.38088178634643555,2026-03-27 12:20:30,0.6677350189243547,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,178.55
6ddba3fc,4,2,10000.0,False,True,"[1, 1, 1]",1.999995160064257,0.13108205795288086,2026-03-27 12:20:24,0.6830584563060987,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,188.38
4b86a887,1,3,10000.0,False,True,"[1, 1, 1]",0.49999999999993405,0.1084589958190918,2026-03-27 12:20:16,0.49999999999993405,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,179.7
e08dfec3,3,3,10000.0,False,True,"[1, 1, 1]",1.499999355410572,0.434934139251709,2026-03-27 12:20:40,0.633981130773699,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,180.45
1148be46,2,3,10000.0,False,True,"[1, 1, 1]",0.9999995227834079,0.2554008960723877,2026-03-27 12:20:28,0.6666663485222719,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,188.02
b33a93c9,5,3,10000.0,False,True,"[1, 1, 1]",2.499999960368261,0.5267870426177979,2026-03-27 12:20:49,0.6677350321496424,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,178.41
e3654f26,4,3,10000.0,False,True,"[1, 1, 1]",1.99999708341758,0.4287731647491455,2026-03-27 12:20:43,0.6830591131890642,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,183.61
cc4cdf5b,1,4,10000.0,False,True,"[1, 1, 1]",0.49999999999999434,0.20381593704223633,2026-03-27 12:20:28,0.49999999999999434,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,187.09
8a9312c8,3,4,10000.0,False,True,"[1, 1, 1]",1.499999771838398,0.4253520965576172,2026-03-27 12:20:51,0.6339813067786974,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,185.84
6e2f75c8,2,4,10000.0,False,True,"[1, 1, 1]",0.9999995551137487,0.3717489242553711,2026-03-27 12:20:42,0.6666663700758325,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,182.02
b11ec75a,5,4,10000.0,False,True,"[1, 1, 1]",2.4999999494429774,0.7153213024139404,2026-03-27 12:21:00,0.6677350292315645,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,188.39
