run_id,m,p,precision,singlet_injection,warm_start,parameter_vector,result,duration_seconds,finished_at,approx_ratio,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb
a25693a0,4,1,50000.0,True,False,"[1, 1, 1]",2.4999999997164264,0.10115981101989746,2026-03-26 16:14:31,0.853825136515173,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,194.94
ee60e839,1,2,50000.0,True,False,"[1, 1, 1]",1.0000000000000004,0.06274199485778809,2026-03-26 16:14:31,1.0000000000000004,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.06
1efbabaf,1,5,10000.0,True,False,"[1, 1, 1]",1.0000000000000018,0.11518597602844238,2026-03-26 16:14:31,1.0000000000000018,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.53
6f009d77,6,2,10000.0,True,False,"[1, 1, 1]",3.7499999997968043,0.2961740493774414,2026-03-26 16:14:31,0.8648523984771227,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,197.19
d95a87f9,5,1,50000.0,True,False,"[1, 1, 1]",3.5000000000000027,0.07537508010864258,2026-03-26 16:14:31,0.9348290598290605,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.31
6eaa5ce4,3,1,100000.0,True,False,"[1, 1, 1]",2.250000000000001,0.05533409118652344,2026-03-26 16:14:34,0.950972104818259,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,196.23
f599a94c,6,1,50000.0,True,False,"[1, 1, 1]",3.7499999999319265,0.12689495086669922,2026-03-26 16:14:34,0.8648523985082855,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.88
6fbd6810,3,3,10000.0,True,False,"[1, 1, 1]",2.3472170340264022,0.629767894744873,2026-03-26 16:14:34,0.9920612992503813,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,194.61
c9b88131,2,4,10000.0,True,False,"[1, 1, 1]",1.2499999992363218,0.2574338912963867,2026-03-26 16:14:34,0.8333333328242145,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.56
4261a00f,7,1,50000.0,True,False,"[1, 1, 1]",4.749999999999997,0.18341302871704102,2026-03-26 16:14:34,0.9268292682926824,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,200.66
842377f6,7,2,10000.0,True,False,"[1, 1, 1]",4.797448709529074,1.0233588218688965,2026-03-26 16:14:34,0.9360875530788437,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,205.27
d9de8f9e,8,2,10000.0,True,False,"[1, 1, 1]",4.999999999736283,1.0784740447998047,2026-03-26 16:14:35,0.8716875871227829,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,245.3
30126837,4,3,10000.0,True,False,"[1, 1, 1]",2.4999999996367857,0.32270312309265137,2026-03-26 16:14:37,0.8538251364879733,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.62
9fa1273b,4,1,100000.0,True,False,"[1, 1, 1]",2.4999999998579807,0.09542512893676758,2026-03-26 16:14:37,0.853825136563518,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,194.12
636eb3b5,1,2,100000.0,True,False,"[1, 1, 1]",1.0000000000000009,0.061627864837646484,2026-03-26 16:14:37,1.0000000000000009,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.8
ee7856f7,2,2,50000.0,True,False,"[1, 1, 1]",1.2499999964685538,0.10492610931396484,2026-03-26 16:14:37,0.8333333309790358,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.95
f7a6e3e4,8,1,50000.0,True,False,"[1, 1, 1]",4.9999999999995595,0.7758491039276123,2026-03-26 16:14:38,0.871687587168682,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,244.23
eca2f84a,1,3,50000.0,True,False,"[1, 1, 1]",1.0000000000000009,0.08738422393798828,2026-03-26 16:14:40,1.0000000000000009,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.16
4d3ee705,5,3,10000.0,True,False,"[1, 1, 1]",3.563101403902773,1.476531982421875,2026-03-26 16:14:41,0.9516830672817235,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.03
ffedc5d4,3,4,10000.0,True,False,"[1, 1, 1]",2.3660254033205614,0.24033784866333008,2026-03-26 16:14:43,1.0000107368218771,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,194.98
ab976ee5,9,1,50000.0,True,False,"[1, 1, 1]",6.000000000000013,3.234666109085083,2026-03-26 16:14:43,0.921942224953905,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,260.55
ccc22274,2,5,10000.0,True,False,"[1, 1, 1]",1.49999999982174,0.2275087833404541,2026-03-26 16:14:44,0.99999999988116,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.0
d66da066,5,1,100000.0,True,False,"[1, 1, 1]",3.5000000000000044,0.0957345962524414,2026-03-26 16:14:46,0.934829059829061,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.14
0a468841,1,1,500000.0,True,False,"[1, 1, 1]",1.0000000000000004,0.07567214965820312,2026-03-26 16:14:47,1.0000000000000004,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,195.05
ddb5d7f1,6,3,10000.0,True,False,"[1, 1, 1]",3.7499999996740994,0.7764790058135986,2026-03-26 16:14:52,0.8648523984488236,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,183.09
5a535b43,10,1,50000.0,True,False,"[1, 1, 1]",6.249999999950551,12.811823844909668,2026-03-26 16:14:59,0.8763320246705764,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,322.69
