run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
5ee46f7d,9,36,20,500.0,False,True,"[1, 1, 1]",9.798813238943785,,0.8165677699119821,,,,40.14652705192566,2026-04-15 08:10:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,379.58,COBYLA,2,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
b664a77e,8,28,20,500.0,False,True,"[1, 1, 1]",7.707498185623071,,0.7707498185623071,,,,24.7184419631958,2026-04-15 08:11:01,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,252.78,COBYLA,2,14,0,False,False,False,False,10800,10,complete,False,False,90,False,True
b84cc839,10,45,20,500.0,False,True,"[1, 1, 1]",12.366562443469087,,0.8244374962312725,,,,119.98826599121094,2026-04-15 08:11:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,359.69,COBYLA,2,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
3852e346,7,21,20,500.0,False,True,"[1, 1, 1]",6.00310381624905,6.000000000000413,0.80041384216654,0.8000000000000551,0.00041399999999991444,True,43.21295881271362,2026-04-15 08:13:00,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,226.39,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
b94e55ce,11,55,20,500.0,False,True,"[1, 1, 1]",14.47720950321946,,0.8272691144696834,,,,900.2615950107574,2026-04-15 08:23:43,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,483.31,COBYLA,2,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
054f90de,11,55,20,300.0,False,True,"[1, 1, 1]",14.965651459716282,15.000000000002576,0.855180083412359,0.8571428571430043,-0.001962999999999937,False,1795.3515558242798,2026-04-15 08:53:44,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,456.36,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
390cc48d,11,55,15,500.0,False,True,"[1, 1, 1]",14.796800456385277,15.000000000001828,0.8455314546505873,0.8571428571429616,-0.011611999999999956,False,1506.6725270748138,2026-04-15 09:18:54,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,451.98,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
9971d745,6,15,20,500.0,False,True,"[1, 1, 1]",4.495841436162456,4.500000000000238,0.749306906027076,0.7500000000000396,-0.0006930000000000547,False,34.63986110687256,2026-04-15 09:19:35,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,198.39,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
6b48f274,10,45,20,300.0,False,True,"[1, 1, 1]",12.429971430756893,12.500000000001371,0.8286647620504596,0.8333333333334247,-0.0046680000000000055,False,319.1880159378052,2026-04-15 09:24:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,283.7,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
3cbe7a0c,10,45,15,500.0,False,True,"[1, 1, 1]",12.48104418480409,12.500000000001503,0.8320696123202727,0.8333333333334335,-0.0012630000000000141,False,242.73429989814758,2026-04-15 09:29:07,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,276.73,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
cc341647,9,36,20,300.0,False,True,"[1, 1, 1]",10.046878045280808,10.00000000000094,0.837239837106734,0.8333333333334116,0.003906999999999994,True,104.21331810951233,2026-04-15 09:30:56,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,286.88,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
ec0521c6,9,36,15,500.0,False,True,"[1, 1, 1]",9.676071327284319,10.000000000000787,0.8063392772736933,0.8333333333333989,-0.026993999999999962,False,74.3856270313263,2026-04-15 09:32:16,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,288.38,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
3c7be93d,5,10,20,500.0,False,True,"[1, 1, 1]",3.0876710568910273,3.0000000000001306,0.7719177642227568,0.7500000000000326,0.021917999999999993,True,24.777189016342163,2026-04-15 09:32:46,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,197.5,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
6d634a13,8,28,20,300.0,False,True,"[1, 1, 1]",7.8236840155618514,8.00000000000054,0.7823684015561851,0.800000000000054,-0.017632000000000092,False,59.91429090499878,2026-04-15 09:33:50,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,227.97,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
b85988d4,12,66,20,500.0,False,True,"[1, 1, 1]",17.88507957305679,,0.8516704558598471,,,,7423.540753126144,2026-04-15 10:11:53,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,1221.8,COBYLA,2,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
8b92618c,8,28,15,500.0,False,True,"[1, 1, 1]",7.872000899412201,8.000000000000464,0.78720008994122,0.8000000000000463,-0.012800000000000034,False,37.60028791427612,2026-04-15 10:12:36,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,227.67,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
3cfe1f1d,7,21,20,300.0,False,True,"[1, 1, 1]",5.724598815206388,6.000000000000459,0.7632798420275184,0.8000000000000612,-0.036720000000000086,False,43.093092918395996,2026-04-15 11:07:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,213.09,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
cadf3264,4,6,20,500.0,False,True,"[1, 1, 1]",1.9571120503103596,2.0000000000000475,0.6523706834367865,0.6666666666666825,-0.014295999999999975,False,16.733720064163208,2026-04-15 11:08:12,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,199.48,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
497f7be4,7,21,15,500.0,False,True,"[1, 1, 1]",5.993925226183837,6.000000000000275,0.799190030157845,0.8000000000000367,-0.0008100000000000884,False,27.4326651096344,2026-04-15 11:08:44,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,213.44,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
33f43779,6,15,20,300.0,False,True,"[1, 1, 1]",4.377779459751854,4.500000000000296,0.7296299099586423,0.7500000000000493,-0.02037,False,31.033008813858032,2026-04-15 11:11:02,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,213.84,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
2b71cf09,6,15,15,500.0,False,True,"[1, 1, 1]",4.415986013004885,4.500000000000153,0.7359976688341475,0.7500000000000254,-0.014001999999999959,False,22.634902238845825,2026-04-15 11:11:28,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,197.89,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
e7a78f52,3,3,20,500.0,False,True,"[1, 1, 1]",1.0783030637907063,1.0000000000000184,0.7188687091938042,0.666666666666679,0.05220199999999997,True,10.32058596611023,2026-04-15 11:11:50,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,219.03,COBYLA,2,14,0,True,False,False,False,10800,10,complete,False,False,90,False,True
