run_id,m,p,precision,singlet_injection,warm_start,parameter_vector,result,duration_seconds,finished_at,approx_ratio,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb
85f56a3a,1,1,10000.0,False,True,"[1, 1, 1]",0.4999999999998715,0.04921293258666992,2026-03-27 12:40:02,0.4999999999998715,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,189.41
d9681b8e,3,1,10000.0,False,True,"[1, 1, 1]",1.499998962094078,0.06511592864990234,2026-03-27 12:40:08,0.6339809645368039,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,196.44
049164de,2,1,10000.0,False,True,"[1, 1, 1]",0.9999986285439009,0.06563615798950195,2026-03-27 12:40:05,0.6666657523626006,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,190.7
db528457,5,1,10000.0,False,True,"[1, 1, 1]",2.499999998497774,0.12327194213867188,2026-03-27 12:40:16,0.6677350423338071,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.27
7a3b160b,4,1,10000.0,False,True,"[1, 1, 1]",1.9999680140192626,0.09822797775268555,2026-03-27 12:40:10,0.6830491851158684,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,195.2
4468ddf1,1,2,10000.0,False,True,"[1, 1, 1]",0.49999999999944816,0.08136892318725586,2026-03-27 12:40:13,0.49999999999944816,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,194.58
e24671b7,3,2,10000.0,False,True,"[1, 1, 1]",1.4999993496484048,0.13883018493652344,2026-03-27 12:40:27,0.6339811283382945,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.44
9208a36b,2,2,10000.0,False,True,"[1, 1, 1]",0.9999994723979791,0.13574886322021484,2026-03-27 12:40:21,0.6666663149319861,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,196.42
9bded3ac,5,2,10000.0,False,True,"[1, 1, 1]",2.499999896522403,0.24048781394958496,2026-03-27 12:40:37,0.6677350150967956,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,198.09
379d3933,4,2,10000.0,False,True,"[1, 1, 1]",1.9999692047551065,0.2161998748779297,2026-03-27 12:40:31,0.6830495917879462,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,198.23
5e8d2103,1,3,10000.0,False,True,"[1, 1, 1]",0.4999999999997945,0.07188725471496582,2026-03-27 12:40:22,0.4999999999997945,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.0
0f96719a,4,3,10000.0,False,True,"[1, 1, 1]",1.696765981267622,0.6143443584442139,2026-03-27 12:40:56,0.5794965783017835,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,196.86
7e03a006,3,3,10000.0,False,True,"[1, 1, 1]",1.4999990092779454,0.202225923538208,2026-03-27 12:40:49,0.6339809844792669,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.09
9da887eb,2,3,10000.0,False,True,"[1, 1, 1]",0.9999993389458279,0.20190000534057617,2026-03-27 12:40:35,0.6666662259638853,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.45
fccc9f25,5,3,10000.0,False,True,"[1, 1, 1]",2.49999976111944,0.3315129280090332,2026-03-27 12:41:05,0.6677349789314743,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.98
70ed0d1b,1,4,10000.0,False,True,"[1, 1, 1]",0.4999999999996062,0.20307493209838867,2026-03-27 12:40:33,0.4999999999996062,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.25
6761c94f,4,4,10000.0,False,True,"[1, 1, 1]",1.7200553052769947,1.6034409999847412,2026-03-27 12:41:17,0.5874505824033452,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,184.62
06860a45,3,4,10000.0,False,True,"[1, 1, 1]",1.5325515095451856,1.165754795074463,2026-03-27 12:41:08,0.6477394376775932,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.91
e6058434,2,4,10000.0,False,True,"[1, 1, 1]",0.9999993351122558,0.2703099250793457,2026-03-27 12:40:54,0.6666662234081705,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,190.39
45f2cf63,5,4,10000.0,False,True,"[1, 1, 1]",2.4999999231331165,0.47537803649902344,2026-03-27 12:41:18,0.667735022204358,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,177.83
10e1984d,1,5,10000.0,False,True,"[1, 1, 1]",0.499999999999968,0.2312462329864502,2026-03-27 12:40:45,0.499999999999968,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.34
3cfb7b7e,2,5,10000.0,False,True,"[1, 1, 1]",0.9999999488646176,0.8706879615783691,2026-03-27 12:41:10,0.6666666325764118,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,195.95
7e29f4bc,5,5,10000.0,False,True,"[1, 1, 1]",2.4999999920663476,1.1517210006713867,2026-03-27 12:41:33,0.6677350406160116,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,190.81
dcd27372,4,5,10000.0,False,True,"[1, 1, 1]",1.9999977622020744,0.43324899673461914,2026-03-27 12:41:28,0.6830593450143697,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,178.73
08335d36,3,5,10000.0,False,True,"[1, 1, 1]",1.641409427372662,1.6762280464172363,2026-03-27 12:41:18,0.6937487013409391,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,174.14
447e8819,1,1,50000.0,False,True,"[1, 1, 1]",0.49999999999885114,0.04119586944580078,2026-03-27 12:40:18,0.49999999999885114,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,195.77
4393e2c5,3,1,50000.0,False,True,"[1, 1, 1]",1.499999825042888,0.08722424507141113,2026-03-27 12:40:29,0.6339813292658022,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,196.91
b1f46699,2,1,50000.0,False,True,"[1, 1, 1]",0.9999998493326236,0.1004939079284668,2026-03-27 12:40:25,0.6666665662217491,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,197.03
84da6098,5,1,50000.0,False,True,"[1, 1, 1]",2.499999955199147,0.32769274711608887,2026-03-27 12:40:47,0.667735030769003,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,195.8
ca783daa,4,1,50000.0,False,True,"[1, 1, 1]",1.9999826576729276,0.17100787162780762,2026-03-27 12:40:42,0.6830541863637049,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,196.19
e5d974f6,1,2,50000.0,False,True,"[1, 1, 1]",0.49999999999795186,0.0744466781616211,2026-03-27 12:40:44,0.49999999999795186,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,195.81
b3460050,3,2,50000.0,False,True,"[1, 1, 1]",1.4999627880332276,0.25093817710876465,2026-03-27 12:41:13,0.6339656754155653,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,184.55
83fb1922,2,2,50000.0,False,True,"[1, 1, 1]",0.9999999952120642,0.18179988861083984,2026-03-27 12:41:02,0.6666666634747095,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,196.69
d37f7257,5,2,50000.0,False,True,"[1, 1, 1]",2.499999640134609,0.24718499183654785,2026-03-27 12:41:29,0.6677349466171498,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,181.33
d10974cb,4,2,50000.0,False,True,"[1, 1, 1]",1.9999979755407051,0.3197009563446045,2026-03-27 12:41:22,0.683059417875924,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,180.47
14a411ab,1,3,50000.0,False,True,"[1, 1, 1]",0.49999999999922307,0.11289215087890625,2026-03-27 12:41:05,0.49999999999922307,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,196.83
bd6f842f,4,3,50000.0,False,True,"[1, 1, 1]",1.6967737230649353,0.5679490566253662,2026-03-27 12:41:42,0.5794992223582429,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,185.03
9acaf597,3,3,50000.0,False,True,"[1, 1, 1]",1.5038978940923498,0.8776490688323975,2026-03-27 12:41:37,0.635628864789666,Apple M4,Mac.tail6cc1a9.ts.net lan,16.0,10,10,3.13.1,181.92
