log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error
sdp_n0_rep1_seednone.log,0,1,0,5,6,6,hog,0,False,False,True,6.0000000000000195,2.209549549484993,,,3.7499999605120893,4,0.36825825824749764,,,0.6249999934186795,0.6666666666666645,0.5892132194004779,,0.6249999934186815,2026-06-30 15:52:50 CEST,0s,0.21,
sdp_n1_rep1_seednone.log,1,1,1,7,9,9,hog,1,False,False,True,9.000000000000014,3.1659504964973615,,,5.624999981021473,6,0.3517722773885952,,,0.6249999978912738,0.6666666666666656,0.5628356457207383,,0.6249999978912748,2026-06-30 15:52:50 CEST,0s,0.21,
sdp_n2_rep1_seednone.log,2,1,2,9,12,12,hog,2,False,False,True,12.000000000000012,4.236372841082328,,,7.499999872933125,8,0.3530310700901936,,,0.6249999894110931,0.666666666666666,0.5648497217141356,,0.6249999894110937,2026-06-30 15:52:50 CEST,0s,0.22,
sdp_n3_rep1_seednone.log,3,1,3,11,15,15,hog,3,False,False,True,15.00000000000001,5.409400300153102,,,9.374999999932978,10,0.3606266866768732,,,0.6249999999955315,0.6666666666666662,0.5770026986871225,,0.6249999999955319,2026-06-30 15:52:50 CEST,0s,0.27,
sdp_n4_rep1_seednone.log,4,1,4,13,18,18,hog,4,False,False,True,18.000000000000007,6.431165109506789,,,11.249999913291134,12,0.35728695052815485,,,0.6249999951828406,0.6666666666666664,0.5716591252510848,,0.6249999951828408,2026-06-30 15:52:50 CEST,1s,0.69,
sdp_n5_rep1_seednone.log,5,1,5,15,21,21,hog,5,False,False,True,20.999999999999996,7.2402386878292715,,,13.124999999951386,14,0.344773270849013,,,0.6249999999976852,0.6666666666666667,0.5516372333604639,,0.6249999999976851,2026-06-30 15:52:50 CEST,7s,7.19,
sdp_n6_rep1_seednone.log,6,1,6,7,9,9,hog,6,False,False,True,9.000000000000046,3.0850882027682123,,,5.624999990614629,6,0.34278757808535515,,,0.6249999989571778,0.6666666666666633,0.5484601258516825,,0.6249999989571811,2026-06-30 15:52:50 CEST,0s,0.2,
sdp_n7_rep1_seednone.log,7,1,7,9,12,12,hog,7,False,False,True,12.000000000000021,4.184531713733795,,,7.499999984521198,8,0.3487109761444823,,,0.6249999987100987,0.6666666666666655,0.5579375629826667,,0.6249999987100998,2026-06-30 15:52:50 CEST,0s,0.21,
sdp_n8_rep1_seednone.log,8,1,8,6,9,9,hog,8,False,False,True,9.855772506636011,3.4523061562991604,,,6.087150265653422,5,0.35028265455342855,,,0.617622846058477,0.5073169045484196,0.5671465309109753,,0.6763500295170469,2026-06-30 15:52:50 CEST,0s,0.22,
sdp_n9_rep1_seednone.log,9,1,9,7,11,11,hog,9,False,False,True,11.503990713797107,4.013691398877442,,,7.369857398628636,7,0.34889557013147554,,,0.6406348528941117,0.6084844967411764,0.5446090991698562,,0.6699870362389669,2026-06-30 15:52:50 CEST,0s,0.21,
sdp_n10_rep1_seednone.log,10,1,10,8,13,13,hog,10,False,False,True,13.672479361373298,5.012044534765259,,,8.746883194291536,10,0.36657905287646647,,,0.6397437482336032,0.7313962402643243,0.5730091992123848,,0.6728371687916567,2026-06-30 15:52:50 CEST,0s,0.21,
sdp_n11_rep1_seednone.log,11,1,11,9,15,15,hog,11,False,False,True,15.464480975525861,5.773577951017592,,,10.070165924615027,11,0.3733444374987351,,,0.6511803364466033,0.7113074158394734,0.573334937501371,,0.6713443949743352,2026-06-30 15:52:51 CEST,0s,0.2,
sdp_n12_rep1_seednone.log,12,1,12,10,17,17,hog,12,False,False,True,17.472643412758597,6.547632116282325,,,11.425596499312482,13,0.3747362068581573,,,0.6539134479771654,0.7440202202322372,0.5730669831265545,,0.6720939117242636,2026-06-30 15:52:53 CEST,0s,0.2,
sdp_n13_rep1_seednone.log,13,1,13,11,19,19,hog,13,False,False,True,19.361347179003133,7.4147187996585,,,12.762325492961827,14,0.38296502464970855,,,0.6591651590650794,0.7230901791370503,0.5809849312923082,,0.671701341734833,2026-06-30 15:52:53 CEST,0s,0.28,
sdp_n14_rep1_seednone.log,14,1,14,12,21,21,hog,14,False,False,True,21.264186604719153,8.041950799468061,,,14.110158972011435,13,0.3781922604875615,,,0.6635644821175513,0.6113565612293355,0.5699404815650821,,0.6719123320005446,2026-06-30 15:52:53 CEST,0s,0.34,
sdp_n15_rep1_seednone.log,15,1,15,11,15,15,hog,15,False,False,True,15.000000000000071,5.462097556699641,,,9.374999962999688,10,0.36413983711330766,,,0.6249999975333096,0.6666666666666635,0.5826237416807362,,0.6249999975333125,2026-06-30 15:52:53 CEST,0s,0.25,
sdp_n16_rep1_seednone.log,16,1,16,13,18,18,hog,16,False,False,True,18.000000000000036,6.488340235941253,,,11.249999932539321,12,0.36046334644118,,,0.6249999962521833,0.6666666666666653,0.5767413577643214,,0.6249999962521845,2026-06-30 15:52:53 CEST,1s,0.69,
sdp_n17_rep1_seednone.log,17,1,17,5,8,8,hog,17,False,False,True,8.000000000000023,3.0884095313535953,,,5.37499999921844,4,0.3860511914191983,,,0.6718749999023031,0.49999999999999856,0.5745878198702642,,0.671874999902305,2026-06-30 15:52:54 CEST,0s,0.1,
sdp_n18_rep1_seednone.log,18,1,18,6,10,10,hog,18,False,False,True,10.236067977499793,3.5894023318624457,,,6.052050979480634,6,0.3506622210552351,,,0.5912476346174945,0.5861625785593432,0.5930885817109353,,0.6052050979480634,2026-06-30 15:52:54 CEST,0s,0.11,
sdp_n19_rep1_seednone.log,19,1,19,7,12,12,hog,19,False,False,True,12.236067977499815,4.548056467857732,,,8.062499999279616,9,0.3716926447467344,,,0.6589126518506822,0.7355304021315974,0.5641000270715163,,0.671874999939968,2026-06-30 15:52:55 CEST,0s,0.13,
sdp_n20_rep1_seednone.log,20,1,20,8,14,14,hog,20,False,False,True,14.21035851369342,5.172634455843086,,,8.920523951147226,10,0.364004500720979,,,0.6277479869738127,0.7037120133432084,0.5798576949258523,,0.6371802822248018,2026-06-30 15:52:55 CEST,0s,0.15,
sdp_n21_rep1_seednone.log,21,1,21,9,16,16,hog,21,False,False,True,16.256838127689154,6.072313688306676,,,10.749999998895428,12,0.3735236606658537,,,0.6612601979831301,0.7381509187546885,0.5648663896679639,,0.6718749999309642,2026-06-30 15:52:55 CEST,0s,0.17,
sdp_n22_rep1_seednone.log,22,1,22,10,18,18,hog,22,False,False,True,18.09459956787404,6.727387840870938,,,11.712908393785666,13,0.3717898158307434,,,0.6473151478069338,0.7184464044775425,0.574356736576219,,0.6507171329880925,2026-06-30 15:52:56 CEST,0s,0.19,
sdp_n23_rep1_seednone.log,23,1,23,11,20,20,hog,23,False,False,True,20.18441469347744,7.745416140784657,,,13.437499999998783,15,0.3837325113661867,,,0.665736421098259,0.7431476328539378,0.5764030616398407,,0.6718749999999392,2026-06-30 15:52:56 CEST,0s,0.24,
sdp_n24_rep1_seednone.log,24,1,24,12,22,22,hog,24,False,False,True,21.937872725048788,8.306025327090492,,,14.468385236173628,15,0.378615804330318,,,0.6595163267427266,0.6837490666482404,0.5740810181307516,,0.6576538743715286,2026-06-30 15:52:57 CEST,0s,0.33,
sdp_n25_rep1_seednone.log,25,1,25,15,21,21,hog,25,False,False,True,21.000000000000043,7.494115071945245,,,13.124999830034572,14,0.35686262247358236,,,0.6249999919064069,0.6666666666666653,0.5709802033517821,,0.6249999919064082,2026-06-30 15:52:57 CEST,7s,6.99,
sdp_n26_rep1_seednone.log,26,1,26,5,10,10,hog,26,False,False,True,8.000000000000002,2.9575469969525328,,,4.374999916318099,6,0.36969337461906654,,,0.5468749895397622,0.7499999999999999,0.6760107550908339,,0.43749999163180986,2026-06-30 15:52:57 CEST,0s,0.09,
sdp_n27_rep1_seednone.log,27,1,27,7,14,14,hog,27,False,False,True,13.730384088334546,5.314360012960649,,,9.39832145901424,10,0.3870510816573424,,,0.6844907905379818,0.728311745371791,0.5654584210740602,,0.6713086756438742,2026-06-30 15:52:58 CEST,0s,0.15,
sdp_n28_rep1_seednone.log,28,1,28,9,18,18,hog,28,False,False,True,16.917881388736845,6.626972294700211,,,11.249999964994707,12,0.3917140771014122,,,0.6649768789893777,0.7093086731290748,0.5890642058062735,,0.6249999980552615,2026-06-30 15:52:58 CEST,0s,0.16,
sdp_n29_rep1_seednone.log,29,1,29,11,22,22,hog,29,False,False,True,21.51487146737214,8.51649979856967,,,14.589914444809025,16,0.3958424669877839,,,0.6781316108225425,0.7436716516882016,0.5837251363457976,,0.6631779293095011,2026-06-30 15:52:59 CEST,0s,0.23,
sdp_n30_rep1_seednone.log,30,1,30,5,8,8,hog,30,False,False,True,8.000000000000018,2.999999995426224,,,4.999999903277223,6,0.37499999942827716,,,0.6249999879096515,0.7499999999999983,0.6000000106919783,,0.6249999879096528,2026-06-30 15:52:59 CEST,0s,0.1,
sdp_n31_rep1_seednone.log,31,1,31,7,11,11,hog,31,False,False,True,11.293334951088086,4.107627280956475,,,7.24999995310292,8,0.3637213718309767,,,0.6419715685847429,0.7083824250895188,0.5665692837968166,,0.6590909048275382,2026-06-30 15:52:59 CEST,0s,0.13,
sdp_n32_rep1_seednone.log,32,1,32,9,14,14,hog,32,False,False,True,14.370079042736418,5.259184769052774,,,9.124999861342145,10,0.3659816173183203,,,0.6349999769802602,0.6958903963061119,0.5763490245444486,,0.6517857043815818,2026-06-30 15:53:00 CEST,0s,0.16,
sdp_n33_rep1_seednone.log,33,1,33,11,17,17,hog,33,False,False,True,17.426842800871633,6.307297604702476,,,10.999999965392991,12,0.3619300223668171,,,0.6312101446650341,0.6885928872555045,0.5733906931405284,,0.6470588214937054,2026-06-30 15:53:00 CEST,0s,0.26,
sdp_n34_rep1_seednone.log,34,1,34,5,8,8,hog,34,False,False,True,8.000000000000009,3.0881255777092953,,,5.37499999921848,4,0.38601569721366147,,,0.6718749999023093,0.49999999999999944,0.5745349912852662,,0.67187499990231,2026-06-30 15:53:01 CEST,0s,0.11,
sdp_n35_rep1_seednone.log,35,1,35,6,12,12,hog,35,False,False,True,12.0,4.477450651578746,,,7.49999999999985,8,0.37312088763156215,,,0.6249999999999875,0.6666666666666666,0.5969934202105114,,0.6249999999999875,2026-06-30 15:53:01 CEST,0s,0.11,
sdp_n36_rep1_seednone.log,36,1,36,7,18,18,hog,36,False,False,True,14.999999999999996,5.890680067946385,,,9.37499994240775,10,0.3927120045297591,,,0.6249999961605168,0.6666666666666669,0.628339211107611,,0.520833330133764,2026-06-30 15:53:01 CEST,0s,0.13,
sdp_n37_rep1_seednone.log,37,1,37,8,24,24,hog,37,False,False,True,20.0,7.839214665699147,,,11.999999999476156,12,0.39196073328495734,,,0.5999999999738078,0.6,0.6532678888367798,,0.4999999999781732,2026-06-30 15:53:02 CEST,0s,0.15,
sdp_n38_rep1_seednone.log,38,1,38,9,32,32,hog,38,False,False,True,24.00000000000001,10.061913028032082,,,14.37499997273973,20,0.41924637616800325,,,0.5989583321974885,0.8333333333333329,0.6999591684948284,,0.44921874914811655,2026-06-30 15:53:02 CEST,0s,0.18,
sdp_n39_rep1_seednone.log,39,1,39,10,40,40,hog,39,False,False,True,29.999999999999982,12.419197709525207,,,17.4999999999964,24,0.4139732569841738,,,0.5833333333332137,0.8000000000000005,0.7096684405444434,,0.43749999999991,2026-06-30 15:53:03 CEST,0s,0.22,
sdp_n40_rep1_seednone.log,40,1,40,5,6,6,hog,40,False,False,True,7.177409680899281,2.5114709854537947,,,4.778229027650205,5,0.3499132830800212,,,0.6657316831678369,0.6966301524219994,0.5256070755337702,,0.7963715046083676,2026-06-30 15:53:03 CEST,0s,0.1,
sdp_n41_rep1_seednone.log,41,1,41,6,10,10,hog,41,False,False,True,11.069784138804975,4.020355778170017,,,7.067537075065739,8,0.36318285232651604,,,0.638453016467646,0.7226879855729175,0.5688482048935868,,0.706753707506574,2026-06-30 15:53:03 CEST,0s,0.1,
sdp_n42_rep1_seednone.log,42,1,42,7,15,15,hog,42,False,False,True,14.323752061453806,5.6141488099440275,,,9.568407460900692,10,0.3919468017777329,,,0.6680098496433717,0.6981410985820315,0.5867380578100462,,0.6378938307267128,2026-06-30 15:53:04 CEST,0s,0.13,
sdp_n43_rep1_seednone.log,43,1,43,8,21,21,hog,43,False,False,True,19.265028782316275,7.3218427895696205,,,12.316040589159066,14,0.3800587516531756,,,0.6392952083447799,0.7267053767835976,0.5944964809562675,,0.5864781232932889,2026-06-30 15:53:04 CEST,0s,0.15,
sdp_n44_rep1_seednone.log,44,1,44,9,28,28,hog,44,False,False,True,23.429554565057842,9.468875533656096,,,15.296841890959394,19,0.4041423624748591,,,0.6528865859777232,0.8109415800988402,0.6190085248414777,,0.5463157818199783,2026-06-30 15:53:04 CEST,0s,0.18,
sdp_n45_rep1_seednone.log,45,1,45,10,36,36,hog,45,False,False,True,29.3924019494139,12.157417459094564,,,18.513114940274047,23,0.41362449656269035,,,0.6298605664190438,0.7825151561136238,0.6566921611147627,,0.5142531927853902,2026-06-30 15:53:05 CEST,0s,0.21,
sdp_n46_rep1_seednone.log,46,1,46,4,6,6,hog,46,False,False,False,6.0,,,,,,,,,,,,,,2026-06-30 15:53:05 CEST,,,
sdp_n47_rep1_seednone.log,47,1,47,5,10,10,hog,47,False,False,False,8.000000000000007,,,,,,,,,,,,,,2026-06-30 15:53:06 CEST,,,
sdp_n48_rep1_seednone.log,48,1,48,6,15,15,hog,48,False,False,False,12.000000000000002,,,,,,,,,,,,,,2026-06-30 15:53:06 CEST,,,
sdp_n49_rep1_seednone.log,49,1,49,7,21,21,hog,49,False,False,False,15.000000000000036,,,,,,,,,,,,,,2026-06-30 15:53:06 CEST,,,
sdp_n50_rep1_seednone.log,50,1,50,8,28,28,hog,50,False,False,False,20.00000000000004,,,,,,,,,,,,,,2026-06-30 15:53:07 CEST,,,
sdp_n51_rep1_seednone.log,51,1,51,9,36,36,hog,51,False,False,False,24.000000000000053,,,,,,,,,,,,,,2026-06-30 15:53:07 CEST,,,
sdp_n52_rep1_seednone.log,52,1,52,7,19,19,hog,52,False,False,True,15.000000000000007,6.048811299081737,,,8.87499999029898,10,0.4032540866054489,,,0.5916666660199317,0.6666666666666663,0.6815562034584256,,0.4671052626473147,2026-06-30 15:53:07 CEST,0s,0.13,
sdp_n53_rep1_seednone.log,53,1,53,8,20,20,hog,53,False,False,True,18.96781769268249,7.4949484270052125,,,12.51497668332951,15,0.3951402606477315,,,0.6598005572437363,0.7908131680212628,0.598878337263609,,0.6257488341664754,2026-06-30 15:53:09 CEST,0s,0.17,
sdp_n54_rep1_seednone.log,54,1,54,9,34,34,hog,54,False,False,True,24.000000000000036,9.98867778707318,,,13.374999999254351,20,0.41619490779471524,,,0.5572916666355971,0.8333333333333321,0.7468170308508444,,0.3933823529192456,2026-06-30 15:53:09 CEST,0s,0.19,
sdp_n55_rep1_seednone.log,55,1,55,10,38,38,hog,55,False,False,True,29.373459635526704,12.134937397110335,,,17.513973301570996,23,0.41312591528828063,,,0.5962516339201713,0.7830197833482947,0.6928717537796998,,0.4608940342518683,2026-06-30 15:53:09 CEST,0s,0.22,
sdp_n56_rep1_seednone.log,56,1,56,11,42,42,hog,56,False,False,True,32.42848310530979,13.725305026038733,,,20.229481410491342,26,0.42324844432181824,,,0.6238183064189949,0.801764298242578,0.6784803202577682,,0.4816543192974129,2026-06-30 15:53:10 CEST,0s,0.28,
sdp_n57_rep1_seednone.log,57,1,57,7,18,18,hog,57,False,False,True,15.00000000000004,6.041484623813085,,,9.374999982313728,10,0.4027656415875379,,,0.6249999988209135,0.6666666666666649,0.6444250277557932,,0.5208333323507627,2026-06-30 15:53:10 CEST,0s,0.11,
sdp_n58_rep1_seednone.log,58,1,58,8,21,21,hog,58,False,False,True,19.618033988749843,7.605413109744596,,,12.957527261723824,15,0.3876745811586419,,,0.6604906112995036,0.7646026104655491,0.586949419910601,,0.6170251077011345,2026-06-30 15:53:10 CEST,0s,0.14,
sdp_n59_rep1_seednone.log,59,1,59,9,27,27,hog,59,False,False,True,22.477253670088505,9.041326828760601,,,14.276521783040689,18,0.40224339509912205,,,0.6351541870988937,0.8008095768369341,0.6333003911009291,,0.5287600660385441,2026-06-30 15:53:10 CEST,0s,0.22,
sdp_n60_rep1_seednone.log,60,1,60,10,36,36,hog,60,False,False,True,28.247149199119047,11.53371834976904,,,16.951764381222368,20,0.40831442027887,,,0.6001230163697739,0.7080360520283493,0.6803845364052518,,0.47088234392284356,2026-06-30 15:53:10 CEST,0s,0.21,
sdp_n61_rep1_seednone.log,61,1,61,11,42,42,hog,61,False,False,True,32.838031624316436,13.723085905419554,,,20.704048358371587,25,0.4179022074897346,,,0.6304899329909993,0.761312379682575,0.6628213800452551,,0.49295353234218064,2026-06-30 15:53:10 CEST,0s,0.27,
sdp_n62_rep1_seednone.log,62,1,62,7,15,15,hog,62,False,False,True,13.36146876618584,4.963444715763501,,,8.137477913008182,9,0.3714744840271302,,,0.6090257033419765,0.6735786429989266,0.6099487788260753,,0.5424985275338787,2026-06-30 15:53:11 CEST,0s,0.13,
sdp_n63_rep1_seednone.log,63,1,63,8,23,23,hog,63,False,False,True,20.00000000000003,7.619180436656128,,,12.499999620422896,15,0.3809590218328059,,,0.624999981021144,0.7499999999999989,0.6095344534417161,,0.5434782443662128,2026-06-30 15:53:11 CEST,0s,0.15,
sdp_n64_rep1_seednone.log,64,1,64,9,30,30,hog,64,False,False,True,23.44408899337124,9.721690190751021,,,14.269698446038968,18,0.4146755369125158,,,0.6086693515825542,0.7677841525464887,0.6812821046999491,,0.47565661486796557,2026-06-30 15:53:12 CEST,0s,0.18,
sdp_n65_rep1_seednone.log,65,1,65,10,35,35,hog,65,False,False,True,28.499725125399536,11.74812380141115,,,17.846785602339057,23,0.41221884596146446,,,0.6262090432034952,0.8070253273952432,0.6582767375135276,,0.5099081600668303,2026-06-30 15:53:12 CEST,0s,0.21,
sdp_n66_rep1_seednone.log,66,1,66,11,43,43,hog,66,False,False,True,34.01995573366958,14.495937112477527,,,22.00782797282803,29,0.42610099865976264,,,0.6469093653477879,0.8524408505122971,0.6586718657731667,,0.5118099528564658,2026-06-30 15:53:12 CEST,0s,0.27,
sdp_n67_rep1_seednone.log,67,1,67,7,16,16,hog,67,False,False,True,14.61803398874996,5.591372494157988,,,9.504287556463705,11,0.3824982551320587,,,0.6501754999186762,0.752495171954423,0.5883000131193832,,0.5940179722789816,2026-06-30 15:53:13 CEST,0s,0.13,
