file,file_n,hog_idx,nodes,edges,finished,global_start_unix,global_start_readable,init_finish_unix,init_finish_readable,effective_start_unix,effective_start_readable,effective_end_unix_estimated,effective_end_readable_estimated,sdp_duration_seconds,sdp_duration_human,cache_save_seconds,abnormal
sdp_n0_rep1_seednone.log,0,0,8,11,True,1782545432.6957655,2026-06-27 09:30:32 CEST,1782545432.6993616,2026-06-27 09:30:32 CEST,1782545432.7025213,2026-06-27 09:30:32 CEST,1782551689.3925214,2026-06-27 11:14:49 CEST,6256.69,1h 44m 17s,0.0266,
sdp_n1_rep1_seednone.log,1,1,8,9,True,1782545437.3359408,2026-06-27 09:30:37 CEST,1782545437.361147,2026-06-27 09:30:37 CEST,1782545437.3644822,2026-06-27 09:30:37 CEST,1782550619.3844821,2026-06-27 10:56:59 CEST,5182.02,1h 26m 22s,0.0398,
sdp_n2_rep1_seednone.log,2,2,8,16,True,1782545432.6957202,2026-06-27 09:30:32 CEST,1782545432.699592,2026-06-27 09:30:32 CEST,1782545432.7023487,2026-06-27 09:30:32 CEST,1782551252.4823487,2026-06-27 11:07:32 CEST,5819.78,1h 37m 0s,0.0121,
sdp_n3_rep1_seednone.log,3,3,8,12,True,1782545432.695728,2026-06-27 09:30:32 CEST,1782545432.698698,2026-06-27 09:30:32 CEST,1782545432.7012434,2026-06-27 09:30:32 CEST,1782551719.0812435,2026-06-27 11:15:19 CEST,6286.38,1h 44m 46s,0.0103,
sdp_n4_rep1_seednone.log,4,4,8,16,True,1782545432.695769,2026-06-27 09:30:32 CEST,1782545432.700141,2026-06-27 09:30:32 CEST,1782545432.7022922,2026-06-27 09:30:32 CEST,1782551669.9422922,2026-06-27 11:14:29 CEST,6237.24,1h 43m 57s,0.0151,
sdp_n5_rep1_seednone.log,5,5,8,20,True,1782545432.6957607,2026-06-27 09:30:32 CEST,1782545432.7003999,2026-06-27 09:30:32 CEST,1782545432.7034442,2026-06-27 09:30:32 CEST,1782551768.0334442,2026-06-27 11:16:08 CEST,6335.33,1h 45m 35s,0.0069,
sdp_n6_rep1_seednone.log,6,6,8,12,True,1782545432.6955996,2026-06-27 09:30:32 CEST,1782545432.6992905,2026-06-27 09:30:32 CEST,1782545432.7012258,2026-06-27 09:30:32 CEST,1782551385.9012258,2026-06-27 11:09:45 CEST,5953.2,1h 39m 13s,0.0317,
sdp_n7_rep1_seednone.log,7,7,8,15,True,1782545433.151761,2026-06-27 09:30:33 CEST,1782545433.1620245,2026-06-27 09:30:33 CEST,1782545433.1648896,2026-06-27 09:30:33 CEST,1782551445.7448895,2026-06-27 11:10:45 CEST,6012.58,1h 40m 13s,0.0252,
sdp_n8_rep1_seednone.log,8,8,8,16,True,1782545433.4551473,2026-06-27 09:30:33 CEST,1782545433.4667134,2026-06-27 09:30:33 CEST,1782545433.4685628,2026-06-27 09:30:33 CEST,1782551092.9685628,2026-06-27 11:04:52 CEST,5659.5,1h 34m 20s,0.0235,
sdp_n9_rep1_seednone.log,9,9,8,16,True,1782545433.9814692,2026-06-27 09:30:33 CEST,1782545433.9937081,2026-06-27 09:30:33 CEST,1782545433.9965272,2026-06-27 09:30:33 CEST,1782551656.596527,2026-06-27 11:14:16 CEST,6222.6,1h 43m 43s,0.0067,
sdp_n10_rep1_seednone.log,10,10,8,24,True,1782545434.9585948,2026-06-27 09:30:34 CEST,1782545434.96186,2026-06-27 09:30:34 CEST,1782545434.9648817,2026-06-27 09:30:34 CEST,1782551764.7948816,2026-06-27 11:16:04 CEST,6329.83,1h 45m 30s,0.0081,
sdp_n11_rep1_seednone.log,11,11,8,24,True,1782545435.7097206,2026-06-27 09:30:35 CEST,1782545435.7243445,2026-06-27 09:30:35 CEST,1782545435.727776,2026-06-27 09:30:35 CEST,1782549882.347776,2026-06-27 10:44:42 CEST,4446.62,1h 14m 7s,0.0478,
sdp_n12_rep1_seednone.log,12,12,9,10,True,1782545436.4619403,2026-06-27 09:30:36 CEST,1782545436.4706166,2026-06-27 09:30:36 CEST,1782545436.4733222,2026-06-27 09:30:36 CEST,1782564679.3933222,2026-06-27 14:51:19 CEST,19242.92,5h 20m 43s,0.0114,
sdp_n13_rep1_seednone.log,13,13,9,18,True,1782545437.141956,2026-06-27 09:30:37 CEST,1782545437.1656392,2026-06-27 09:30:37 CEST,1782545437.1689878,2026-06-27 09:30:37 CEST,1782562985.0889878,2026-06-27 14:23:05 CEST,17547.92,4h 52m 28s,0.0717,
sdp_n14_rep1_seednone.log,14,14,9,21,True,1782545438.3254197,2026-06-27 09:30:38 CEST,1782545438.334418,2026-06-27 09:30:38 CEST,1782545438.3377771,2026-06-27 09:30:38 CEST,1782563650.9977772,2026-06-27 14:34:10 CEST,18212.66,5h 3m 33s,0.0358,
sdp_n15_rep1_seednone.log,15,15,9,18,True,1782545439.225202,2026-06-27 09:30:39 CEST,1782545439.2315114,2026-06-27 09:30:39 CEST,1782545439.2342265,2026-06-27 09:30:39 CEST,1782564288.3442264,2026-06-27 14:44:48 CEST,18849.11,5h 14m 9s,0.0076,
sdp_n16_rep1_seednone.log,16,16,9,14,True,1782549933.9336054,2026-06-27 10:45:33 CEST,1782549933.9586635,2026-06-27 10:45:33 CEST,1782549933.9726405,2026-06-27 10:45:33 CEST,1782572011.9226406,2026-06-27 16:53:31 CEST,22077.95,6h 7m 58s,0.0083,
sdp_n17_rep1_seednone.log,17,17,9,18,True,1782550640.0513442,2026-06-27 10:57:20 CEST,1782550640.0661638,2026-06-27 10:57:20 CEST,1782550640.0698166,2026-06-27 10:57:20 CEST,1782571067.1898165,2026-06-27 16:37:47 CEST,20427.12,5h 40m 27s,0.0155,
sdp_n18_rep1_seednone.log,18,18,9,18,True,1782551137.797088,2026-06-27 11:05:37 CEST,1782551137.8008652,2026-06-27 11:05:37 CEST,1782551137.804526,2026-06-27 11:05:37 CEST,1782570005.914526,2026-06-27 16:20:05 CEST,18868.11,5h 14m 28s,0.029,
sdp_n19_rep1_seednone.log,19,19,9,18,True,1782551270.7109144,2026-06-27 11:07:50 CEST,1782551270.7416677,2026-06-27 11:07:50 CEST,1782551270.7457118,2026-06-27 11:07:50 CEST,1782571593.4857118,2026-06-27 16:46:33 CEST,20322.74,5h 38m 43s,0.0114,
sdp_n20_rep1_seednone.log,20,20,9,27,True,1782551414.0708716,2026-06-27 11:10:14 CEST,1782551414.0905201,2026-06-27 11:10:14 CEST,1782551414.0942981,2026-06-27 11:10:14 CEST,1782571528.944298,2026-06-27 16:45:28 CEST,20114.85,5h 35m 15s,0.0198,
sdp_n21_rep1_seednone.log,21,21,9,27,True,1782551473.7649078,2026-06-27 11:11:13 CEST,1782551473.7825549,2026-06-27 11:11:13 CEST,1782551473.7862253,2026-06-27 11:11:13 CEST,1782572416.9962254,2026-06-27 17:00:16 CEST,20943.21,5h 49m 3s,0.0082,
sdp_n22_rep1_seednone.log,22,22,10,9,False,1782551671.2951522,2026-06-27 11:14:31 CEST,1782551671.3011832,2026-06-27 11:14:31 CEST,1782551671.3048337,2026-06-27 11:14:31 CEST,,,,,,missing sdp_duration
sdp_n23_rep1_seednone.log,23,23,10,21,True,1782551685.1151237,2026-06-27 11:14:45 CEST,1782551685.1418507,2026-06-27 11:14:45 CEST,1782551685.153556,2026-06-27 11:14:45 CEST,1782602033.5335562,2026-06-28 01:13:53 CEST,50348.38,13h 59m 8s,0.0457,
sdp_n24_rep1_seednone.log,24,24,10,28,False,1782551703.2322955,2026-06-27 11:15:03 CEST,1782551703.2537844,2026-06-27 11:15:03 CEST,1782551703.2567203,2026-06-27 11:15:03 CEST,,,,,,missing sdp_duration
sdp_n25_rep1_seednone.log,25,25,10,15,True,1782551732.2375011,2026-06-27 11:15:32 CEST,1782551732.2558954,2026-06-27 11:15:32 CEST,1782551732.2595105,2026-06-27 11:15:32 CEST,1782602582.1095104,2026-06-28 01:23:02 CEST,50849.85,14h 7m 30s,0.0376,
sdp_n26_rep1_seednone.log,26,26,10,20,True,1782551772.2198012,2026-06-27 11:16:12 CEST,1782551772.2379284,2026-06-27 11:16:12 CEST,1782551772.2412965,2026-06-27 11:16:12 CEST,1782602436.3412964,2026-06-28 01:20:36 CEST,50664.1,14h 4m 24s,0.0445,
sdp_n27_rep1_seednone.log,27,27,10,25,True,1782551772.9283128,2026-06-27 11:16:12 CEST,1782551772.9316516,2026-06-27 11:16:12 CEST,1782551772.935034,2026-06-27 11:16:12 CEST,1782603629.135034,2026-06-28 01:40:29 CEST,51856.2,14h 24m 16s,0.0419,
sdp_n28_rep1_seednone.log,28,28,10,16,False,1782563020.8779535,2026-06-27 14:23:40 CEST,1782563020.9501772,2026-06-27 14:23:40 CEST,1782563020.9570217,2026-06-27 14:23:40 CEST,,,,,,missing sdp_duration
sdp_n29_rep1_seednone.log,29,29,10,21,False,1782563690.7310927,2026-06-27 14:34:50 CEST,1782563690.7437103,2026-06-27 14:34:50 CEST,1782563690.7472699,2026-06-27 14:34:50 CEST,,,,,,missing sdp_duration
sdp_n30_rep1_seednone.log,30,30,10,20,False,1782564329.7708726,2026-06-27 14:45:29 CEST,1782564329.8065405,2026-06-27 14:45:29 CEST,1782564329.8104928,2026-06-27 14:45:29 CEST,,,,,,missing sdp_duration
sdp_n31_rep1_seednone.log,31,31,10,20,False,1782564697.5575755,2026-06-27 14:51:37 CEST,1782564697.5648713,2026-06-27 14:51:37 CEST,1782564697.5687222,2026-06-27 14:51:37 CEST,,,,,,missing sdp_duration
sdp_n32_rep1_seednone.log,32,32,10,30,False,1782570020.6974962,2026-06-27 16:20:20 CEST,1782570020.7347517,2026-06-27 16:20:20 CEST,1782570020.7488065,2026-06-27 16:20:20 CEST,,,,,,missing sdp_duration
sdp_n33_rep1_seednone.log,33,33,10,30,False,1782571106.360151,2026-06-27 16:38:26 CEST,1782571106.3777564,2026-06-27 16:38:26 CEST,1782571106.3817105,2026-06-27 16:38:26 CEST,,,,,,missing sdp_duration
sdp_n34_rep1_seednone.log,34,34,11,14,False,1782571542.9990516,2026-06-27 16:45:42 CEST,1782571543.0084536,2026-06-27 16:45:43 CEST,1782571543.0120559,2026-06-27 16:45:43 CEST,,,,,,missing sdp_duration
sdp_n35_rep1_seednone.log,35,35,11,25,False,1782571607.6271274,2026-06-27 16:46:47 CEST,1782571607.6579874,2026-06-27 16:46:47 CEST,1782571607.6619534,2026-06-27 16:46:47 CEST,,,,,,missing sdp_duration
sdp_n36_rep1_seednone.log,36,36,11,34,False,1782572020.209597,2026-06-27 16:53:40 CEST,1782572020.2255564,2026-06-27 16:53:40 CEST,1782572020.2294044,2026-06-27 16:53:40 CEST,,,,,,missing sdp_duration
sdp_n37_rep1_seednone.log,37,37,11,22,False,1782572426.0823908,2026-06-27 17:00:26 CEST,1782572426.0849218,2026-06-27 17:00:26 CEST,1782572426.087118,2026-06-27 17:00:26 CEST,,,,,,missing sdp_duration
sdp_n38_rep1_seednone.log,38,38,11,18,False,1782573911.0915627,2026-06-27 17:25:11 CEST,1782573911.1108167,2026-06-27 17:25:11 CEST,1782573911.117033,2026-06-27 17:25:11 CEST,,,,,,missing sdp_duration
sdp_n39_rep1_seednone.log,39,39,11,24,False,1782573957.71548,2026-06-27 17:25:57 CEST,1782573957.758,2026-06-27 17:25:57 CEST,1782573957.7647512,2026-06-27 17:25:57 CEST,,,,,,missing sdp_duration
sdp_n40_rep1_seednone.log,40,40,11,22,False,1782583278.0884924,2026-06-27 20:01:18 CEST,1782583278.149639,2026-06-27 20:01:18 CEST,1782583278.1537862,2026-06-27 20:01:18 CEST,,,,,,missing sdp_duration
sdp_n41_rep1_seednone.log,41,41,11,22,True,1782583997.2033656,2026-06-27 20:13:17 CEST,1782583997.2980726,2026-06-27 20:13:17 CEST,1782583997.3199317,2026-06-27 20:13:17 CEST,1782653314.0799317,2026-06-28 15:28:34 CEST,69316.76,19h 15m 17s,0.0382,
sdp_n42_rep1_seednone.log,42,42,11,33,False,1782585205.3659937,2026-06-27 20:33:25 CEST,1782585205.398014,2026-06-27 20:33:25 CEST,1782585205.4024024,2026-06-27 20:33:25 CEST,,,,,,missing sdp_duration
sdp_n43_rep1_seednone.log,43,43,11,33,False,1782585756.4941275,2026-06-27 20:42:36 CEST,1782585756.5504503,2026-06-27 20:42:36 CEST,1782585756.5602615,2026-06-27 20:42:36 CEST,,,,,,missing sdp_duration
sdp_n44_rep1_seednone.log,44,44,12,21,False,1782589331.8895535,2026-06-27 21:42:11 CEST,1782589331.8999987,2026-06-27 21:42:11 CEST,1782589331.9040215,2026-06-27 21:42:11 CEST,,,,,,missing sdp_duration
sdp_n45_rep1_seednone.log,45,45,12,23,False,1782590898.5295813,2026-06-27 22:08:18 CEST,1782590898.5579312,2026-06-27 22:08:18 CEST,1782590898.569161,2026-06-27 22:08:18 CEST,,,,,,missing sdp_duration
sdp_n46_rep1_seednone.log,46,46,12,42,False,1782602050.114995,2026-06-28 01:14:10 CEST,1782602050.1213837,2026-06-28 01:14:10 CEST,1782602050.1252396,2026-06-28 01:14:10 CEST,,,,,,missing sdp_duration
sdp_n47_rep1_seednone.log,47,47,12,18,False,1782602442.7208073,2026-06-28 01:20:42 CEST,1782602442.7231991,2026-06-28 01:20:42 CEST,1782602442.7254994,2026-06-28 01:20:42 CEST,,,,,,missing sdp_duration
sdp_n48_rep1_seednone.log,48,48,12,24,False,1782602594.5309596,2026-06-28 01:23:14 CEST,1782602594.5435386,2026-06-28 01:23:14 CEST,1782602594.5472114,2026-06-28 01:23:14 CEST,,,,,,missing sdp_duration
sdp_n49_rep1_seednone.log,49,49,12,30,False,1782603635.876722,2026-06-28 01:40:35 CEST,1782603635.8799922,2026-06-28 01:40:35 CEST,1782603635.8834317,2026-06-28 01:40:35 CEST,,,,,,missing sdp_duration
sdp_n50_rep1_seednone.log,50,50,12,20,False,1782607938.9447594,2026-06-28 02:52:18 CEST,1782607938.9521732,2026-06-28 02:52:18 CEST,1782607938.9560385,2026-06-28 02:52:18 CEST,,,,,,missing sdp_duration
sdp_n51_rep1_seednone.log,51,51,12,27,False,1782607978.379579,2026-06-28 02:52:58 CEST,1782607978.3936288,2026-06-28 02:52:58 CEST,1782607978.3978732,2026-06-28 02:52:58 CEST,,,,,,missing sdp_duration
sdp_n52_rep1_seednone.log,52,52,12,24,False,1782608442.6376705,2026-06-28 03:00:42 CEST,1782608442.6739006,2026-06-28 03:00:42 CEST,1782608442.678209,2026-06-28 03:00:42 CEST,,,,,,missing sdp_duration
sdp_n53_rep1_seednone.log,53,53,12,24,False,1782611074.6587749,2026-06-28 03:44:34 CEST,1782611074.721725,2026-06-28 03:44:34 CEST,1782611074.7262115,2026-06-28 03:44:34 CEST,,,,,,missing sdp_duration
sdp_n54_rep1_seednone.log,54,54,12,36,False,1782611894.299679,2026-06-28 03:58:14 CEST,1782611894.3583958,2026-06-28 03:58:14 CEST,1782611894.3627577,2026-06-28 03:58:14 CEST,,,,,,missing sdp_duration
sdp_n55_rep1_seednone.log,55,55,12,36,False,1782614892.1886535,2026-06-28 04:48:12 CEST,1782614892.1945136,2026-06-28 04:48:12 CEST,1782614892.198271,2026-06-28 04:48:12 CEST,,,,,,missing sdp_duration
sdp_n56_rep1_seednone.log,56,56,13,22,False,1782614915.8506699,2026-06-28 04:48:35 CEST,1782614915.8560858,2026-06-28 04:48:35 CEST,1782614915.8598535,2026-06-28 04:48:35 CEST,,,,,,missing sdp_duration
sdp_n57_rep1_seednone.log,57,57,13,31,False,1782615003.855602,2026-06-28 04:50:03 CEST,1782615003.8697965,2026-06-28 04:50:03 CEST,1782615003.8737483,2026-06-28 04:50:03 CEST,,,,,,missing sdp_duration
sdp_n58_rep1_seednone.log,58,58,13,43,False,1782615703.2781663,2026-06-28 05:01:43 CEST,1782615703.2843297,2026-06-28 05:01:43 CEST,1782615703.2883196,2026-06-28 05:01:43 CEST,,,,,,missing sdp_duration
sdp_n59_rep1_seednone.log,59,59,13,26,False,1782645281.8263414,2026-06-28 13:14:41 CEST,1782645281.882013,2026-06-28 13:14:41 CEST,1782645281.8939638,2026-06-28 13:14:41 CEST,,,,,,missing sdp_duration
