file,file_n,hog_idx,nodes,edges,finished,global_start_unix,global_start_readable,init_finish_unix,init_finish_readable,effective_start_unix,effective_start_readable,effective_end_unix_estimated,effective_end_readable_estimated,sdp_duration_seconds,sdp_duration_human,duration_so_far_seconds,duration_so_far_human,duration_seconds_for_sorting,duration_label,cache_save_seconds,abnormal
sdp_n22_rep1_seednone.log,22,22,10,9,True,1782728738.991712,2026-06-29 12:25:38 CEST,1782728738.9944506,2026-06-29 12:25:38 CEST,1782728738.9964,2026-06-29 12:25:38 CEST,1782735774.7764,2026-06-29 14:22:54 CEST,7035.78,1h 57m 16s,,,7035.78,1h 57m 16s,0.0224,
sdp_n24_rep1_seednone.log,24,24,10,28,True,1782728738.9912276,2026-06-29 12:25:38 CEST,1782728738.9942021,2026-06-29 12:25:38 CEST,1782728738.996235,2026-06-29 12:25:38 CEST,1782735898.146235,2026-06-29 14:24:58 CEST,7159.15,1h 59m 19s,,,7159.15,1h 59m 19s,0.018,
sdp_n28_rep1_seednone.log,28,28,10,16,True,1782728738.9915318,2026-06-29 12:25:38 CEST,1782728738.9940135,2026-06-29 12:25:38 CEST,1782728738.9961598,2026-06-29 12:25:38 CEST,1782736112.0661597,2026-06-29 14:28:32 CEST,7373.07,2h 2m 53s,,,7373.07,2h 2m 53s,0.0129,
sdp_n29_rep1_seednone.log,29,29,10,21,True,1782728738.9914289,2026-06-29 12:25:38 CEST,1782728738.9943502,2026-06-29 12:25:38 CEST,1782728738.9962888,2026-06-29 12:25:38 CEST,1782735951.2162888,2026-06-29 14:25:51 CEST,7212.22,2h 0m 12s,,,7212.22,2h 0m 12s,0.0186,
sdp_n30_rep1_seednone.log,30,30,10,20,True,1782728738.9916747,2026-06-29 12:25:38 CEST,1782728738.9943106,2026-06-29 12:25:38 CEST,1782728738.996386,2026-06-29 12:25:38 CEST,1782736027.066386,2026-06-29 14:27:07 CEST,7288.07,2h 1m 28s,,,7288.07,2h 1m 28s,0.015,
sdp_n31_rep1_seednone.log,31,31,10,20,True,1782728738.9914174,2026-06-29 12:25:38 CEST,1782728738.9939291,2026-06-29 12:25:38 CEST,1782728738.9964523,2026-06-29 12:25:38 CEST,1782735991.7464523,2026-06-29 14:26:31 CEST,7252.75,2h 0m 53s,,,7252.75,2h 0m 53s,0.0127,
sdp_n32_rep1_seednone.log,32,32,10,30,True,1782728739.462654,2026-06-29 12:25:39 CEST,1782728739.465424,2026-06-29 12:25:39 CEST,1782728739.4689593,2026-06-29 12:25:39 CEST,1782735988.1089594,2026-06-29 14:26:28 CEST,7248.64,2h 0m 49s,,,7248.64,2h 0m 49s,0.0147,
sdp_n33_rep1_seednone.log,33,33,10,30,True,1782728739.59642,2026-06-29 12:25:39 CEST,1782728739.5988986,2026-06-29 12:25:39 CEST,1782728739.6009243,2026-06-29 12:25:39 CEST,1782735934.2409244,2026-06-29 14:25:34 CEST,7194.64,1h 59m 55s,,,7194.64,1h 59m 55s,0.0169,
sdp_n34_rep1_seednone.log,34,34,11,14,True,1782728740.3890686,2026-06-29 12:25:40 CEST,1782728740.3916728,2026-06-29 12:25:40 CEST,1782728740.3936875,2026-06-29 12:25:40 CEST,1782745166.9036875,2026-06-29 16:59:26 CEST,16426.51,4h 33m 47s,,,16426.51,4h 33m 47s,0.0159,
sdp_n35_rep1_seednone.log,35,35,11,25,True,1782728740.4214892,2026-06-29 12:25:40 CEST,1782728740.4247239,2026-06-29 12:25:40 CEST,1782728740.4267213,2026-06-29 12:25:40 CEST,1782745332.2767212,2026-06-29 17:02:12 CEST,16591.85,4h 36m 32s,,,16591.85,4h 36m 32s,0.0142,
sdp_n36_rep1_seednone.log,36,36,11,34,True,1782728740.856499,2026-06-29 12:25:40 CEST,1782728740.859168,2026-06-29 12:25:40 CEST,1782728740.86116,2026-06-29 12:25:40 CEST,1782745396.20116,2026-06-29 17:03:16 CEST,16655.34,4h 37m 35s,,,16655.34,4h 37m 35s,0.0219,
sdp_n37_rep1_seednone.log,37,37,11,22,True,1782728741.3520172,2026-06-29 12:25:41 CEST,1782728741.3552625,2026-06-29 12:25:41 CEST,1782728741.358604,2026-06-29 12:25:41 CEST,1782745405.058604,2026-06-29 17:03:25 CEST,16663.7,4h 37m 44s,,,16663.7,4h 37m 44s,0.0163,
sdp_n38_rep1_seednone.log,38,38,11,18,True,1782728741.9201694,2026-06-29 12:25:41 CEST,1782728741.9220004,2026-06-29 12:25:41 CEST,1782728741.9238439,2026-06-29 12:25:41 CEST,1782745504.4638438,2026-06-29 17:05:04 CEST,16762.54,4h 39m 23s,,,16762.54,4h 39m 23s,0.0174,
sdp_n39_rep1_seednone.log,39,39,11,24,True,1782728742.6962466,2026-06-29 12:25:42 CEST,1782728742.6986754,2026-06-29 12:25:42 CEST,1782728742.701487,2026-06-29 12:25:42 CEST,1782745632.3314872,2026-06-29 17:07:12 CEST,16889.63,4h 41m 30s,,,16889.63,4h 41m 30s,0.0183,
sdp_n40_rep1_seednone.log,40,40,11,22,True,1782728743.418019,2026-06-29 12:25:43 CEST,1782728743.4202933,2026-06-29 12:25:43 CEST,1782728743.4221687,2026-06-29 12:25:43 CEST,1782745596.6021688,2026-06-29 17:06:36 CEST,16853.18,4h 40m 53s,,,16853.18,4h 40m 53s,0.0247,
sdp_n42_rep1_seednone.log,42,42,11,33,True,1782728744.168351,2026-06-29 12:25:44 CEST,1782728744.1760354,2026-06-29 12:25:44 CEST,1782728744.1781294,2026-06-29 12:25:44 CEST,1782745570.3181295,2026-06-29 17:06:10 CEST,16826.14,4h 40m 26s,,,16826.14,4h 40m 26s,0.0161,
sdp_n43_rep1_seednone.log,43,43,11,33,True,1782728745.6005652,2026-06-29 12:25:45 CEST,1782728745.6063209,2026-06-29 12:25:45 CEST,1782728745.6095114,2026-06-29 12:25:45 CEST,1782745644.7995114,2026-06-29 17:07:24 CEST,16899.19,4h 41m 39s,,,16899.19,4h 41m 39s,0.0175,
sdp_n44_rep1_seednone.log,44,44,12,21,True,1782728746.7296796,2026-06-29 12:25:46 CEST,1782728746.7330022,2026-06-29 12:25:46 CEST,1782728746.7363071,2026-06-29 12:25:46 CEST,1782764570.766307,2026-06-29 22:22:50 CEST,35824.03,9h 57m 4s,,,35824.03,9h 57m 4s,0.0209,
sdp_n45_rep1_seednone.log,45,45,12,23,True,1782728747.9323344,2026-06-29 12:25:47 CEST,1782728747.9436603,2026-06-29 12:25:47 CEST,1782728747.9461133,2026-06-29 12:25:47 CEST,1782764486.0461133,2026-06-29 22:21:26 CEST,35738.1,9h 55m 38s,,,35738.1,9h 55m 38s,0.0226,
sdp_n46_rep1_seednone.log,46,46,12,42,True,1782728749.0099666,2026-06-29 12:25:49 CEST,1782728749.0215588,2026-06-29 12:25:49 CEST,1782728749.0235121,2026-06-29 12:25:49 CEST,1782764461.553512,2026-06-29 22:21:01 CEST,35712.53,9h 55m 13s,,,35712.53,9h 55m 13s,0.0223,
sdp_n47_rep1_seednone.log,47,47,12,18,True,1782728751.3078353,2026-06-29 12:25:51 CEST,1782728751.317777,2026-06-29 12:25:51 CEST,1782728751.3211014,2026-06-29 12:25:51 CEST,1782764720.8011014,2026-06-29 22:25:20 CEST,35969.48,9h 59m 29s,,,35969.48,9h 59m 29s,0.0217,
sdp_n48_rep1_seednone.log,48,48,12,24,True,1782728752.2507906,2026-06-29 12:25:52 CEST,1782728752.2559674,2026-06-29 12:25:52 CEST,1782728752.2593307,2026-06-29 12:25:52 CEST,1782764663.8793306,2026-06-29 22:24:23 CEST,35911.62,9h 58m 32s,,,35911.62,9h 58m 32s,0.0227,
sdp_n49_rep1_seednone.log,49,49,12,30,True,1782728753.6789498,2026-06-29 12:25:53 CEST,1782728753.6942208,2026-06-29 12:25:53 CEST,1782728753.697488,2026-06-29 12:25:53 CEST,1782764547.507488,2026-06-29 22:22:27 CEST,35793.81,9h 56m 34s,,,35793.81,9h 56m 34s,0.0225,
