run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_energy_statevector,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,warm_start_mode,warm_start_corr_strength,warm_start_corr_repeats,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
b18e2af0,10,15,1,50.0,False,True,"[1, 1, 1]",3.793415256398327,6.165253912691459,3.5838421537773044,,0.944857038687827,4.738272295086154,,,,,,14.375725030899048,2026-05-04 15:20:40,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,375.69,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,6,"[(3, 9), (0, 1), (2, 3), (1, 6), (5, 7), (7, 9), (0, 3), (4, 6), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (1, 7)]",
5b148a5a,10,15,1,50.0,False,True,"[1, 1, 1]",4.499894696974028,6.499999940515443,4.499894698000523,,0.0,4.499894696974028,,,,,,14.49394416809082,2026-05-04 15:20:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,378.59,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,7,"[(1, 3), (0, 1), (2, 3), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (6, 8), (4, 9), (7, 8), (4, 5), (0, 2), (6, 7)]",
be8ddc2e,10,15,1,50.0,False,True,"[1, 1, 1]",4.305986473176996,6.182603375950905,4.631736731930946,,0.11284049965927956,4.418826972836276,,,,,,14.475157022476196,2026-05-04 15:21:14,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,379.73,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,8,"[(3, 9), (2, 7), (0, 1), (3, 8), (2, 6), (7, 9), (0, 3), (6, 8), (1, 5), (4, 5), (5, 9), (4, 8), (1, 4), (0, 2), (6, 7)]",
a5b7c354,8,12,2,50.0,False,True,"[1, 1, 1]",2.923268592400889,5.1943196566282595,3.1588378907149273,,0.6868651199006184,3.6101337123015074,,,,,,3.3034300804138184,2026-05-04 15:21:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,275.09,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,2,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]",
993e188f,10,15,1,50.0,False,True,"[1, 1, 1]",1.5000000000920501,7.499999999924614,1.5000000000920521,,4.4979414278579535,5.997941427950003,,,,,,14.376016855239868,2026-05-04 15:21:38,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,379.92,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,9,"[(3, 9), (2, 7), (0, 1), (1, 6), (4, 7), (3, 8), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (5, 6), (4, 8), (0, 2)]",
417bde91,8,12,1,50.0,False,True,"[1, 1, 1]",3.601584507343809,5.13922508841741,4.242310659946,,0.08356198036811735,3.6851464877119264,,,,,,1.8505182266235352,2026-05-04 15:21:43,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,271.34,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,10,"[(0, 1), (2, 3), (2, 6), (5, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (1, 4), (0, 2), (6, 7)]",
cb6bcbe1,8,12,1,50.0,False,True,"[1, 1, 1]",4.000116841859732,4.999998978645185,4.000119181942756,,0.0,4.000116841859732,,,,,,1.718696117401123,2026-05-04 15:21:49,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,276.45,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,11,"[(1, 3), (0, 1), (2, 7), (2, 3), (1, 6), (4, 7), (5, 7), (0, 3), (4, 6), (5, 6), (4, 5), (0, 2)]",
aeee35cd,10,15,1,50.0,False,True,"[1, 1, 1]",3.363299128785966,7.0123337917015425,3.6561583047531663,,0.8800000237962551,4.243299152582221,,,,,,14.524739980697632,2026-05-04 15:22:08,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,377.91,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,12,"[(3, 9), (0, 1), (4, 7), (5, 8), (2, 6), (1, 9), (0, 3), (1, 8), (4, 9), (5, 6), (2, 8), (4, 5), (3, 7), (0, 2), (6, 7)]",
20e66c69,10,15,2,50.0,False,True,"[1, 1, 1]",3.9511680717207396,5.942306928967072,4.800325185941266,,0.4038396969461697,4.355007768666909,,,,,,26.345558881759644,2026-05-04 15:22:37,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,383.0,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,3,"[(8, 9), (0, 1), (3, 8), (2, 6), (5, 7), (2, 9), (0, 3), (4, 6), (1, 5), (5, 9), (3, 7), (4, 8), (1, 4), (0, 2), (6, 7)]",
6f454de4,10,15,1,50.0,False,True,"[1, 1, 1]",2.500000000002278,7.499999999996152,2.500000000002279,,2.0989702937811945,4.598970293783473,,,,,,14.53877305984497,2026-05-04 15:22:54,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,376.83,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,13,"[(3, 9), (0, 1), (4, 7), (5, 8), (2, 6), (1, 9), (5, 7), (0, 3), (4, 6), (1, 8), (4, 9), (5, 6), (2, 8), (3, 7), (0, 2)]",
