run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
8b0b2359,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.6509402774418322,1.9994504411677274,1.5194657496901682,1.463192824200304,0.42855925602477296,,1.4276873711028881,1.3151415201231598,2.177036509751748,,0.6376392308155934,,,,221.43758487701416,221.4314568042755,False,154.77785277366638,0.0,0.006128072738647461,154.77785277366638,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed8000042_L2_M2_standard.npz,221.4499864578247,2026-06-17 17:43:21,x86_64,dacsgpu0001,,64,64,3.11.15,4.01,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,8000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,9,8000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
ead123d8,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,2.04054110145938,1.9994504411677274,1.8906327439022066,1.545272122220986,0.4525997258199991,,0.8329315461349593,0.14221030277251812,1.9617378952884656,,0.574579726619366,,,,221.66504168510437,221.65718388557434,False,154.79981541633606,0.0,0.007857799530029297,154.79981541633606,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed6000042_L2_M2_standard.npz,221.68124651908875,2026-06-17 17:43:21,x86_64,dacsgpu0001,,64,64,3.11.15,4.0,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,6000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,7,6000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
0e1bc50f,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.578043941146589,1.9994504411677274,1.3882176590738706,1.956259792912561,0.5729752275814977,,0.3658447202513977,1.5019289879287783,2.1391821530382598,,0.6265519464316671,,,,224.89594078063965,224.89065766334534,False,158.0934841632843,0.0,0.0052831172943115234,158.0934841632843,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed7000042_L2_M2_standard.npz,224.90994906425476,2026-06-17 17:43:24,x86_64,dacsgpu0001,,64,64,3.11.15,4.0,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,7000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,8,7000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
ddc42e22,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,2.390145175749228,1.9994504411677274,2.221108499637332,1.7653068506499892,0.5170464056803137,,0.2087693671308677,-0.7028339308438181,1.869691534215423,,0.5476199716446173,,,,224.70747351646423,224.70033764839172,False,157.55061626434326,0.0,0.007135868072509766,157.55061626434326,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed9000042_L2_M2_standard.npz,224.72023844718933,2026-06-17 17:43:24,x86_64,dacsgpu0001,,64,64,3.11.15,4.0,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,9000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,10,9000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
02bba71b,5,5,1,50.0,False,True,"[1, 1, 1]",,6.415500126410359,3.2077500632051796,1.6012505160329997,1.8700899904147317,1.5342875217010368,1.6012505160329997,0.513550518291533,,1.5744808138070203,1.7084068024709462,2.38849092293651,,0.7660330092804715,,,,107.98573040962219,107.98035478591919,False,36.98241209983826,0.0,0.00537562370300293,36.98241209983826,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000016_fffcd25a2931_seed42_L2_M2_standard.npz,108.00016903877258,2026-06-17 17:44:53,x86_64,dacsgpu0001,,64,64,3.11.15,1.19,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,42,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,1,42,16,"[(1, 3), (0, 1), (3, 4), (0, 2), (2, 4)]",
b3bbb83d,6,5,3,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.9471010538029863,1.9994504411677274,1.8216109510367509,1.297161374194116,0.37992977020819574,,2.4969665146423456,1.4480673609570758,2.5456446315152887,,0.7456020500796977,,,,147.5039825439453,257.0710241794586,True,109.57029581069946,0.003242969512939453,0.0,109.57029581069946,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed4000042_L2_M2_standard.npz,147.51983666419983,2026-06-17 17:44:58,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,4000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,5,4000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
191320e1,5,5,1,50.0,False,True,"[1, 1, 1]",,6.415500126410359,3.2077500632051796,2.343626017089846,1.8700899904147317,2.148163745650205,2.343626017089846,0.7516440080467756,,0.05832057488495668,0.4492451177642387,2.3727863045323243,,0.7609962490482118,,,,105.33545684814453,105.33066463470459,False,35.69466161727905,0.0,0.004792213439941406,35.69466161727905,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000016_fffcd25a2931_seed2000042_L2_M2_standard.npz,105.34742760658264,2026-06-17 17:45:09,x86_64,dacsgpu0001,,64,64,3.11.15,1.19,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,2000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,3,2000042,16,"[(1, 3), (0, 1), (3, 4), (0, 2), (2, 4)]",
7b941915,5,5,1,50.0,False,True,"[1, 1, 1]",,6.415500126410359,3.2077500632051796,1.560905150433346,1.8700899904147317,1.477703490413471,1.5609051504333464,0.5006110168163395,,0.47438652570154494,0.6407898457412959,1.798098413284119,,0.5766832627594993,,,,106.72928714752197,106.72372269630432,False,38.36616039276123,0.0,0.005564451217651367,38.36616039276123,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000016_fffcd25a2931_seed1000042_L2_M2_standard.npz,106.74032831192017,2026-06-17 17:45:10,x86_64,dacsgpu0001,,64,64,3.11.15,1.19,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,1000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,2,1000042,16,"[(1, 3), (0, 1), (3, 4), (0, 2), (2, 4)]",
bd020eb7,5,5,1,50.0,False,True,"[1, 1, 1]",,6.415500126410359,3.2077500632051796,1.494966469731511,1.8700899904147317,1.3807936719917575,1.4949664697315104,0.4794632680344806,,1.5529274889326032,1.781273084412109,2.271430214197812,,0.7284894849896767,,,,105.21101546287537,105.2066764831543,False,35.65552759170532,0.0,0.004338979721069336,35.65552759170532,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000016_fffcd25a2931_seed3000042_L2_M2_standard.npz,105.2253680229187,2026-06-17 17:45:16,x86_64,dacsgpu0001,,64,64,3.11.15,1.19,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,3000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,4,3000042,16,"[(1, 3), (0, 1), (3, 4), (0, 2), (2, 4)]",
591ea108,5,5,1,50.0,False,True,"[1, 1, 1]",,6.415500126410359,3.2077500632051796,1.3665106627302959,1.8700899904147317,1.2851007115194846,1.3665106627302972,0.43826512595583617,,1.5617117919284418,1.724531694350067,2.147366558694518,,0.6886999867525716,,,,104.83285522460938,104.8249683380127,False,35.600138664245605,0.0,0.007886886596679688,35.600138664245605,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000016_fffcd25a2931_seed4000042_L2_M2_standard.npz,104.85123825073242,2026-06-17 17:45:16,x86_64,dacsgpu0001,,64,64,3.11.15,1.19,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,4000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,5,4000042,16,"[(1, 3), (0, 1), (3, 4), (0, 2), (2, 4)]",
