run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations
33108742,2,1,1,50.0,False,True,"[1, 1, 1]",0.49999999999996586,,0.000979981253443285,0.5009799812534091,,,,,,0.12552499771118164,2026-04-29 18:31:28,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,207.83,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
f8fe9550,3,2,1,50.0,False,True,"[1, 1, 1]",0.9999999967509906,,0.3903387663731114,1.390338763124102,,0.9268925087494013,,,,0.12679076194763184,2026-04-29 18:31:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.03,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
1b227859,2,1,1,100.0,False,True,"[1, 1, 1]",0.4999999999999114,,0.04084920765783584,0.5408492076577472,,,,,,0.17548584938049316,2026-04-29 18:31:35,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.56,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
f2fd77ec,4,3,1,50.0,False,True,"[1, 1, 1]",1.4999999996889923,,-9.733571819303677e-05,1.4999026639707993,,0.6339402637239219,,,,0.15779614448547363,2026-04-29 18:31:37,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.81,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
dce9b530,5,4,1,50.0,False,True,"[1, 1, 1]",1.999999999331624,,0.46899912923582665,2.4689991285674506,,0.8432374072976266,,,,0.18453311920166016,2026-04-29 18:31:39,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,210.47,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
8e8933c5,3,2,1,100.0,False,True,"[1, 1, 1]",0.9999999996379054,,0.03930621540103396,1.0393062150389394,,0.6928708100259596,,,,0.23212599754333496,2026-04-29 18:31:42,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.23,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
965613fb,6,5,1,50.0,False,True,"[1, 1, 1]",2.499999999085691,,-0.17364766719181146,2.3263523318938795,,0.6213547895015703,,,,0.23739004135131836,2026-04-29 18:31:44,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,212.48,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
438def10,7,6,1,50.0,False,True,"[1, 1, 1]",2.9999999991897894,,0.11482722964263825,3.1148272288324277,,0.7183642132916115,,,,0.35651397705078125,2026-04-29 18:31:47,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,214.5,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
45fec14e,4,3,1,100.0,False,True,"[1, 1, 1]",1.4999999962141686,,0.03735691463288959,1.5373569108470582,,0.6497704610511658,,,,0.28037595748901367,2026-04-29 18:31:49,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.94,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
b39754de,2,1,1,200.0,False,True,"[1, 1, 1]",0.49999999999999284,,0.40697132908955697,0.9069713290895498,,,,,,0.3386502265930176,2026-04-29 18:31:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.34,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
