run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,blas_threads,max_parallel,use_ram_limit,min_free_ram_mb,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
ea4f32dc,5,4,4,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.682006043164896,,0.9395259027861669,,,,403.10029006004333,403.10029006004333,False,,0.0,0.0,,,403.15550327301025,2026-06-16 16:16:12,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,1000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
972e6a75,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.1217448502427216,,0.7432623990488273,,,,246.4266173839569,246.4266173839569,False,,0.0,0.0,,,246.4721896648407,2026-06-16 16:16:51,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,2000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,3,2000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
1ada9ef9,5,4,1,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,1.6914669564187896,,0.5925329748276883,,,,49.46821165084839,49.46821165084839,False,,0.0,0.0,,,49.51721167564392,2026-06-16 16:17:06,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,3000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,4,3000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
8f1db685,5,4,2,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.1008188701759756,,0.7359318785363923,,,,127.19667935371399,127.19667935371399,False,,0.0,0.0,,,127.2484917640686,2026-06-16 16:19:03,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,3000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,4,3000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
a117e500,5,4,5,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.7055434780575074,,0.9477712346052762,,,,612.2588024139404,612.2588024139404,False,,0.0,0.0,,,612.3158719539642,2026-06-16 16:19:54,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,1000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
4e7a666f,5,4,4,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.6950491468193385,,0.9440949953008179,,,,395.9421103000641,395.9421103000641,False,,0.0,0.0,,,395.9895067214966,2026-06-16 16:21:02,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,2000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,3,2000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
f7e61101,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.717698333930253,,0.9520291675678737,,,,243.68700695037842,243.68700695037842,False,,0.0,0.0,,,243.73517155647278,2026-06-16 16:21:14,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,3000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,4,3000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
1a335dc5,5,4,1,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.0607550431306416,,0.7218972333238044,,,,45.81138801574707,45.81138801574707,False,,0.0,0.0,,,45.85374426841736,2026-06-16 16:21:52,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,4000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,5,4000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
becd9d72,5,4,2,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.101637179435458,,0.7362185381238056,,,,124.97430753707886,124.97430753707886,False,,0.0,0.0,,,125.02575039863586,2026-06-16 16:23:23,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,4000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,5,4000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
4bb47eb3,5,4,5,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.6893299146061813,,0.9420915073437328,,,,598.6763052940369,598.6763052940369,False,,0.0,0.0,,,598.7315359115601,2026-06-16 16:25:27,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,2000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,3,2000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
