run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
f2bf2dfa,8,28,20,200.0,False,True,"[1, 1, 1]",7.9356561090330535,1.270095140171179e-13,7.9356561090331805,,0.793565610903318,,,,749.6316161155701,2026-04-17 10:07:30,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,277.33,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
8fc5123f,9,36,20,200.0,False,True,"[1, 1, 1]",9.98461882847655,4.334310688136611e-13,9.984618828476984,,0.8320515690397486,,,,1260.043471813202,2026-04-17 10:14:49,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,407.86,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
bda29b28,7,21,20,200.0,False,True,"[1, 1, 1]",5.90617565392358,-1.3145040611561853e-13,5.906175653923449,,0.7874900871897932,,,,628.9785380363464,2026-04-17 10:25:24,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.98,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
d3ac96fd,10,45,20,200.0,False,True,"[1, 1, 1]",12.255238541807557,-2.2026824808563106e-13,12.255238541807337,,0.8170159027871559,,,,4405.7162828445435,2026-04-17 11:06:04,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,353.22,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
4621ed1b,6,15,20,200.0,False,True,"[1, 1, 1]",4.418384951687104,1.2079226507921703e-13,4.418384951687225,,0.7363974919478707,,,,432.25311613082886,2026-04-17 13:03:05,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,197.94,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
7beb9315,9,36,15,200.0,False,True,"[1, 1, 1]",9.9087345338308,3.304023721284466e-13,9.908734533831131,,0.8257278778192609,,,,865.7819068431854,2026-04-17 13:27:12,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,370.56,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
167bcab9,5,10,20,200.0,False,True,"[1, 1, 1]",3.0227844589569988,8.881784197001252e-16,3.0227844589569997,,0.7556961147392499,,,,304.8736550807953,2026-04-17 13:28:26,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,220.45,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
3b658e62,8,28,15,200.0,False,True,"[1, 1, 1]",7.969871408989593,7.105427357601002e-14,7.969871408989664,,0.7969871408989664,,,,492.2411379814148,2026-04-17 13:43:04,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,269.78,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
816abf47,10,45,15,200.0,False,True,"[1, 1, 1]",12.48301978206554,-4.3165471197426086e-13,12.483019782065108,,0.8322013188043406,,,,2985.044088125229,2026-04-17 13:46:55,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,371.19,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
8159e3fa,9,36,20,100.0,False,True,"[1, 1, 1]",9.944290299622857,-2.7355895326763857e-13,9.944290299622583,,0.8286908583018819,,,,687.5432901382446,2026-04-17 13:47:37,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,395.19,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
