run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances
1b680b4f,3,3,2,50.0,False,False,"[1, 1, 1]",,,,2.7755575615628914e-17,,1.850371707708594e-17,,,,5.469278812408447,2026-04-26 17:53:58,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,123.34,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
7cf59617,4,6,2,50.0,False,False,"[1, 1, 1]",,,,-3.3306690738754696e-16,,-1.1102230246251565e-16,,,,7.0023298263549805,2026-04-26 17:54:55,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,105.38,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
a9cb9315,5,10,2,50.0,False,False,"[1, 1, 1]",,,,-2.5673907444456745e-16,,-6.418476861114186e-17,,,,6.017843961715698,2026-04-26 17:55:31,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,127.03,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
d23178a5,3,3,2,100.0,False,False,"[1, 1, 1]",,,,-6.938893903907228e-18,,-4.625929269271485e-18,,,,5.3478429317474365,2026-04-26 17:55:48,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,137.78,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
d926ea03,6,15,2,50.0,False,False,"[1, 1, 1]",,,,1.2091022627558345e-15,,2.015170437926391e-16,,,,8.211323976516724,2026-04-26 17:55:51,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,142.42,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
1a43fffb,4,6,2,100.0,False,False,"[1, 1, 1]",,,,5.412337245047638e-16,,1.8041124150158794e-16,,,,7.627191066741943,2026-04-26 17:56:13,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,148.05,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
d4736fe3,7,21,2,50.0,False,False,"[1, 1, 1]",,,,5.176414852314792e-15,,6.901886469753057e-16,,,,9.924388885498047,2026-04-26 17:56:15,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,141.7,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
08668358,8,28,2,50.0,False,False,"[1, 1, 1]",,,,-1.1818671041829987e-14,,-1.1818671041829986e-15,,,,21.39245104789734,2026-04-26 17:56:50,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,141.31,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
95e6cf71,9,36,2,50.0,False,False,"[1, 1, 1]",,,,6.7263902781000695e-15,,5.605325231750058e-16,,,,28.6277859210968,2026-04-26 17:56:57,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,131.23,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
23ed0b60,5,10,2,100.0,False,False,"[1, 1, 1]",,,,-2.5326962749261384e-16,,-6.331740687315346e-17,,,,16.865029096603394,2026-04-26 17:57:04,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,130.0,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
f0ae810b,6,15,2,100.0,False,False,"[1, 1, 1]",,,,1.5508427875232655e-15,,2.5847379792054426e-16,,,,31.81979274749756,2026-04-26 17:58:28,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,108.23,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
d6c24048,10,45,2,50.0,False,False,"[1, 1, 1]",,,,-2.1157121193882134e-14,,-1.410474746258809e-15,,,,54.71664309501648,2026-04-26 17:58:40,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,117.55,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
b96093af,7,21,2,100.0,False,False,"[1, 1, 1]",,,,2.345346139520643e-15,,3.1271281860275245e-16,,,,41.972630977630615,2026-04-26 17:58:46,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,127.98,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
e07decad,8,28,2,100.0,False,False,"[1, 1, 1]",,,,2.5673907444456745e-15,,2.5673907444456745e-16,,,,992.1604130268097,2026-04-26 18:15:48,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,137.75,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
469c65cc,9,36,2,100.0,False,False,"[1, 1, 1]",,,,6.434956734135966e-15,,5.362463945113305e-16,,,,1114.3557181358337,2026-04-26 18:17:55,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,142.23,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
7687a3f7,3,3,5,50.0,False,False,"[1, 1, 1]",,,,-8.326672684688674e-17,,-5.551115123125783e-17,,,,15.54610800743103,2026-04-26 18:18:01,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,125.03,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
5c186c44,4,6,5,50.0,False,False,"[1, 1, 1]",,,,2.706168622523819e-16,,9.020562075079397e-17,,,,110.86353206634521,2026-04-26 18:20:06,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,137.23,ADAM,0.01,3,10,0,False,False,False,False,10800,10,complete,False,True,90,True,False,False
