run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_energy_statevector,initial_ws_energy_010101,QAOA_improvement_over_SDP,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,warm_start_mode,warm_start_corr_strength,warm_start_corr_repeats,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
1dc90fe9,10,15,1,50.0,False,True,"[1, 1, 1]",-2.561969733583247e-16,6.050167315170251,,,,0.7220808976900335,6.772248212860284,,,,,,31.577749967575073,2026-05-04 20:15:48,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,253.39,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,8,"[(3, 9), (2, 7), (0, 1), (3, 8), (2, 6), (7, 9), (0, 3), (6, 8), (1, 5), (4, 5), (5, 9), (4, 8), (1, 4), (0, 2), (6, 7)]",
ba2cbde2,8,12,2,50.0,False,True,"[1, 1, 1]",1.9133999940024182e-15,5.322779327810844,,,,1.001673353071288,6.324452680882132,,,,,,61.57762002944946,2026-05-04 20:16:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,229.98,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,2,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]",
b43da947,10,15,1,50.0,False,True,"[1, 1, 1]",-3.885780586188048e-16,7.49999999998758,,,,1.4401809085932538,8.940180908580833,,,,,,31.588713884353638,2026-05-04 20:17:25,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,251.94,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,9,"[(3, 9), (2, 7), (0, 1), (1, 6), (4, 7), (3, 8), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (5, 6), (4, 8), (0, 2)]",
424a7c6c,8,12,1,50.0,False,True,"[1, 1, 1]",6.938893903907228e-18,5.004400153390405,,,,1.0272443452490938,6.031644498639499,,,,,,29.299806833267212,2026-05-04 20:17:56,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,226.53,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,10,"[(0, 1), (2, 3), (2, 6), (5, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (1, 4), (0, 2), (6, 7)]",
48b08ece,8,12,1,50.0,False,True,"[1, 1, 1]",1.3877787807814457e-15,4.999999975439906,,,,0.9758957553092475,5.975895730749153,,,,,,29.30454397201538,2026-05-04 20:18:30,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,224.39,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,11,"[(1, 3), (0, 1), (2, 7), (2, 3), (1, 6), (4, 7), (5, 7), (0, 3), (4, 6), (5, 6), (4, 5), (0, 2)]",
22524064,10,15,1,50.0,False,True,"[1, 1, 1]",4.445228907190568e-18,6.652069346875406,,,,1.2238491676684973,7.875918514543903,,,,,,31.26440405845642,2026-05-04 20:19:05,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,251.2,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,12,"[(3, 9), (0, 1), (4, 7), (5, 8), (2, 6), (1, 9), (0, 3), (1, 8), (4, 9), (5, 6), (2, 8), (4, 5), (3, 7), (0, 2), (6, 7)]",
1c92686f,10,15,2,50.0,False,True,"[1, 1, 1]",-2.760920832234337e-16,6.059279908161396,,,,1.4572407862730152,7.516520694434411,,,,,,72.15423607826233,2026-05-04 20:20:19,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,254.12,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,3,"[(8, 9), (0, 1), (3, 8), (2, 6), (5, 7), (2, 9), (0, 3), (4, 6), (1, 5), (5, 9), (3, 7), (4, 8), (1, 4), (0, 2), (6, 7)]",
acb09cd4,10,15,1,50.0,False,True,"[1, 1, 1]",-3.885780586188048e-16,7.499999999995577,,,,1.4391106924913295,8.939110692486906,,,,,,31.455032110214233,2026-05-04 20:20:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,252.64,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,13,"[(3, 9), (0, 1), (4, 7), (5, 8), (2, 6), (1, 9), (5, 7), (0, 3), (4, 6), (1, 8), (4, 9), (5, 6), (2, 8), (3, 7), (0, 2)]",
f09c4d99,8,12,1,50.0,False,True,"[1, 1, 1]",-3.3328374782204406e-16,4.822025664696335,,,,1.2364944657232302,6.0585201304195655,,,,,,29.135482788085938,2026-05-04 20:21:23,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,228.09,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,14,"[(0, 1), (2, 3), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (5, 6), (1, 5), (3, 7), (1, 4), (0, 2)]",
724a6623,10,15,1,50.0,False,True,"[1, 1, 1]",-3.8846963840155624e-16,6.717304972450081,,,,0.1220106475361451,6.839315619986226,,,,,,31.51047706604004,2026-05-04 20:21:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,252.98,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,15,"[(0, 1), (4, 7), (1, 9), (3, 5), (2, 9), (0, 3), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7), (1, 7)]",
