hog_graph_index,vertices,edges,rows,completed_rows_in_source_csv,estimated_qaoa_seconds_total,estimated_qaoa_minutes_total,estimated_qaoa_seconds_mean,estimated_qaoa_seconds_max
51,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
52,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
53,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
54,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
55,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
56,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
57,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
58,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
59,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
60,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
61,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
62,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
63,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
64,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
65,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
66,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
67,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
68,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
69,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
70,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
71,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
72,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
73,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
74,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
75,7,,30,0,7893.39516043663,131.55658600727716,263.1131720145543,393.95837819576263
76,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
77,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
78,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
79,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
80,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
81,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
82,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
83,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
84,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
85,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
86,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
87,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
88,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
89,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
90,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
