run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations
fa117f67,2,1,1,50.0,False,True,"[1, 1, 1]",0.49999999999987194,,0.10046367898730807,0.60046367898718,,,,,,0.12722277641296387,2026-04-29 16:20:36,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,207.16,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
54154119,3,2,1,50.0,False,True,"[1, 1, 1]",0.9999999999605408,,0.42315403446763955,1.4231540344281803,,0.9487693562854536,,,,0.12541985511779785,2026-04-29 16:20:38,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.88,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
a0c74c0d,2,1,1,100.0,False,True,"[1, 1, 1]",0.4999999999996848,,0.03707155342270341,0.5370715534223882,,,,,,0.17276310920715332,2026-04-29 16:20:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.31,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
77692d91,4,3,1,50.0,False,True,"[1, 1, 1]",1.4999999997500608,,0.2693325616947717,1.7693325614448325,,0.7478159600358548,,,,0.15331792831420898,2026-04-29 16:20:44,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,209.67,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
67137dbc,5,4,1,50.0,False,True,"[1, 1, 1]",1.9999999893501261,,0.4196373915844269,2.419637380934553,,0.8263788869311999,,,,0.19899392127990723,2026-04-29 16:20:47,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,210.47,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
47bb90c0,3,2,1,100.0,False,True,"[1, 1, 1]",0.9999999998959427,,0.09525087684767419,1.0952508767436169,,0.7301672511624112,,,,0.22261595726013184,2026-04-29 16:20:50,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.64,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
d658d209,6,5,1,50.0,False,True,"[1, 1, 1]",2.4999999998261138,,0.25055151712486,2.7505515169509738,,0.734655853886478,,,,0.2280261516571045,2026-04-29 16:20:53,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,212.88,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
84ca363f,7,6,1,50.0,False,True,"[1, 1, 1]",2.9999999996325775,,0.3872283241940133,3.387228323826591,,0.781187344055948,,,,0.35129499435424805,2026-04-29 16:20:56,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,214.41,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
d7c1463b,4,3,1,100.0,False,True,"[1, 1, 1]",1.4999999979159633,,-5.157258209376181e-07,1.4999994821901423,,0.6339811843576256,,,,0.2788360118865967,2026-04-29 16:20:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,210.53,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
46bb9032,2,1,1,200.0,False,True,"[1, 1, 1]",0.4999999999999908,,0.0711982494945933,0.5711982494945841,,,,,,0.3257911205291748,2026-04-29 16:21:02,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,210.08,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
6d7f20ff,8,7,1,50.0,False,True,"[1, 1, 1]",3.499999999999473,,0.04215411335964969,3.5421541133591226,,0.6911520221188532,,,,0.9876670837402344,2026-04-29 16:21:06,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,227.08,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
