run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_energy_statevector,initial_ws_energy_010101,QAOA_improvement_over_SDP,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,warm_start_mode,warm_start_corr_strength,warm_start_corr_repeats,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
be27450a,4,6,1,50.0,False,False,"[1, 1, 1]",,,,,,,1.848478905275297,,,,,,80.92948031425476,2026-05-05 15:59:27,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,170.91,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
c16f7be4,4,6,2,50.0,False,False,"[1, 1, 1]",,,,,,,2.5858378479822854,,,,,,174.05236291885376,2026-05-05 16:02:35,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,170.67,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
1a5a3c46,6,9,1,50.0,False,False,"[1, 1, 1]",,,,,,,3.804155138670799,,,,,,132.24391198158264,2026-05-05 16:05:02,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,176.86,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,1,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]",
