run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
304cd92e,3,3,1,50.0,False,True,"[1, 1, 1]",1.1086015380495218,,-2.220446049250313e-16,1.1086015380495216,,0.7390676920330144,,,,50.804792165756226,2026-04-24 12:49:21,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,91.36,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
5ab9721c,4,6,1,50.0,False,True,"[1, 1, 1]",1.980861518557458,,2.4424906541753444e-15,1.9808615185574605,,0.6602871728524868,,,,242.3821849822998,2026-04-24 12:53:40,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,122.08,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
7cc3b919,5,10,1,50.0,False,True,"[1, 1, 1]",2.784037348038195,,0.0,2.784037348038195,,0.6960093370095487,,,,63.957974910736084,2026-04-24 12:55:40,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,89.22,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
61418c90,3,3,1,100.0,False,True,"[1, 1, 1]",1.0424938354525748,,4.440892098500626e-16,1.0424938354525752,,0.6949958903017168,,,,56.38545083999634,2026-04-24 12:55:49,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,106.45,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
ecf255f7,6,15,1,50.0,False,True,"[1, 1, 1]",4.247749984686684,,2.042810365310288e-14,4.247749984686704,,0.7079583307811174,,,,43.42587399482727,2026-04-24 12:56:19,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,104.08,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
51a2f132,4,6,1,100.0,False,True,"[1, 1, 1]",1.8871254325683426,,0.0,1.8871254325683426,,0.6290418108561142,,,,28.23719620704651,2026-04-24 12:56:28,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,99.7,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
7fa42388,7,21,1,50.0,False,True,"[1, 1, 1]",6.105072387620599,,3.108624468950438e-14,6.10507238762063,,0.8140096516827506,,,,42.723803758621216,2026-04-24 12:56:31,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,181.41,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
1832a396,8,28,1,50.0,False,True,"[1, 1, 1]",7.949038095670349,,3.6415315207705135e-14,7.949038095670385,,0.7949038095670385,,,,53.99084806442261,2026-04-24 12:57:51,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,160.31,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
6ca954f2,5,10,1,100.0,False,True,"[1, 1, 1]",2.9919904090273763,,3.9968028886505635e-15,2.9919904090273803,,0.7479976022568451,,,,30.49493908882141,2026-04-24 12:58:47,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,99.19,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
0674289b,9,36,1,50.0,False,True,"[1, 1, 1]",9.893487148721354,,-7.993605777301127e-14,9.893487148721274,,0.8244572623934395,,,,128.67976117134094,2026-04-24 12:59:09,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,167.3,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
49f3fd10,6,15,1,100.0,False,True,"[1, 1, 1]",4.404506717478039,,-1.687538997430238e-14,4.404506717478022,,0.7340844529130037,,,,31.500926971435547,2026-04-24 13:01:25,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,177.27,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
b9a33018,3,3,1,200.0,False,True,"[1, 1, 1]",1.0237507300953232,,2.220446049250313e-16,1.0237507300953235,,0.6825004867302157,,,,28.223031997680664,2026-04-24 13:02:25,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,100.14,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
518d3f47,3,3,2,50.0,False,True,"[1, 1, 1]",1.0888082767226226,,4.440892098500626e-16,1.088808276722623,,0.7258721844817487,,,,29.9719181060791,2026-04-24 13:03:34,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,115.17,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,True,90,True,True
