run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
16d81fc7,3,2,1,50.0,True,False,"[1, 1, 1]",,,,1.2499991915995423,,0.8333327943996949,,,,0.07428479194641113,2026-04-19 15:49:14,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.11,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
6324f58b,4,3,1,50.0,True,False,"[1, 1, 1]",,,,2.249999999238115,,0.9509721044962446,,,,0.09743380546569824,2026-04-19 15:49:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.08,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
9c5b7fea,5,4,1,50.0,True,False,"[1, 1, 1]",,,,2.4999972331681803,,0.8538241916557994,,,,0.1177971363067627,2026-04-19 15:49:21,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.33,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
53931789,3,2,1,100.0,True,False,"[1, 1, 1]",,,,1.2499999770327748,,0.8333333180218498,,,,0.13898873329162598,2026-04-19 15:49:24,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.14,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
57a85608,6,5,1,50.0,True,False,"[1, 1, 1]",,,,3.499999999630061,,0.9348290597302512,,,,0.14417505264282227,2026-04-19 15:49:27,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,201.91,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
4b3d348f,7,6,1,50.0,True,False,"[1, 1, 1]",,,,3.7499990215740433,,0.8648521728722424,,,,0.16939806938171387,2026-04-19 15:49:30,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.16,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
55f7c63a,4,3,1,100.0,True,False,"[1, 1, 1]",,,,2.249999959046769,,0.9509720875092007,,,,0.1900639533996582,2026-04-19 15:49:33,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,201.69,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
69945a8a,8,7,1,50.0,True,False,"[1, 1, 1]",,,,4.749999999999933,,0.92682926829267,,,,0.19716191291809082,2026-04-19 15:49:36,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.0,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
cded531d,9,8,1,50.0,True,False,"[1, 1, 1]",,,,4.9999996954099455,,0.8716875340672848,,,,0.23532700538635254,2026-04-19 15:49:39,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.0,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
4d32ba04,5,4,1,100.0,True,False,"[1, 1, 1]",,,,2.499999978899602,,0.8538251294056018,,,,0.23452305793762207,2026-04-19 15:49:42,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.34,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
663e7da0,10,9,1,50.0,True,False,"[1, 1, 1]",,,,5.999999997458312,,0.9219422245633547,,,,0.28443312644958496,2026-04-19 15:49:45,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.11,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
6dd94104,11,10,1,50.0,True,False,"[1, 1, 1]",,,,6.249998242400958,,0.8763317782390575,,,,0.3435249328613281,2026-04-19 15:49:48,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.38,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
d85993fb,6,5,1,100.0,True,False,"[1, 1, 1]",,,,3.4999999334345646,,0.9348290420498302,,,,0.2866177558898926,2026-04-19 15:49:51,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,201.58,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
f704bce2,3,2,1,200.0,True,False,"[1, 1, 1]",,,,1.249999999999998,,0.833333333333332,,,,0.27915215492248535,2026-04-19 15:49:54,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.48,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
c7af1c51,12,11,1,50.0,True,False,"[1, 1, 1]",,,,7.2499990125538565,,0.9186516741705343,,,,0.4575061798095703,2026-04-19 15:49:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.5,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
3d47b432,3,2,2,50.0,True,False,"[1, 1, 1]",,,,1.249996259880812,,0.8333308399205414,,,,0.1811070442199707,2026-04-19 15:50:00,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.38,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
cde4c552,13,12,1,50.0,True,False,"[1, 1, 1]",,,,7.499998241769736,,0.879765189650409,,,,0.6268768310546875,2026-04-19 15:50:03,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,201.25,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
ed3d7fbc,7,6,1,100.0,True,False,"[1, 1, 1]",,,,3.749999959004373,,0.8648523890692742,,,,0.335845947265625,2026-04-19 15:50:06,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,200.17,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
e6e3f1ac,14,13,1,50.0,True,False,"[1, 1, 1]",,,,8.4999986115186,,0.9162443259155547,,,,0.9649879932403564,2026-04-19 15:50:09,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.83,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
ecb3f987,8,7,1,100.0,True,False,"[1, 1, 1]",,,,4.749999989065645,,0.9268292661591503,,,,0.40584492683410645,2026-04-19 15:50:12,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.53,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
