run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
47fb0eec,4,6,1,100.0,False,True,"[1, 1, 1]",1.7682379964345578,,,0.2836792487345454,2.0519172451691032,,0.6839724150563677,,,,0.8437280654907227,2026-05-04 13:07:18,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,218.23,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
9c1745a1,4,6,2,100.0,False,True,"[1, 1, 1]",1.9526161505550543,,,0.4077805181948764,2.3603966687499307,,0.7867988895833102,,,,1.201230764389038,2026-05-04 13:07:35,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,221.81,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
99cd6246,4,6,5,100.0,False,True,"[1, 1, 1]",1.798477519484688,,,0.7073561857868238,2.505833705271512,,0.8352779017571706,,,,4.1611528396606445,2026-05-04 13:07:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,222.48,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
69068185,4,6,1,200.0,False,True,"[1, 1, 1]",1.9957925469765572,,,1.4801891829563374e-05,1.9958073488683867,,0.6652691162894623,,,,0.8985848426818848,2026-05-04 13:07:44,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,221.36,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
ef90ad72,4,6,10,200.0,False,True,"[1, 1, 1]",1.7966644324643557,,,0.7267785597581868,2.5234429922225425,,0.8411476640741808,,,,27.429723739624023,2026-05-04 13:08:13,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,225.66,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
46200636,4,6,2,200.0,False,True,"[1, 1, 1]",1.9900705909905798,,,0.5058662219299985,2.4959368129205783,,0.8319789376401928,,,,2.035712957382202,2026-05-04 13:08:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,220.09,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
af9aede5,4,6,5,200.0,False,True,"[1, 1, 1]",1.9876645552346617,,,0.6225904461930318,2.6102550014276935,,0.8700850004758979,,,,8.221537113189697,2026-05-04 13:08:30,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,222.94,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
1c431e5d,4,6,1,50.0,False,True,"[1, 1, 1]",1.986639009311504,,,0.0007401519559673275,1.9873791612674714,,0.6624597204224905,,,,0.331298828125,2026-05-04 13:08:35,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,220.11,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
16d7243b,4,6,10,50.0,False,True,"[1, 1, 1]",1.967419044340692,,,0.6487699555508635,2.6161889998915555,,0.8720629999638518,,,,7.030681848526001,2026-05-04 13:08:44,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,222.64,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
d71fb23c,4,6,2,50.0,False,True,"[1, 1, 1]",1.9575412114772508,,,0.46673108654191076,2.4242722980191616,,0.8080907660063872,,,,0.6384038925170898,2026-05-04 13:08:47,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,218.72,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
