run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
1968215f,3,3,2,50.0,False,True,"[1, 1, 1]",1.1090874362094862,,0.0,1.1090874362094862,,0.7393916241396575,,,,5.656796932220459,2026-04-24 14:36:32,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,260.5,ADAM,0.01,3,8,0,False,False,True,False,10800,10,complete,False,True,90,True,True
7ed26b41,4,6,2,50.0,False,True,"[1, 1, 1]",1.8224511139219832,,6.661338147750939e-16,1.822451113921984,,0.6074837046406613,,,,5.907007932662964,2026-04-24 14:36:48,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,229.84,ADAM,0.01,3,8,0,False,False,True,False,10800,10,complete,False,True,90,True,True
8adb0600,5,10,2,50.0,False,True,"[1, 1, 1]",3.0567721749716794,,-1.7763568394002505e-15,3.0567721749716776,,0.7641930437429194,,,,7.412122011184692,2026-04-24 14:37:07,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,250.19,ADAM,0.01,3,8,0,False,False,True,False,10800,10,complete,False,True,90,True,True
e9120adc,6,15,2,50.0,False,True,"[1, 1, 1]",4.399894707659649,,1.509903313490213e-14,4.399894707659664,,0.733315784609944,,,,9.708050966262817,2026-04-24 14:37:28,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,217.8,ADAM,0.01,3,8,0,False,False,True,False,10800,10,complete,False,True,90,True,True
4138c5bb,7,21,2,50.0,False,True,"[1, 1, 1]",5.92334983603534,,-1.2434497875801753e-14,5.923349836035327,,0.7897799781380436,,,,10.334698677062988,2026-04-24 14:37:31,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,227.45,ADAM,0.01,3,8,0,False,False,True,False,10800,10,complete,False,True,90,True,True
6c7fc00c,8,28,2,50.0,False,True,"[1, 1, 1]",7.78768396800318,,-8.881784197001252e-14,7.787683968003091,,0.7787683968003092,,,,15.603533744812012,2026-04-24 14:37:53,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,277.94,ADAM,0.01,3,8,0,False,False,True,False,10800,10,complete,False,True,90,True,True
