run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
32e6d6cb,3,3,15,300.0,False,True,"[1, 1, 1]",1.1115406498531633,,0.7410270999021088,,,,76.3828489780426,2026-04-16 03:48:02,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.8,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
f79f63ac,6,15,15,100.0,False,True,"[1, 1, 1]",4.446966113961703,,0.7411610189936172,,,,93.16717910766602,2026-04-16 01:47:47,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,220.23,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
8e27e192,6,15,2,100.0,False,True,"[1, 1, 1]",4.448695433049319,,0.7414492388415531,,,,1.8609468936920166,2026-04-15 08:15:28,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.52,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
181d57b4,6,15,3,100.0,False,True,"[1, 1, 1]",4.453205016523397,,0.7422008360872329,,,,4.756548166275024,2026-04-15 09:05:01,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.19,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
8c31910a,6,15,1,500.0,False,True,"[1, 1, 1]",4.454015081304141,,0.7423358468840235,,,,3.931926965713501,2026-04-15 08:16:20,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,216.62,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
367aa16a,6,15,1,100.0,False,True,"[1, 1, 1]",4.457691011824403,,0.7429485019707339,,,,0.5348138809204102,2026-04-15 08:11:54,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.61,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
3fee5725,6,15,5,300.0,False,True,"[1, 1, 1]",4.46405480476668,,0.74400913412778,,,,31.733093738555908,2026-04-15 18:40:30,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,220.64,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
aa2a36f7,6,15,2,500.0,False,True,"[1, 1, 1]",4.477713179925868,,0.7462855299876446,,,,12.0109281539917,2026-04-15 11:43:15,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.69,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
66117f5d,6,15,10,500.0,False,True,"[1, 1, 1]",4.489888837787226,,0.748314806297871,,,,213.1302089691162,2026-04-16 05:04:44,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,224.38,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
8a62456e,5,10,10,500.0,False,True,"[1, 1, 1]",2.993846442992261,,0.7484616107480653,,,,148.8348207473755,2026-04-16 04:31:00,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,217.97,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
