run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances
f19cdac8,3,3,2,50.0,False,False,"[1, 1, 1]",,,,2.3592239273284576e-16,,1.5728159515523052e-16,,,,1.635024070739746,2026-04-26 17:49:15,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,176.81,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
9351eb6a,4,6,2,50.0,False,False,"[1, 1, 1]",,,,6.938893903907228e-17,,2.312964634635743e-17,,,,3.3384928703308105,2026-04-26 17:49:39,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,158.61,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
5ff0105e,5,10,2,50.0,False,False,"[1, 1, 1]",,,,-3.7816971776294395e-16,,-9.454242944073599e-17,,,,4.182099103927612,2026-04-26 17:49:58,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,175.45,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
10449a08,3,3,2,100.0,False,False,"[1, 1, 1]",,,,-5.551115123125783e-17,,-3.700743415417188e-17,,,,4.505159854888916,2026-04-26 17:50:13,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,156.5,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
a5987a67,6,15,2,50.0,False,False,"[1, 1, 1]",,,,-2.1718737919229625e-15,,-3.6197896532049373e-16,,,,6.5433189868927,2026-04-26 17:50:17,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,161.69,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
b669defa,4,6,2,100.0,False,False,"[1, 1, 1]",,,,-2.3592239273284576e-16,,-7.864079757761526e-17,,,,6.370352029800415,2026-04-26 17:50:36,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,151.22,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
565f2d14,7,21,2,50.0,False,False,"[1, 1, 1]",,,,-4.767020111984266e-15,,-6.356026815979021e-16,,,,8.490832090377808,2026-04-26 17:50:37,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,162.86,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
c1f2679c,8,28,2,50.0,False,False,"[1, 1, 1]",,,,-6.5824082295939945e-15,,-6.582408229593994e-16,,,,11.85469388961792,2026-04-26 17:51:04,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,164.89,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
5f78a4c5,9,36,2,50.0,False,False,"[1, 1, 1]",,,,2.3304275176272427e-14,,1.9420229313560355e-15,,,,17.003226041793823,2026-04-26 17:51:10,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,160.95,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
2f3ad256,5,10,2,100.0,False,False,"[1, 1, 1]",,,,-7.979727989493313e-17,,-1.9949319973733282e-17,,,,11.935633182525635,2026-04-26 17:51:19,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,159.47,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
bef5e1dd,6,15,2,100.0,False,False,"[1, 1, 1]",,,,2.8102520310824275e-16,,4.683753385137379e-17,,,,14.501760959625244,2026-04-26 17:51:42,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,137.69,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
31e88d85,10,45,2,50.0,False,False,"[1, 1, 1]",,,,-3.144706717250756e-14,,-2.0964711448338372e-15,,,,24.498235940933228,2026-04-26 17:51:45,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,161.92,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
97401a62,7,21,2,100.0,False,False,"[1, 1, 1]",,,,-3.2335245592207684e-15,,-4.3113660789610245e-16,,,,18.479098081588745,2026-04-26 17:51:53,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,162.84,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
bb97ab18,3,3,5,50.0,False,False,"[1, 1, 1]",,,,-4.163336342344337e-17,,-2.7755575615628914e-17,,,,13.353359937667847,2026-04-26 17:52:17,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,159.58,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
a4de69c3,8,28,2,100.0,False,False,"[1, 1, 1]",,,,3.1970953662252555e-15,,3.1970953662252557e-16,,,,31.46727705001831,2026-04-26 17:52:28,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,130.41,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
df939888,9,36,2,100.0,False,False,"[1, 1, 1]",,,,-7.164407955784213e-15,,-5.970339963153511e-16,,,,41.862956047058105,2026-04-26 17:52:40,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,147.72,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
318d2351,4,6,5,50.0,False,False,"[1, 1, 1]",,,,-1.3877787807814457e-17,,-4.625929269271485e-18,,,,22.292715787887573,2026-04-26 17:53:01,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,142.08,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
fe80f083,10,45,2,100.0,False,False,"[1, 1, 1]",,,,-2.2412627309620348e-15,,-1.49417515397469e-16,,,,59.91620993614197,2026-04-26 17:53:13,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,168.89,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
35e64adb,5,10,5,50.0,False,False,"[1, 1, 1]",,,,-1.3183898417423734e-16,,-3.2959746043559335e-17,,,,31.087687969207764,2026-04-26 17:53:16,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,141.23,ADAM,0.01,3,10,0,False,False,True,False,10800,10,complete,False,True,90,True,False,False
