run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
f9f17f2e,8,28,20,500.0,False,True,"[1, 1, 1]",7.9050875755251715,-3.6415315207705135e-14,7.905087575525135,,0.7905087575525135,,,,2205.799562931061,2026-04-16 21:21:25,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,266.66,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
4731ee90,9,36,20,500.0,False,True,"[1, 1, 1]",10.09361748687466,-3.268496584496461e-13,10.093617486874333,,0.8411347905728611,,,,3844.573676586151,2026-04-16 21:28:03,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,386.2,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
e5d00aad,7,21,20,500.0,False,True,"[1, 1, 1]",5.85674787311399,-4.618527782440651e-14,5.856747873113944,,0.7808997164151925,,,,1567.4399149417877,2026-04-16 21:59:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,232.2,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
9ebe4686,6,15,20,500.0,False,True,"[1, 1, 1]",4.474399166085414,-5.062616992290714e-14,4.474399166085363,,0.7457331943475606,,,,969.9162819385529,2026-04-16 23:59:39,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,222.14,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
8530cffa,5,10,20,500.0,False,True,"[1, 1, 1]",3.0631643019725066,4.929390229335695e-14,3.063164301972556,,0.765791075493139,,,,754.7949550151825,2026-04-17 00:30:34,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,225.56,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
b98b3590,8,28,20,300.0,False,True,"[1, 1, 1]",7.943488192932596,1.0835776720341528e-13,7.943488192932704,,0.7943488192932704,,,,1178.435203075409,2026-04-17 00:38:50,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,297.06,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
4b91b986,9,36,20,300.0,False,True,"[1, 1, 1]",10.058816792165906,1.2079226507921703e-13,10.058816792166027,,0.8382347326805023,,,,1921.3143360614777,2026-04-17 00:41:05,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,398.52,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
6bc1752c,9,36,15,500.0,False,True,"[1, 1, 1]",9.90403874622002,-1.9539925233402755e-13,9.904038746219825,,0.8253365621849854,,,,2043.2955391407013,2026-04-17 00:50:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,423.34,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
708e373d,7,21,20,300.0,False,True,"[1, 1, 1]",6.0248563406271085,1.8829382497642655e-13,6.024856340627297,,0.8033141787503062,,,,794.8662509918213,2026-04-17 00:54:24,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,237.98,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
51ef1c37,8,28,15,500.0,False,True,"[1, 1, 1]",7.973714419085195,-1.1546319456101628e-13,7.97371441908508,,0.797371441908508,,,,1055.1336183547974,2026-04-17 00:57:12,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,274.73,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
03948ec8,4,6,20,500.0,False,True,"[1, 1, 1]",1.9464083410263262,1.6431300764452317e-14,1.9464083410263426,,0.6488027803421142,,,,437.9095799922943,2026-04-17 01:04:34,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,221.53,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
2216022b,7,21,15,500.0,False,True,"[1, 1, 1]",6.09748909814193,-8.348877145181177e-14,6.097489098141846,,0.8129985464189128,,,,745.3950247764587,2026-04-17 01:10:13,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,233.53,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
06a5b2d6,6,15,20,300.0,False,True,"[1, 1, 1]",4.3428346304661165,1.4210854715202004e-14,4.342834630466131,,0.7238057717443551,,,,580.353982925415,2026-04-17 01:21:13,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,225.09,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
fa1a08b9,10,45,20,300.0,False,True,"[1, 1, 1]",12.415813160607817,5.861977570020827e-14,12.415813160607875,,0.8277208773738584,,,,5874.075851678848,2026-04-17 01:21:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,389.2,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
45ec6206,6,15,15,500.0,False,True,"[1, 1, 1]",4.475575310316456,5.062616992290714e-14,4.475575310316507,,0.7459292183860845,,,,542.0976459980011,2026-04-17 01:37:07,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,224.94,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
c6f109e4,10,45,15,500.0,False,True,"[1, 1, 1]",12.438795733129748,-2.255973186038318e-13,12.438795733129522,,0.8292530488753015,,,,6758.291987895966,2026-04-17 01:46:22,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,382.83,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
068d0ff1,3,3,20,500.0,False,True,"[1, 1, 1]",1.0633462855229552,0.0,1.0633462855229552,,0.7088975236819701,,,,286.5624449253082,2026-04-17 01:51:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,215.14,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
9f5a778b,9,36,15,300.0,False,True,"[1, 1, 1]",9.983718893634823,6.927791673660977e-14,9.983718893634892,,0.8319765744695743,,,,1217.1865510940552,2026-04-17 02:06:42,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,396.72,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
e5f4276b,10,45,15,300.0,False,True,"[1, 1, 1]",11.830071021746148,-5.133671265866724e-13,11.830071021745635,,0.788671401449709,,,,4086.659462928772,2026-04-17 02:37:21,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,358.81,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
ad224c40,5,10,20,300.0,False,True,"[1, 1, 1]",3.0295636642757557,3.552713678800501e-14,3.0295636642757913,,0.7573909160689478,,,,402.17195200920105,2026-04-17 02:51:30,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,211.19,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
6f70f087,5,10,15,500.0,False,True,"[1, 1, 1]",3.07057195987239,1.554312234475219e-14,3.0705719598724057,,0.7676429899681014,,,,404.24703097343445,2026-04-17 03:13:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,201.06,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
9dde8519,8,28,15,300.0,False,True,"[1, 1, 1]",7.843914686046748,1.199040866595169e-13,7.843914686046868,,0.7843914686046868,,,,607.6600069999695,2026-04-17 03:49:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,259.12,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
5a31279e,4,6,20,300.0,False,True,"[1, 1, 1]",1.9841538192312485,-1.2878587085651816e-14,1.9841538192312356,,0.6613846064104119,,,,258.1287980079651,2026-04-17 04:10:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,219.25,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
309093f4,7,21,15,300.0,False,True,"[1, 1, 1]",6.012378159304694,6.306066779870889e-14,6.012378159304757,,0.8016504212406342,,,,445.96516704559326,2026-04-17 04:26:36,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,232.16,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
e3aa8669,4,6,15,500.0,False,True,"[1, 1, 1]",1.9085708641042083,7.105427357601002e-15,1.9085708641042154,,0.6361902880347384,,,,246.39237999916077,2026-04-17 04:38:07,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,205.08,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
9d97f290,10,45,10,500.0,False,True,"[1, 1, 1]",12.224320251002554,7.283063041541027e-14,12.224320251002627,,0.8149546834001752,,,,4037.265444993973,2026-04-17 04:57:01,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,349.98,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
bb9c585b,9,36,10,500.0,False,True,"[1, 1, 1]",10.081768498884253,1.7763568394002505e-13,10.081768498884431,,0.840147374907036,,,,1007.152890920639,2026-04-17 05:02:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,400.92,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
2f12a47f,6,15,15,300.0,False,True,"[1, 1, 1]",4.458623650706738,1.7763568394002505e-14,4.458623650706755,,0.7431039417844593,,,,318.21368288993835,2026-04-17 05:10:09,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,225.16,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
c87ae36b,8,28,10,500.0,False,True,"[1, 1, 1]",7.376491103268252,2.2737367544323206e-13,7.37649110326848,,0.737649110326848,,,,493.94937896728516,2026-04-17 05:25:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,261.41,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
d4218773,10,45,20,100.0,False,True,"[1, 1, 1]",12.202484504266074,5.471179065352771e-13,12.202484504266621,,0.8134989669511081,,,,1887.4515671730042,2026-04-17 05:49:45,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,364.3,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
a99d8e0c,3,3,20,300.0,False,True,"[1, 1, 1]",1.1103963853633745,1.1102230246251565e-15,1.1103963853633756,,0.7402642569089171,,,,160.33696389198303,2026-04-17 06:03:29,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,216.11,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
9195b211,9,36,20,100.0,False,True,"[1, 1, 1]",9.846764393576047,-1.1013412404281553e-13,9.846764393575937,,0.8205636994646613,,,,620.9643549919128,2026-04-17 06:26:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,371.53,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
8967898f,7,21,10,500.0,False,True,"[1, 1, 1]",6.032835960214173,2.6645352591003757e-15,6.032835960214175,,0.8043781280285567,,,,337.367910861969,2026-04-17 06:39:45,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,224.83,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
6203ab79,3,3,15,500.0,False,True,"[1, 1, 1]",1.09600048365739,1.7763568394002505e-15,1.0960004836573918,,0.7306669891049279,,,,139.91557717323303,2026-04-17 06:47:33,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,215.08,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
05164b24,5,10,15,300.0,False,True,"[1, 1, 1]",3.111735652576074,3.1086244689504383e-15,3.111735652576077,,0.7779339131440193,,,,208.47301292419434,2026-04-17 06:49:54,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,213.97,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
b0c27c3b,8,28,20,100.0,False,True,"[1, 1, 1]",7.623664349380368,-1.652011860642233e-13,7.623664349380203,,0.7623664349380203,,,,358.45725274086,2026-04-17 07:00:27,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,270.08,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
bfc967a6,6,15,10,500.0,False,True,"[1, 1, 1]",4.362010579615424,2.220446049250313e-14,4.362010579615446,,0.727001763269241,,,,240.3190312385559,2026-04-17 07:13:01,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,221.75,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
869bc861,7,21,20,100.0,False,True,"[1, 1, 1]",5.976965988266462,1.4210854715202004e-14,5.9769659882664765,,0.7969287984355302,,,,255.66475129127502,2026-04-17 07:57:48,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,223.05,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
8982f6d1,10,45,10,300.0,False,True,"[1, 1, 1]",12.467565424275785,4.4231285301066237e-13,12.467565424276227,,0.8311710282850818,,,,2452.950743198395,2026-04-17 08:00:54,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,344.64,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
981fff82,4,6,15,300.0,False,True,"[1, 1, 1]",1.9632106265557288,-1.9984014443252818e-15,1.9632106265557268,,0.6544035421852422,,,,133.24243831634521,2026-04-17 08:06:01,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,217.59,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
acbd739a,5,10,10,500.0,False,True,"[1, 1, 1]",2.777399065393193,-2.6645352591003757e-15,2.7773990653931904,,0.6943497663482976,,,,168.6101779937744,2026-04-17 08:08:58,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,222.78,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
