run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
30bf68ce,4,6,1,100.0,False,True,"[1, 1, 1]",1.9694497714238342,,,0.04637670445957642,2.0158264758834106,,0.6719421586278035,,,,0.5026631355285645,2026-05-04 12:16:33,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,218.16,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
e89862c0,4,6,10,100.0,False,True,"[1, 1, 1]",1.8175970457577797,,,0.7971472965664972,2.614744342324277,,0.8715814474414256,,,,13.528343915939331,2026-05-04 12:16:49,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,223.12,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
981cdeec,4,6,2,100.0,False,True,"[1, 1, 1]",1.9427748903317164,,,0.4629589218454826,2.405733812177199,,0.801911270725733,,,,1.0506949424743652,2026-05-04 12:16:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,220.42,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
65ee897a,4,6,5,100.0,False,True,"[1, 1, 1]",1.9784405324366894,,,0.4966004942256501,2.4750410266623395,,0.8250136755541132,,,,4.088760852813721,2026-05-04 12:16:58,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,221.72,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
763ceb82,4,6,1,200.0,False,True,"[1, 1, 1]",1.9487047032442002,,,0.1782916138495032,2.1269963170937034,,0.7089987723645678,,,,0.9159469604492188,2026-05-04 12:17:01,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,221.11,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
5a7bc7a2,4,6,10,200.0,False,True,"[1, 1, 1]",1.9880096733002988,,,0.9420428724715217,2.9300525457718205,,0.9766841819239401,,,,27.360876083374023,2026-05-04 12:17:30,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,225.75,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
8a65ba9d,4,6,2,200.0,False,True,"[1, 1, 1]",1.75216733376998,,,0.3181789420357066,2.0703462758056865,,0.6901154252685622,,,,2.0181267261505127,2026-05-04 12:17:34,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,220.52,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
6756a052,4,6,5,200.0,False,True,"[1, 1, 1]",1.9860123883033733,,,0.9109600956733879,2.896972483976761,,0.9656574946589204,,,,8.11180591583252,2026-05-04 12:17:47,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,221.44,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
7853a2d4,4,6,1,50.0,False,True,"[1, 1, 1]",1.9874227740458963,,,0.0,1.9874227740458963,,0.6624742580152988,,,,0.29456377029418945,2026-05-04 12:17:48,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,219.92,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
338df719,4,6,10,50.0,False,True,"[1, 1, 1]",1.9929634520074802,,,0.7392237848744843,2.7321872368819644,,0.9107290789606548,,,,6.979197263717651,2026-05-04 12:17:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,224.91,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
