run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,compare_with_010101,init_QAOAparams_close_to_zero,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_max_retries,queue_poll_interval_seconds,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
a080c4c7,4,3,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.9986975211057258, 0.9987932152014216, 0.9988848836151403, 0.9989724600495796, 0.9990558864123842, 0.9991351154705058, 0.999210111613736, 0.9992808504470385, 0.9993473221841822, 0.9994095312556583, 0.9994674978109565, 0.9995212573189473, 0.9995708631472895, 0.9996163874461026, 0.9996579193083134, 0.9996955678828682, 0.9997294600772019, 0.9997597417632039, 0.9997865757895408, 0.9998101440315704, 0.9998306426001652, 0.9998482819764266, 0.9998632848803961, 0.9998758835397191, 0.9998863163331428, 0.9998948249303662, 0.9999016510444163, 0.999907032429696, 0.9999112001806878, 0.999914375223182, 0.9999167647957553, 0.999918559472662, 0.999919931271961, 0.9999210321121982, 0.9999219920923983, 0.9999229194890266, 0.9999239002850808, 0.9999250001244411, 0.9999262642045965, 0.9999277192553964, 0.9999293761127264, 0.9999312316620477, 0.9999332713902029, 0.9999354709651368, 0.9999378005988945, 0.999940225349842, 0.9999427083954442, 0.9999452119549344, 0.9999477006683275, 0.9999501416018022, 0.9999525056219439]",50,,,,,0.9999525056219439,,0.42263419510648514,,,,2.8635220527648926,2.8635220527648926,False,,0.0,0.0,,,2.8735055923461914,2026-08-07 12:22:49,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,2,"[(1, 2), (0, 1), (2, 3)]","[1.0, 1.0, 1.0]"
6481bbe9,2,1,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.7755575615628914e-17, -2.7755575615628914e-17, 4.163336342344337e-17, 0.0, -1.3877787807814457e-17, 1.3877787807814457e-17, 0.0, 2.7755575615628914e-17, 1.3877787807814457e-17, 2.7755575615628914e-17, -1.3877787807814457e-17, 2.7755575615628914e-17, -2.7755575615628914e-17, -2.7755575615628914e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, 0.0, -1.3877787807814457e-17, -1.3877787807814457e-17, -2.7755575615628914e-17, -1.3877787807814457e-17, -2.7755575615628914e-17, 0.0, 1.3877787807814457e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, 1.3877787807814457e-17, -1.3877787807814457e-17, -1.3877787807814457e-17, 1.3877787807814457e-17, -4.163336342344337e-17, -1.3877787807814457e-17, 0.0, 0.0, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.0, 1.3877787807814457e-17, 4.163336342344337e-17, 4.163336342344337e-17, 1.3877787807814457e-17, -1.3877787807814457e-17, 1.3877787807814457e-17, 1.3877787807814457e-17, 5.551115123125783e-17, -1.3877787807814457e-17, -1.3877787807814457e-17, 1.3877787807814457e-17, 0.0, -1.3877787807814457e-17, 0.0]",50,,,,,0.0,,0.0,,,,4.671863079071045,4.671863079071045,False,,0.0,0.0,,,4.68219780921936,2026-08-07 12:22:51,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,True,1,True,False,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,0,"[(0, 1)]",[1.0]
5d1f5683,9,8,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.6318587120046133, 2.6359782778453886, 2.640097579802233, 2.6442163340771607, 2.6483342462874098, 2.6524510211650103, 2.6565663500140033, 2.6606799177953233, 2.664791402714172, 2.66890047964471, 2.673006811575118, 2.677110058148575, 2.6812098727186333, 2.685305896658783, 2.6893977649061793, 2.693485112175903, 2.6975675682200553, 2.7016447580243286, 2.7057162971119126, 2.7097817935379287, 2.713840860934873, 2.717893100607966, 2.7219381199386437, 2.7259755195916897, 2.730004887754614, 2.734025821472494, 2.7380379087514624, 2.742040743390607, 2.746033911872501, 2.7500170013153333, 2.7539896046272037, 2.7579513068242623, 2.761901694906158, 2.7658403593279624, 2.7697668982253787, 2.7736809010993406, 2.7775819601865965, 2.781469670777437, 2.7853436224132175, 2.7892034217744834, 2.7930486669046752, 2.7968789630797106, 2.8006939149998202, 2.8044931387940153, 2.8082762498725184, 2.812042861517803, 2.815792604135312, 2.8195251047072962, 2.8232399932283774, 2.826936909511093, 2.830615500257164]",50,,,,,2.830615500257164,,0.49348247912433124,,,,5.234595775604248,5.234595775604248,False,,0.0,0.0,,,5.241699457168579,2026-08-07 12:22:52,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,7,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (7, 8), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
f15c6114,2,1,3,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.8966500480532504, 0.8983198544272111, 0.8999767433364556, 0.9016204279828194, 0.9032506243108215, 0.9048670545414048, 0.9064694453394353, 0.9080575322803769, 0.9096310566209829, 0.9111897683897374, 0.9127334236323966, 0.9142617886008639, 0.9157746398401858, 0.917271761721546, 0.9187529511012626, 0.9202180152286432, 0.9216667708662263, 0.9230990465183607, 0.9245146834763787, 0.925913533025446, 0.9272954589266384, 0.9286603374774096, 0.9300080562050185, 0.9313385145884678, 0.9326516235590865, 0.9339473078660504, 0.9352255024577966, 0.936486152824744, 0.9377292180608392, 0.938954666659936, 0.9401624790353409, 0.9413526458424488, 0.9425251709103918, 0.9436800658231165, 0.9448173537654474, 0.9459370666221657, 0.9470392463497828, 0.9481239437498625, 0.949191219576156, 0.9502411423111581, 0.9512737882669892, 0.9522892433939425, 0.953287599447125, 0.9542689585478686, 0.9552334262419441, 0.9561811157115505, 0.9571121459653928, 0.9580266451737294, 0.958924746459872, 0.959806587554298, 0.9606723111893505]",50,,,,,0.9606723111893505,,0.9606723111893505,,,,6.526249885559082,6.526249885559082,False,,0.0,0.0,,,6.533195972442627,2026-08-07 12:22:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,True,1,True,False,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,0,"[(0, 1)]",[1.0]
006f36e5,12,11,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[3.404923762301203, 3.4088468699239636, 3.4127571059604604, 3.4166539038879313, 3.4205366829799586, 3.4244048846231774, 3.428257940892919, 3.4320952954637196, 3.435916383978804, 3.4397206735291133, 3.443507619442692, 3.4472766967976605, 3.451027399485541, 3.454759230448792, 3.4584717075580436, 3.4621643803912994, 3.4658368091211065, 3.469488558132703, 3.4731192252391234, 3.4767284356063812, 3.4803158299414667, 3.48388106646354, 3.487423822691328, 3.490943804867764, 3.4944407450523585, 3.4979143852061685, 3.5013644957667633, 3.5047908684870923, 3.5081932993162814, 3.511571600342482, 3.514925605110648, 3.5182551528603363, 3.5215601086468458, 3.524840326940227, 3.5280956781742665, 3.5313260426356274, 3.5345312908214064, 3.5377113070981925, 3.540865974733243, 3.5439951686136677, 3.5470987813528008, 3.5501766925726286, 3.5532287870598616, 3.5562549526844083, 3.559255064189375, 3.5622290152814124, 3.565176696559776, 3.5680979898446785, 3.5709927867140063, 3.573860983590179, 3.5767024882642175]",50,,,,,3.5767024882642175,,0.4532060932924756,,,,7.56758975982666,7.56758975982666,False,,0.0,0.0,,,7.575741291046143,2026-08-07 12:22:54,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,10,"[(8, 9), (0, 1), (9, 10), (2, 3), (1, 2), (5, 6), (3, 4), (7, 8), (10, 11), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7c96fd3c,2,1,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[-2.7755575615628914e-17, 2.7755575615628914e-17, 5.551115123125783e-17, 0.0, 0.0, -2.7755575615628914e-17, -2.7755575615628914e-17, -2.7755575615628914e-17, -2.7755575615628914e-17, -5.551115123125783e-17, 0.0, -2.7755575615628914e-17, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.0, 0.0, 2.7755575615628914e-17, 5.551115123125783e-17, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.0, 0.0, 0.0, 2.7755575615628914e-17, 0.0, -2.7755575615628914e-17, 2.7755575615628914e-17, -5.551115123125783e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, 0.0, 0.0, 2.7755575615628914e-17, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.0, -5.551115123125783e-17, 0.0, -2.7755575615628914e-17, 0.0, -2.7755575615628914e-17, -2.7755575615628914e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.0, -8.326672684688674e-17, -2.7755575615628914e-17, 0.0, 0.0, 5.551115123125783e-17]",50,,,,,5.551115123125783e-17,,5.551115123125783e-17,,,,2.719149112701416,2.719149112701416,False,,0.0,0.0,,,2.728015661239624,2026-08-07 12:22:54,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,True,1,True,False,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,0,"[(0, 1)]",[1.0]
d84119f6,5,4,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.056523313619059, 2.05934474088107, 2.0621340385441926, 2.064890519616151, 2.0676135188003557, 2.070302394681376, 2.0729565305029447, 2.0755753393712797, 2.0781582691431266, 2.080704800103907, 2.083214450482535, 2.0856867772549488, 2.088121376975597, 2.0905178919987457, 2.0928760066689125, 2.0951954512481747, 2.097476003267677, 2.0997174894638766, 2.1019197860169814, 2.1040828175402195, 2.1062065593670543, 2.1082910393764918, 2.1103363324917503, 2.1123425660396657, 2.1143099151270044, 2.1162386051259205, 2.1181289095088003, 2.1199811479494057, 2.121795684299485, 2.123572925274872, 2.1253133194738147, 2.127017352606678, 2.1286855465536827, 2.1303184589099935, 2.131916678019342, 2.1334808191647325, 2.135011519778891, 2.1365094414791983, 2.1379752635439564, 2.139409677618641, 2.140813388601851, 2.142187106862672, 2.1435315468783163, 2.144847423815755, 2.1461354530541685, 2.1473963413787254, 2.1486307890296503, 2.1498394859710044, 2.151023106661854, 2.1521823137376788, 2.1533177500260687]",50,,,,,2.1533177500260687,,0.7354227288340399,,,,3.246466875076294,3.246466875076294,False,,0.0,0.0,,,3.2607898712158203,2026-08-07 12:22:55,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,3,"[(1, 2), (3, 4), (0, 1), (2, 3)]","[1.0, 1.0, 1.0, 1.0]"
b6c263e3,4,3,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.2180335332800802, 1.2229750833820838, 1.2279171730092897, 1.2328592989849034, 1.2378009641109657, 1.2427416759498882, 1.2476809444023866, 1.2526182871546392, 1.2575532258794542, 1.2624852902263353, 1.2674140124441455, 1.2723389309532147, 1.2772595893321617, 1.2821755379455755, 1.287086330878577, 1.291991531125828, 1.2968907083696442, 1.3017834371926116, 1.3066693011394404, 1.3115478892765122, 1.3164187992210787, 1.3212816317520333, 1.3261360023693052, 1.3309815296974374, 1.3358178358047836, 1.3406445611817832, 1.3454613466017444, 1.350267843612329, 1.3550637135992005, 1.3598486208814204, 1.3646222390596203, 1.3693842545416135, 1.3741343592308393, 1.3788722526122568, 1.3835976427009424, 1.3883102444604853, 1.393009779545039, 1.3976959821973565, 1.4023685860774153, 1.407027336762697, 1.4116719900324235, 1.4163023038112368, 1.420918042690716, 1.4255189814874982, 1.4301048942952617, 1.4346755666910713, 1.439230785408117, 1.4437703447935306, 1.4482940474960009, 1.4528016945682976, 1.457293094411879]",50,,,,,1.457293094411879,,0.6159311472577679,,,,6.17017126083374,6.17017126083374,False,,0.0,0.0,,,6.178080797195435,2026-08-07 12:22:57,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,2,"[(1, 2), (0, 1), (2, 3)]","[1.0, 1.0, 1.0]"
b0eca07e,4,3,3,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.248530252569445, 1.2522693471627473, 1.25598939364616, 1.2596890092872555, 1.2633668498328072, 1.2670215877736215, 1.270651915607819, 1.2742565346819201, 1.2778341689321053, 1.281383552898278, 1.284903439817983, 1.2883925982626656, 1.2918498235313751, 1.2952739358231513, 1.298663780541338, 1.3020182416239066, 1.3053362346306465, 1.3086167167191785, 1.3118586970650101, 1.3150612280807783, 1.3182234155229133, 1.3213444329708408, 1.3244235096488848, 1.3274599480118332, 1.3304531227806042, 1.3334024824368476, 1.3363075625485692, 1.3391679785183082, 1.3419834360741367, 1.3447537343131375, 1.347478766300614, 1.3501585206892248, 1.3527930884240251, 1.3553826619574085, 1.3579275296295779, 1.360428087668691, 1.3628848325631027, 1.3652983554807023, 1.3676693445422856, 1.3699985840197326, 1.372286945250499, 1.3745353852016917, 1.3767449410429256, 1.3789167244604703, 1.3810519140849957, 1.3831517512549796, 1.3852175366620032, 1.3872506199504826, 1.3892523987504657, 1.3912243125632995, 1.3931678347660008]",50,,,,,1.3931678347660008,,0.5888283325300088,,,,10.265855550765991,10.265855550765991,False,,0.0,0.0,,,10.273773908615112,2026-08-07 12:22:57,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,2,"[(1, 2), (0, 1), (2, 3)]","[1.0, 1.0, 1.0]"
e57c512b,9,8,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[3.2238156786173113, 3.2294409418653953, 3.2350115215607183, 3.240526135047933, 3.24598363503049, 3.2513830673618047, 3.256723712919986, 3.2620051397826972, 3.2672272636415163, 3.2723903870267144, 3.277495244007164, 3.282542960516225, 3.287534999169626, 3.2924730135869353, 3.2973587484770244, 3.3021938876138766, 3.306979961824239, 3.311718341847584, 3.3164102724968676, 3.3210568870673924, 3.325659249677971, 3.3302183790328432, 3.334735280622972, 3.339210940793914, 3.34364633037861, 3.3480423824823076, 3.3523999831413067, 3.3567199534756558, 3.3610030375598776, 3.365249898625131, 3.3694611155737353, 3.3736371765155213, 3.377778512589722, 3.381885487126136, 3.3859584063848667, 3.3899975778884777, 3.394003318979635, 3.397975946109643, 3.401915845867955, 3.4058234684723523, 3.409699355762581, 3.413544146059362, 3.417358589399985, 3.4211435655322084, 3.424900073376462, 3.4286292282360464, 3.432332251098527, 3.436010466888823, 3.439665272494454, 3.443298157550839, 3.446910663941451]",50,,,,,3.446910663941451,,0.6009258479674775,,,,11.994863271713257,11.994863271713257,False,,0.0,0.0,,,12.002428770065308,2026-08-07 12:22:58,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,7,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (7, 8), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
