run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,qaoa_seed,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
ba10b724,6,9,1,50.0,False,True,"[1, 1, 1]",5.999999999999998,12.000000147928356,6.000000073964178,4.085519598046144,3.496867805792397,3.841348147723991,2.625889962881017,2.625889962881017,"[2.266129517681397, 2.365836970004763, 2.4293986841326847, 2.474729307543808, 2.516210930952987, 2.5539106548105766, 2.583189950376089, 2.601456164240614, 2.6102209598299013, 2.613403756465743, 2.6144388520530497, 2.6149449286589515, 2.6151110991106203, 2.6147180088452613, 2.613991641384464, 2.613783438386838, 2.615131338507471, 2.618741885244581, 2.62473185852595, 2.632600201286755, 2.641335322102769, 2.6496401888395695, 2.6562945941427993, 2.6606012960076377, 2.6626941705641842, 2.6634037455309016, 2.6636596149837115, 2.663909774810674, 2.664042827960331, 2.66375941289564, 2.6629837533510385, 2.66199745639558, 2.661291007736611, 2.6613191957556976, 2.662312051713733, 2.664182156111791, 2.6665345063057715, 2.668778377077644, 2.670328200002897, 2.6708373068553244, 2.6703603462913645, 2.669332427595715, 2.6683427330439664, 2.6678296279475324, 2.6678988819350073, 2.6683638439052606, 2.6689382595821263, 2.6694248444660955, 2.6697846780219354, 2.6700810889194533, 2.670373706764174]",50,0.4376483271468363,,0.0889674877663138,-2.3419488819196337,2.670373706764174,,0.4450622844606958,,,,3.347162961959839,112.11591100692749,True,108.77635216712952,0.007586956024169922,0.0,108.77635216712952,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000005_a9ba2966dd1c_noseed_L2_M2_amplified.npz,3.4166321754455566,2026-08-08 09:02:19,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,True,True,True,3,False,False,False,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,5,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
956b651a,8,8,1,50.0,False,True,"[1, 1, 1]",5.467166254526778,10.943466353769749,5.471733176884874,3.567745257843223,3.256544367707673,3.1275726977684535,2.557658427512885,2.557658427512885,"[2.4711662885162347, 2.5282594484755765, 2.5869060947677553, 2.6107916194717067, 2.6168220885856903, 2.6180418483535104, 2.6190619126864783, 2.6219527659599478, 2.6266213899272803, 2.6329868186651084, 2.641556796216619, 2.6515394436781383, 2.6602052022587173, 2.664413896305252, 2.662844460437687, 2.6574355156696114, 2.6519996622203994, 2.6490516449833357, 2.648752472667675, 2.6500861480591515, 2.652278528688214, 2.655176815783271, 2.6584703615402523, 2.661193854679675, 2.6623584276814007, 2.6618039513905005, 2.6603324707459928, 2.65909471188724, 2.658844960397684, 2.659627843319178, 2.6609714745449944, 2.6623217749560797, 2.6633761969307526, 2.6640889624742665, 2.664440927566529, 2.6643308132049306, 2.663746671124018, 2.66296726457099, 2.6624529032663626, 2.662477018811915, 2.662925144004166, 2.6634774754049646, 2.663916577993904, 2.6642165456390385, 2.6643990982112333, 2.6644295172110626, 2.6642903129786912, 2.6640807821126287, 2.663973513766278, 2.664066298281901, 2.664299726339513]",50,0.4678215932056503,,0.2132825976532562,-0.9265459428578806,2.664299726339513,,0.4873273652751076,,,,6.089202880859375,1317.495522260666,True,1311.4118394851685,0.005503416061401367,0.0,1311.4118394851685,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000003_dcf1071fcc31_noseed_L2_M2_standard.npz,6.12976336479187,2026-08-08 09:02:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.24,True,False,True,False,,False,True,True,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,3,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
256523dd,6,9,2,50.0,False,True,"[1, 1, 1]",5.999999999999998,12.000000147928356,6.000000073964178,4.085519598046144,3.496867805792397,3.841348147723991,2.625889962881017,2.625889962881017,"[2.385108354732444, 2.49279311282888, 2.5979998444403227, 2.668305387229665, 2.6983660619759484, 2.704612966990422, 2.713288690713788, 2.735824014843071, 2.774010974104354, 2.825007195165148, 2.879569802380556, 2.9244679214202547, 2.95422230604296, 2.9769914334934167, 2.999242716383056, 3.021763153145028, 3.041046559825173, 3.0523614991949857, 3.053412695357911, 3.0465231922174256, 3.0376709968241236, 3.030890679810456, 3.0272954814892126, 3.0268141099992047, 3.0286673324167936, 3.0328909508470066, 3.0403073187787593, 3.050094252954885, 3.0599538724380038, 3.067362086801759, 3.0703225974562907, 3.0695049623534962, 3.067339138402877, 3.0654951991360653, 3.064844793692499, 3.065064099225316, 3.0655293967034605, 3.0662291423768226, 3.067312573916384, 3.0690507680394186, 3.0711622524685542, 3.0728586509446156, 3.0735854550526174, 3.07312872773106, 3.0721312388306514, 3.071552567261603, 3.071858400010733, 3.0728903265671623, 3.0739754883742916, 3.0747428946957447, 3.075186103673445]",50,0.4376483271468363,,0.8985922815848557,-1.5323240881010918,3.075186103673445,,0.5125310172789076,,,,5.447983026504517,114.22246432304382,True,108.77635216712952,0.00185394287109375,0.0,108.77635216712952,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000005_a9ba2966dd1c_noseed_L2_M2_amplified.npz,5.461300373077393,2026-08-08 09:02:22,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,True,True,True,3,False,False,False,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,5,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9a0c90af,8,8,2,50.0,False,True,"[1, 1, 1]",5.467166254526778,10.943466353769749,5.471733176884874,3.567745257843223,3.256544367707673,3.1275726977684535,2.557658427512885,2.557658427512885,"[2.2412602198786105, 2.388496106709109, 2.4731129032280434, 2.5540668804193287, 2.6199192539247753, 2.6536063752404777, 2.6619806311226712, 2.6616031434082315, 2.659534105051257, 2.6595238864007573, 2.6658611673370043, 2.6800865952291777, 2.6991904708400885, 2.7188469217431304, 2.7364254716038756, 2.7506227687727565, 2.7596713792078416, 2.762569843351575, 2.7613468242346495, 2.7596535243895617, 2.759091009406687, 2.7584523693059846, 2.7565595444312785, 2.754115409289097, 2.752368869279826, 2.7517652002666817, 2.752517537034336, 2.755016608730334, 2.7589930832375185, 2.7633783986683107, 2.767424632474336, 2.7709362041967163, 2.7734060893678727, 2.774232127419412, 2.773736769116097, 2.7729304338679994, 2.772439318926809, 2.772343699268457, 2.772713819449581, 2.7736269532063558, 2.774867453463831, 2.776165792621766, 2.7774981811691197, 2.7787770316782723, 2.779724687033687, 2.7803216633171917, 2.7808131297566514, 2.781254900237091, 2.7816143137457408, 2.782039947048224, 2.782626119046301]",50,0.4678215932056503,,0.44993538306683156,-0.6898931574443052,2.782626119046301,,0.5089704591921463,,,,9.789899110794067,1321.1876783370972,True,1311.4118394851685,0.014042139053344727,0.0,1311.4118394851685,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000003_dcf1071fcc31_noseed_L2_M2_standard.npz,9.837687730789185,2026-08-08 09:02:25,x86_64,dacsgpu0002,,64,64,3.11.15,0.26,True,False,True,False,,False,True,True,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,3,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5dc9fdb7,6,9,3,50.0,False,True,"[1, 1, 1]",5.999999999999998,12.000000147928356,6.000000073964178,4.085519598046144,3.496867805792397,3.841348147723991,2.625889962881017,2.625889962881017,"[2.2301998814320845, 2.359963869445661, 2.439537238031235, 2.4998177890761166, 2.5429331836651694, 2.5853781821211923, 2.64795615830906, 2.7154385426775076, 2.762145119096162, 2.784897458466807, 2.7903916049864863, 2.7999074924936, 2.8296350124535525, 2.8553033617640438, 2.8783199024171386, 2.901057470265158, 2.9257905283689345, 2.9505952456153506, 2.973155373004731, 2.9979315457392004, 3.0349118007138074, 3.089161915830638, 3.1527607615180475, 3.207190788350051, 3.2347307939419143, 3.2320187585641786, 3.213692193676717, 3.198451993725002, 3.1933309160673815, 3.194244708139196, 3.196727960466916, 3.201266267169049, 3.209751788854115, 3.2224929212461535, 3.237118442322278, 3.2483186090246337, 3.2511989369558485, 3.24702747193074, 3.2426822694359987, 3.241850081604342, 3.24298798649384, 3.244694087701984, 3.247651112957194, 3.25169717646639, 3.2550621343085355, 3.256767230660083, 3.2573981437952813, 3.257847695292933, 3.2585197053795754, 3.259401766464227, 3.260197425224218]",50,0.4376483271468363,,1.2686149246864016,-1.162301444999546,3.260197425224218,,0.5433662375373698,,,,9.454877376556396,118.22951602935791,True,108.77635216712952,0.001695871353149414,0.0,108.77635216712952,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000005_a9ba2966dd1c_noseed_L2_M2_amplified.npz,9.486043453216553,2026-08-08 09:02:26,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,True,True,True,3,False,False,False,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,5,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3efb1164,8,8,3,50.0,False,True,"[1, 1, 1]",5.467166254526778,10.943466353769749,5.471733176884874,3.567745257843223,3.256544367707673,3.1275726977684535,2.557658427512885,2.557658427512885,"[1.991235161739344, 2.153998827883717, 2.2627212687655662, 2.292795172070565, 2.338310933680468, 2.4159728855476184, 2.4916387447091655, 2.5521233955153493, 2.5916324407644376, 2.617597037529405, 2.6380945144021752, 2.660358761533189, 2.694165098858637, 2.739955524570605, 2.788893068696017, 2.8244610411109936, 2.8341400370594814, 2.847739089630855, 2.891445761611947, 2.94123646778349, 2.96511143832061, 2.9736486013949777, 2.9908629437404857, 3.015324577028887, 3.028921023275423, 3.0212777640699753, 3.0109982677240823, 3.0212514267583503, 3.044819637355783, 3.061057312621334, 3.0661706405035574, 3.0700950817187236, 3.0759660958774715, 3.0781446289764833, 3.0741640749217694, 3.070821716754012, 3.0749476432892298, 3.0842971487606543, 3.093613061310711, 3.1025089392062033, 3.1124789637554837, 3.121416018687796, 3.125178667153141, 3.123583576827373, 3.121604060398595, 3.122329727627953, 3.123521906510253, 3.1232521260665407, 3.122785643277305, 3.123029268919372, 3.1233152676052125]",50,0.4678215932056503,,1.1313136801846548,-0.008514860326481966,3.1233152676052125,,0.5712859500146219,,,,15.765012502670288,1327.173775434494,True,1311.4118394851685,0.003061532974243164,0.0,1311.4118394851685,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000003_dcf1071fcc31_noseed_L2_M2_standard.npz,15.804021120071411,2026-08-08 09:02:31,x86_64,dacsgpu0002,,64,64,3.11.15,0.27,True,False,True,False,,False,True,True,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,3,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
f52dcb83,6,9,5,50.0,False,True,"[1, 1, 1]",5.999999999999998,12.000000147928356,6.000000073964178,4.085519598046144,3.496867805792397,3.841348147723991,2.625889962881017,2.625889962881017,"[2.2075949800779235, 2.478207070508208, 2.5645755317555934, 2.6409071834129496, 2.7209843814352617, 2.7573988567953114, 2.841525591758322, 2.9228754909974217, 3.0540829064720025, 3.1219575667142196, 3.1418377569866216, 3.158303288090237, 3.1613871444059294, 3.1665754621288693, 3.202140297637639, 3.2431096242055766, 3.2575550145936236, 3.2699157580330995, 3.290190700605276, 3.287114735254262, 3.2747332333870998, 3.2829775859134243, 3.292991865929266, 3.2896644744447117, 3.293006070679415, 3.300564411576956, 3.2982385885204315, 3.298367494280795, 3.305727267446539, 3.3076786948642436, 3.306116506117284, 3.31057240898513, 3.3163570999359773, 3.321018325638858, 3.330427922924273, 3.340413681825979, 3.3455314359388186, 3.3522222761872777, 3.361825759328652, 3.368428980920471, 3.3731562593961972, 3.3778557075551583, 3.3801338149338442, 3.3822626825125117, 3.3867216354561727, 3.391236724308824, 3.3961910135409257, 3.402560535340398, 3.407623651408843, 3.4105111755527506, 3.412197638810075]",50,0.4376483271468363,,1.5726153518581159,-0.8583010178278316,3.412197638810075,,0.568699606468346,,,,21.136619806289673,129.90034413337708,True,108.77635216712952,0.012610912322998047,0.0,108.77635216712952,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000005_a9ba2966dd1c_noseed_L2_M2_amplified.npz,21.181455373764038,2026-08-08 09:02:38,x86_64,dacsgpu0002,,64,64,3.11.15,0.24,True,True,True,True,3,False,False,False,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,5,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a49ef984,8,8,5,50.0,False,True,"[1, 1, 1]",5.467166254526778,10.943466353769749,5.471733176884874,3.567745257843223,3.256544367707673,3.1275726977684535,2.557658427512885,2.557658427512885,"[2.024023113225268, 2.294054225643548, 2.4365515452639186, 2.613220759454387, 2.742391638016035, 2.791710231570473, 2.794555718998064, 2.795525049848922, 2.817255450868535, 2.87481846604161, 2.970178739031498, 3.0841064653033747, 3.1798102249414093, 3.2219295027327854, 3.2123239851074583, 3.2099279786309043, 3.234888497322069, 3.256221974530455, 3.2729880801766202, 3.2840952431613784, 3.2821778585526484, 3.287423823592293, 3.3126839833569663, 3.3363802549400683, 3.340020666653519, 3.340531034799925, 3.34756395805896, 3.352248476164312, 3.3538574250621815, 3.3581796348202073, 3.364908930369877, 3.372336384867647, 3.3791180332916055, 3.382664734109976, 3.3830595602471556, 3.382844624778523, 3.3834487763903933, 3.38752495416076, 3.39371428765752, 3.396188832708094, 3.3950640020522163, 3.3949758591535417, 3.397183720565512, 3.4007000728268726, 3.4032666414252635, 3.403047194587451, 3.402766749218915, 3.4052713587212144, 3.4087283752171444, 3.4111975164849366, 3.4128868194467907]",50,0.4678215932056503,,1.7104567838678113,0.5706282433566745,3.4128868194467907,,0.6242515154209811,,,,31.241440057754517,1342.647042274475,True,1311.4118394851685,0.006217002868652344,0.0,1311.4118394851685,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000003_dcf1071fcc31_noseed_L2_M2_standard.npz,31.292855501174927,2026-08-08 09:02:47,x86_64,dacsgpu0002,,64,64,3.11.15,0.29,True,False,True,False,,False,True,True,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,3,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
e672c49c,10,9,1,50.0,False,True,"[1, 1, 1]",4.9999999999999964,10.000009392409437,5.000004696204718,2.7027833463262465,2.93698611460563,2.6351779381899627,2.9715302225041094,2.9715302225041094,"[2.8662285306101283, 3.013735758373253, 3.125641882043926, 3.1781983537506937, 3.193680371462377, 3.2112133165725814, 3.241909642797692, 3.2817970734288844, 3.3231018903664737, 3.3584553342971937, 3.382844616400072, 3.394403110031111, 3.3941898032678597, 3.385404736808805, 3.3724731213979116, 3.359986329783285, 3.351629925100809, 3.3495262654708746, 3.3541042562674774, 3.36426270719962, 3.3776958386625706, 3.391418837082158, 3.4025124470312633, 3.4089360188224243, 3.4101202413738942, 3.407057850407976, 3.4018162682485387, 3.396701167155919, 3.3934677442320016, 3.3928788526049565, 3.3946906552987297, 3.39796891626371, 3.4015714747207517, 3.404610684486936, 3.4067082090676983, 3.407941483272497, 3.4085638340589073, 3.4087337974055623, 3.408456339083319, 3.407736851559577, 3.4067646705537062, 3.4059341132372407, 3.405666545368743, 3.4061716069688703, 3.407324507768833, 3.4087291013527383, 3.4099110208374346, 3.410530751745303, 3.4105120225376284, 3.410036787308989, 3.4094241319602605]",50,0.5943060445008223,,0.8757878189123023,1.5484923875405956,3.4094241319602605,,0.6818848263920526,,,,73.02320599555969,7449.736799478531,True,7376.72102689743,0.007414102554321289,0.0,7376.72102689743,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000001_9fea667002e0_noseed_L2_M2_amplified.npz,73.04480910301208,2026-08-08 09:03:27,x86_64,dacsgpu0002,,64,64,3.11.15,0.52,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,1,"[(8, 9), (3, 9), (6, 9), (1, 9), (7, 9), (2, 9), (4, 9), (5, 9), (0, 9)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
52f6b298,10,9,2,50.0,False,True,"[1, 1, 1]",4.9999999999999964,10.000009392409437,5.000004696204718,2.7027833463262465,2.93698611460563,2.6351779381899627,2.9715302225041094,2.9715302225041094,"[2.427193361109401, 2.5367362053328892, 2.677477312953914, 2.8008757333819894, 2.955481792055903, 3.1547890757749157, 3.3431796959624833, 3.4464764497466502, 3.446093346328328, 3.3934458132230283, 3.3414815536061377, 3.308384309445909, 3.294306152302792, 3.295366832842475, 3.307757105507155, 3.3279316625378605, 3.3519819960153674, 3.3756703311094363, 3.3954989376532794, 3.4095014720121113, 3.416651372428619, 3.4168256264306662, 3.412134063807726, 3.406658366179693, 3.4042158922108046, 3.407035389192311, 3.415610588536986, 3.428497417708146, 3.4425020024877666, 3.4537739303678405, 3.4594065701081447, 3.4587211986277056, 3.4534765464612116, 3.446867430272297, 3.4419883913856313, 3.4406336175352696, 3.442903177031753, 3.4475805689894674, 3.452901227328869, 3.4573076761091364, 3.459913695567853, 3.460615723021966, 3.4599737103181294, 3.4589709240407744, 3.458582510676502, 3.4592294946828437, 3.4606057072815224, 3.4620943306978966, 3.46322223360194, 3.463721200783203, 3.463527106994943]",50,0.5943060445008223,,0.9839937689816676,1.6566983376099609,3.463527106994943,,0.6927054213989892,,,,102.7806887626648,7479.495765447617,True,7376.72102689743,0.005933046340942383,0.0,7376.72102689743,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000001_9fea667002e0_noseed_L2_M2_amplified.npz,102.82704901695251,2026-08-08 09:03:57,x86_64,dacsgpu0002,,64,64,3.11.15,0.76,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,1,1,"[(8, 9), (3, 9), (6, 9), (1, 9), (7, 9), (2, 9), (4, 9), (5, 9), (0, 9)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
