run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,compare_with_010101,init_QAOAparams_close_to_zero,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_max_retries,queue_poll_interval_seconds,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
52db210c,3,3,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.24872004137938852, 0.3806780461849042, 0.5324835375184123, 0.6818874905914232, 0.8010556244276025, 0.870715039806507, 0.9057866661508168, 0.9352341967761906, 0.96803315836104, 1.0003123393736097, 1.0261866986014008, 1.0434085675987745, 1.0550985605771626, 1.068017269075862, 1.0887023965842533, 1.1201910628035023, 1.1610947845014872, 1.206516598336878, 1.2497542875185086, 1.2843540467924504, 1.3061831987009271, 1.3147068439929286, 1.312587334449349, 1.3038929412106266, 1.2924035861718197, 1.2809837884899513, 1.2717200885601283, 1.2661589101704713, 1.2653382428205524, 1.2696451036493621, 1.278648348545616, 1.2910470047602245, 1.3048223466176931, 1.3176169349787592, 1.3272803902066137, 1.3324338567379297, 1.332852813996621, 1.3294979797209916, 1.3241582725458945, 1.3188469336483608, 1.315199271896688, 1.3140862708931988, 1.3155254756785764, 1.3188461823086293, 1.323006731176314, 1.3269519011848607, 1.3299090254676122, 1.3315450843881922, 1.3319542516512102, 1.3315096742840506, 1.3306653304444922]",50,,,,,1.3306653304444922,,0.8871102202963281,,,,1.8757243156433105,1.8757243156433105,False,,0.0,0.0,,,1.8939263820648193,2026-08-04 10:23:28,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,0,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
405a7776,5,5,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.3947328958045435, 1.7097166255317988, 1.9979055771061371, 2.2297222379087107, 2.4147020369472925, 2.5573302033425342, 2.6417145474210653, 2.6638789389182214, 2.638426409476301, 2.589438522579197, 2.5411561427220666, 2.510827348106133, 2.504934412098077, 2.520901291329008, 2.550664639396244, 2.584177058223601, 2.612976482782618, 2.6332294199780653, 2.6461665417938782, 2.655144058922882, 2.6623339356660947, 2.6677375756898263, 2.6700932065458067, 2.6684737506126015, 2.6636479775731217, 2.6582462895626087, 2.6553527564804305, 2.656607761436855, 2.661433256961217, 2.667747415269875, 2.6733747445789433, 2.6772209219424914, 2.679594722653385, 2.681557267381731, 2.6838505854650583, 2.6862818984269436, 2.6879605107720717, 2.688065055282767, 2.686530841772548, 2.6842038762704186, 2.682383642314995, 2.6820864603516528, 2.6835305343107967, 2.6861286429027587, 2.688896834542604, 2.6909782984249353, 2.6919883376131337, 2.692038841715388, 2.6915110981811927, 2.690787923421016, 2.690120924546657]",50,,,,,2.690120924546657,,0.8627713035749381,,,,2.3384041786193848,2.3384041786193848,False,,0.0,0.0,,,2.354525327682495,2026-08-04 10:23:28,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,2,"[(0, 1), (2, 3), (0, 4), (1, 2), (3, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
5df16cf5,7,7,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.6414612046151222, 2.8061289999228824, 2.862747768614004, 2.8623685079412096, 2.8394509719123024, 2.8204731164645462, 2.817255973724472, 2.830169003359862, 2.851879470753813, 2.8709807859035683, 2.879066285368724, 2.875480182008629, 2.866399084213266, 2.859270390906611, 2.8579326080369167, 2.8618760776429135, 2.8681620751514068, 2.8737474222237553, 2.8770020272221695, 2.8778979670714655, 2.8772736519685105, 2.8760935360993187, 2.8751144317648296, 2.874816231143204, 2.875391076091511, 2.8767079673940703, 2.878324973577194, 2.8796704430941027, 2.8803437493346817, 2.8803458452715187, 2.8800464833441337, 2.879860400341219, 2.8799210537865645, 2.880098222319793, 2.880296448543156, 2.880619444021083, 2.8811716920117623, 2.8817869405716907, 2.882102338475284, 2.8819328183835333, 2.8814977178360994, 2.8812237194169747, 2.8813537655473027, 2.8817846797951123, 2.8822351271804, 2.8824927366273565, 2.882503577793162, 2.8823279564035067, 2.8820974148951524, 2.881982990391343, 2.882102950443763]",50,,,,,2.882102950443763,,0.6258638328868106,,,,2.9133269786834717,2.9133269786834717,False,,0.0,0.0,,,2.928086042404175,2026-08-04 10:23:29,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,4,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (0, 6), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5580f649,6,6,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.6304798055522365, 1.905997161405641, 2.15250651910311, 2.3181654629995245, 2.4064152645604615, 2.4914210921669375, 2.5942454922722273, 2.6925523801833493, 2.7595279986120116, 2.779211832860639, 2.7549499351392517, 2.7081071199843794, 2.663837612629205, 2.6373945505113228, 2.6323448262778006, 2.644871174596672, 2.667670114627009, 2.692778535154298, 2.7140849964099134, 2.7292109626013876, 2.7395356127468977, 2.748003635921376, 2.7563836972184883, 2.7641285324809295, 2.7692850272908274, 2.770263160239998, 2.767047037168852, 2.761214599792491, 2.7551147958317275, 2.7509287991185647, 2.750012982218246, 2.7526032754521523, 2.7579054217144243, 2.764507846461014, 2.770898515017365, 2.775863289152038, 2.7787021798293656, 2.7793112782121114, 2.77815353411436, 2.77609504215325, 2.7741105544381726, 2.7729345103343888, 2.7728110249573734, 2.7734964266966746, 2.7745207216753065, 2.7755216720983946, 2.7764201589925777, 2.7773412239360544, 2.77838347191613, 2.779440023867325, 2.7802144248569793]",50,,,,,2.7802144248569793,,0.6461107192323912,,,,2.6111652851104736,2.6111652851104736,False,,0.0,0.0,,,2.620431423187256,2026-08-04 10:23:29,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,True,False,True,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,3,"[(0, 1), (2, 3), (1, 2), (3, 4), (4, 5), (0, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
e438c60e,8,8,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.6436749337178482, 2.788613012738915, 2.8883818472700544, 2.962466723482973, 2.9939024797283933, 2.9930758379258164, 2.9743904177131624, 2.9515681136189804, 2.9352013197937543, 2.9292619216293936, 2.9334852995968443, 2.945959902290856, 2.9631991251230487, 2.980132185186562, 2.9919251794132715, 2.9972977352306707, 2.998022073076089, 2.995318504381766, 2.989650313519232, 2.9830802028654335, 2.978939422553591, 2.9788825392379286, 2.9818825806556504, 2.986161212121415, 2.990876935494325, 2.99550311235406, 2.998837133208305, 2.9998638637843102, 2.998851489927283, 2.9968609895134315, 2.994831818013898, 2.9934163911960407, 2.9930342670647025, 2.993738384087799, 2.9952529889936095, 2.997144621187182, 2.998842562877373, 2.9997683811706413, 2.9997944269669516, 2.9992988549250823, 2.998613601108655, 2.997885585521228, 2.9974282386610644, 2.997569103973664, 2.998185767741207, 2.9988814103804255, 2.999462163961837, 2.9998707578371757, 2.9999698838720548, 2.999739100978864, 2.9993892597699157]",50,,,,,2.9993892597699157,,0.5307714138683269,,,,3.3600425720214844,3.3600425720214844,False,,0.0,0.0,,,3.371053695678711,2026-08-04 10:23:29,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,True,False,True,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,5,"[(0, 1), (2, 3), (0, 7), (1, 2), (5, 6), (3, 4), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0a4c1b2d,9,9,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.7601243813452663, 1.9812246934968343, 2.1478479928039698, 2.253931735139365, 2.3037899148642156, 2.3087560976388177, 2.2890887515944485, 2.265877543220546, 2.2525397796847595, 2.2536286358315154, 2.268004909079344, 2.2919554750986513, 2.321230741061306, 2.3521243938709664, 2.381214649863343, 2.4046121886259475, 2.418678448133181, 2.4229027992644405, 2.420489678775408, 2.413615478010552, 2.4034432075739134, 2.392620253056667, 2.3854940245427083, 2.3839548453040122, 2.3866943324159307, 2.392000866175592, 2.399266511714959, 2.407672713300528, 2.415358529254901, 2.4207323897839075, 2.423487892776444, 2.4241803850931976, 2.423334939737781, 2.421332411041899, 2.418721255318074, 2.4162723988554595, 2.4147147107019054, 2.414433593751018, 2.41537894042713, 2.417187525369806, 2.4193969370734525, 2.4216119924316555, 2.4235258883127915, 2.4248576799638495, 2.4253844343961437, 2.4251036608873164, 2.424312248125237, 2.423423753158649, 2.4227149358488886, 2.4223053792541975, 2.4222857577756454]",50,,,,,2.4222857577756454,,0.40057644415009847,,,,3.7465367317199707,3.7465367317199707,False,,0.0,0.0,,,3.757678747177124,2026-08-04 10:23:29,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,6,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (7, 8), (4, 5), (0, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
abe452ef,4,4,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.9227808038183403, 0.9673859106755933, 0.9928781192227544, 0.9999797790383264, 0.9941199373982553, 0.9847043107777427, 0.9792893343998335, 0.9798891243369017, 0.9848077797455367, 0.9912544246137627, 0.9967306090632164, 0.9996577380612846, 0.9996621911351626, 0.9975365851095703, 0.9947779360351263, 0.9928386135682316, 0.9925104648070898, 0.9937535694462257, 0.9959160107650998, 0.9981136305804678, 0.9995935967989067, 0.999989401661315, 0.9994116180875077, 0.9983460200434189, 0.9974006163952406, 0.9970260415512224, 0.9973476293893462, 0.9981684156256427, 0.9991071736687818, 0.9997877999274869, 0.9999986443432276, 0.9997631798772968, 0.9992995432381149, 0.998894546632132, 0.9987598999417038, 0.9989437706284843, 0.999333266404728, 0.9997326590678349, 0.9999693104177345, 0.9999742839448509, 0.9998023579847837, 0.999587596035149, 0.9994637123307559, 0.9994949617688892, 0.9996529755185213, 0.9998456464079216, 0.9999755513103843, 0.9999931984244773, 0.9999172332680426, 0.9998144399344245, 0.9997553699614901]",50,,,,,0.9997553699614901,,0.33325178998716337,,,,2.1066339015960693,2.1066339015960693,False,,0.0,0.0,,,2.1154801845550537,2026-08-04 10:23:30,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,True,False,True,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,1,"[(1, 2), (0, 1), (2, 3), (0, 3)]","[1.0, 1.0, 1.0, 1.0]"
a2855524,3,3,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.0584384413742762, 1.1826199093904877, 1.2732615672745706, 1.321398937370891, 1.332431252183962, 1.316496420808746, 1.2925132767171257, 1.2757740067565333, 1.2708152182800971, 1.277334147741013, 1.2911777609224413, 1.3070091701617108, 1.3209839304994144, 1.3299746085025101, 1.3324457247315356, 1.3295110737944704, 1.3236787990050578, 1.3176760715532316, 1.3139804728248567, 1.3138579081704447, 1.3169246175213012, 1.3218406964200171, 1.327046112044466, 1.3310265799772198, 1.3327987766085874, 1.332396803558523, 1.3305782982401064, 1.3283299672632465, 1.3267031385293246, 1.326346739278678, 1.3272201499939724, 1.3289321549920254, 1.3308684681019538, 1.332336569727195, 1.3329863472487347, 1.332824957654636, 1.3320954373322373, 1.3312704822506587, 1.3307756542515383, 1.3307865635960534, 1.3312820143815007, 1.3320341312101083, 1.3327124199459803, 1.3331023816260974, 1.3331316373991646, 1.332875839247793, 1.3325479939878726, 1.3323310202499052, 1.3323231053107392, 1.3325266080396112, 1.3328232907593223]",50,,,,,1.3328232907593223,,0.8885488605062148,,,,4.059060096740723,4.059060096740723,False,,0.0,0.0,,,4.070718765258789,2026-08-04 10:23:30,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,0,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
6fa28e73,12,12,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[4.235035740876625, 4.402627281717923, 4.474646260343859, 4.476097632507544, 4.453046038312246, 4.43675863403109, 4.436787779209753, 4.446260412707119, 4.457745685493541, 4.470195395273113, 4.4836605798989595, 4.493772699079611, 4.494958877498987, 4.486995226868581, 4.47675122990799, 4.472055727992516, 4.475123374742771, 4.482938041566378, 4.4913254116128165, 4.497245852106808, 4.498917588793943, 4.496446009449401, 4.492201184752659, 4.489329593458689, 4.4894706744613355, 4.49187344900475, 4.49461981249678, 4.496492228853592, 4.497572266712996, 4.498236169681097, 4.498276476320778, 4.497416884862017, 4.496187991549992, 4.495629613168363, 4.496222741645685, 4.497571725693282, 4.4989505767815, 4.4997584373411215, 4.499657347327134, 4.498807005794759, 4.49793718119035, 4.497793270996073, 4.498430359920667, 4.499240112153244, 4.499668352197567, 4.4996856592723455, 4.499537465632891, 4.499358737128391, 4.499203013285576, 4.499177628993918, 4.499335471005709]",50,,,,,4.499335471005709,,0.5364654192209025,,,,5.349181652069092,5.349181652069092,False,,0.0,0.0,,,5.363267183303833,2026-08-04 10:23:31,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,True,False,True,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,9,"[(8, 9), (0, 11), (0, 1), (9, 10), (2, 3), (1, 2), (5, 6), (3, 4), (7, 8), (10, 11), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
411fad3e,10,10,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.3781222374286926, 2.605720950913152, 2.7279728256894327, 2.7897318492461287, 2.871628804320608, 3.0054870958899587, 3.1971452881924347, 3.4346344930498973, 3.688587882219956, 3.9200078590495977, 4.100767804923412, 4.214810782802772, 4.244275192635423, 4.193783204722601, 4.102203941293272, 4.019256468501079, 3.9759271168220276, 3.978043128625864, 4.0155872042548095, 4.072214394516564, 4.131730730504357, 4.182384081075741, 4.218193229262535, 4.237525753370773, 4.241599146113043, 4.234062993405773, 4.220692587430853, 4.207917750497236, 4.200257054238523, 4.1989824017159645, 4.203129682140675, 4.211290281747471, 4.222395068467837, 4.235045000716468, 4.246810594169138, 4.255008383425986, 4.258369371033355, 4.257810351526177, 4.255485782970521, 4.253218100273317, 4.251866405806152, 4.251710373529632, 4.252883542658315, 4.255275070305612, 4.258269538058203, 4.260964053588455, 4.2627850267067435, 4.263831820903051, 4.26455122289466, 4.2651677730342294, 4.265567412207764]",50,,,,,4.265567412207764,,0.6080637793596242,,,,4.28096866607666,4.28096866607666,False,,0.0,0.0,,,4.289610862731934,2026-08-04 10:23:31,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,True,False,True,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,7,"[(8, 9), (0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (7, 8), (4, 5), (0, 9), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
