run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,max_graph_vertices,qaoa_seed,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
19c8371a,3,3,1,50.0,False,True,"[1, 1, 1]",,3.000000005981841,1.5000000029909204,0.9593338546136929,0.8912913908741824,0.9593338544215324,0.9593338546136934,0.9593338546136926,"[1.1083115929637641, 1.1189211123964458, 1.1293323245446634, 1.1394474062393976, 1.1491847254058518, 1.1585016153231902, 1.1673962660307837, 1.175862711553038, 1.183864469031773, 1.191355285069872, 1.1983041392691813, 1.204709847679306, 1.2106071175868567, 1.2160609766607664, 1.2211472538632855, 1.2259298431468117, 1.230449115799392, 1.234722855439636, 1.2387534458964733, 1.2425359240959775, 1.2460620813939707, 1.2493188726255766, 1.252286077820143, 1.2549395169255262, 1.257259636591922, 1.2592404807274826, 1.2608941315199682, 1.2622480994319505, 1.2633378945274434, 1.2642002954529434, 1.2648708876910097, 1.2653846337026409, 1.2657759774476878, 1.2660760044479773, 1.266307680823333, 1.2664833127791757, 1.266606658494861, 1.2666781845079014, 1.2666999191258215, 1.2666772934317712, 1.2666179036441023, 1.2665297577275576, 1.266421247488886, 1.2663024159453518, 1.2661852641365499, 1.2660817994730038, 1.2660009275153652, 1.2659466290985202, 1.2659185424779884, 1.2659140015380494, 1.2659295090722378]",50,0.6395559030757956,,0.6131913089170888,0.6131913093014107,1.2659295090722378,,0.8439530060481585,,,,1.69744873046875,2.551586627960205,True,0.8559532165527344,0.0018014907836914062,0.0,0.8559532165527344,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000000_ef04306f2d85_noseed_L2_M2_amplified.npz,1.7072296142578125,2026-08-21 18:58:00,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,False,False,False,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,1,0,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
a342c16c,7,7,1,50.0,False,True,"[1, 1, 1]",,9.558388738515506,4.779194369257753,2.4902583648981107,2.7859058806426713,2.3068963300777185,2.4902583648981107,2.218879050567465,"[2.308864254823756, 2.331454878873482, 2.3531143397776653, 2.3737065256145553, 2.3931142895326154, 2.411244242439268, 2.4280316817167185, 2.4434459885212654, 2.457495575497081, 2.4702321466057517, 2.4817532072191075, 2.4922016880731954, 2.501761235770845, 2.510646740746468, 2.5190898124082097, 2.5273211067065864, 2.535552360724648, 2.543961270810731, 2.552681519658304, 2.5617993126263037, 2.571354772203834, 2.5813473217804415, 2.5917425521312283, 2.6024793971728246, 2.6134768727454194, 2.6246399810209318, 2.6358644215248, 2.6470406497327454, 2.658057339170655, 2.6688042303019217, 2.6791750268291934, 2.68906989665671, 2.6983978020200037, 2.7070787126429927, 2.7150457349559782, 2.722246807805196, 2.7286462788340247, 2.734225772819126, 2.7389846705371075, 2.742939918724693, 2.7461251278633054, 2.748589147900451, 2.750393877554967, 2.7516117303272667, 2.752322659005107, 2.7526110379110253, 2.752562543611897, 2.752261161922931, 2.751786496970983, 2.751211427297038, 2.7506002293951677]",50,0.5407727176760283,,0.520683728994114,0.8874077986348983,2.7506002293951677,,0.5973073245157802,,,,2.663771629333496,193.3011724948883,True,190.6402566432953,0.0028429031372070312,0.0,190.6402566432953,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000004_caa538b3e766_noseed_L2_M2_amplified.npz,2.673123359680176,2026-08-21 18:58:01,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,400001,4,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (0, 6), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
09fc4221,5,5,1,50.0,False,True,"[1, 1, 1]",,6.415500163393052,3.207750081696526,2.111742012953952,1.870090001098211,2.015404709815218,2.1117420129539526,1.56918709913635,"[1.7118321303131026, 1.7173058510828967, 1.7218389043493871, 1.725788670016115, 1.7295363709775413, 1.7331143129642714, 1.7364320073432087, 1.739421714773912, 1.7420828507413548, 1.7445035789238907, 1.7468533879118264, 1.749329827347259, 1.7520871960874895, 1.7552042638371939, 1.7587070618830778, 1.7626127216264533, 1.7669556614111592, 1.7717822983709925, 1.777132823676461, 1.7830321964135394, 1.7894910044725025, 1.7965080011552539, 1.8040710876922854, 1.8121568801528694, 1.8207295378298833, 1.8297396094847964, 1.8391229405699046, 1.8388572335806304, 1.8383089051690822, 1.8385139981893772, 1.8395482287720404, 1.8414424862693877, 1.8441837741031453, 1.8477200512689842, 1.851968007147748, 1.8568224562602433, 1.8621659374379917, 1.8678771498060525, 1.8681255858553099, 1.864974113881587, 1.8630496863628425, 1.8623173959362511, 1.8627024003277926, 1.864102122853771, 1.8663967859491029, 1.869458167871818, 1.8692235959109544, 1.8664758968284487, 1.865085818534334, 1.8649492202839784, 1.8659356890273702]",50,0.6772745391128777,,-0.49161264785316483,-0.2989380415756955,1.8659356890273702,,0.5984399259228256,,,,2.1375021934509277,17.842560291290283,True,15.70792269706726,0.0028450489044189453,0.0,15.70792269706726,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000002_ee18cc9e4ef7_noseed_L2_M2_amplified.npz,2.1446759700775146,2026-08-21 18:58:01,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,200001,2,"[(0, 1), (2, 3), (0, 4), (1, 2), (3, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
c6e99deb,3,3,2,50.0,False,True,"[1, 1, 1]",,3.000000005981841,1.5000000029909204,0.9593338546136929,0.8912913908741824,0.9593338544215324,0.9593338546136934,0.9593338546136926,"[1.170477501002221, 1.193737313355167, 1.2150860083992132, 1.234723091977698, 1.253153819952756, 1.2705347575091572, 1.2867070344276779, 1.301387478460729, 1.314317608755974, 1.325322997706528, 1.3343503668635552, 1.3414976286210245, 1.3470214697619687, 1.3513000482326378, 1.3547558650585274, 1.3577778872363386, 1.3606691429415334, 1.3636180562731186, 1.3666905839260917, 1.3698449680011735, 1.3729662863015972, 1.3759108596433127, 1.3785494320117704, 1.3807996847436277, 1.3826412575017273, 1.384110220371632, 1.3852767409954418, 1.3862166706341574, 1.3869889519182872, 1.387625124065722, 1.3881302731674106, 1.388491832020792, 1.3886920607712747, 1.3887210761519282, 1.3885874372661924, 1.3883235026515317, 1.387983422489159, 1.387633572534459, 1.387338218019806, 1.3871454378203771, 1.38707795171719, 1.3871313489876735, 1.3872791048009878, 1.387481957244884, 1.3876987419321405, 1.3878959202546246, 1.3880537283142276, 1.388167818570057, 1.3882464459698933, 1.3883045888624672, 1.3883573943157705]",50,0.6395559030757956,,0.8580470794041544,0.8580470797884763,1.3883573943157705,,0.9255715962105137,,,,3.009915828704834,3.8644721508026123,True,0.8559532165527344,0.0013813972473144531,0.0,0.8559532165527344,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000000_ef04306f2d85_noseed_L2_M2_amplified.npz,3.025707483291626,2026-08-21 18:58:01,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,101,0,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
f07bbdf2,4,4,1,50.0,False,True,"[1, 1, 1]",,5.999998077194724,2.999999038597362,1.6116641679958408,1.7555248004613386,1.4107567024837637,1.6116641679958406,1.2231350442509192,"[1.2379346903761912, 1.2392836022138225, 1.2405865931401152, 1.24186641478245, 1.2431452369420606, 1.244443158348805, 1.245776997790544, 1.2471600013294546, 1.2486027737966854, 1.2501143566627317, 1.2517024818606055, 1.2533730805921128, 1.2551297149310197, 1.256973388647515, 1.2589028325266745, 1.2609149206053307, 1.2630049112550203, 1.2651662369635754, 1.2673901677107793, 1.2696657880777538, 1.2719804854453962, 1.2743204016054366, 1.2766705467915918, 1.2790148491475788, 1.2813364986092777, 1.2836185316178645, 1.2858442251409987, 1.2879972137006728, 1.2900616638944906, 1.2920227775979747, 1.2938674814047588, 1.2955848244830923, 1.2971661534455707, 1.2986052961352492, 1.299898723801138, 1.3010455937970313, 1.3020474679273017, 1.3029079821583236, 1.3036325522469392, 1.3042280685954348, 1.3047024898928368, 1.305064470303939, 1.3053231839390183, 1.3054883673788147, 1.3055705332302237, 1.3055812703445924, 1.305533453513189, 1.3054412715502972, 1.305319924513051, 1.3051848784288762, 1.3050508389220485]",50,0.5372213893319469,,-0.613226658147584,-0.21141172712343037,1.3050508389220485,,0.4350169463073495,,,,1.880012035369873,7.082651376724243,True,5.204791784286499,0.0021386146545410156,0.0,5.204791784286499,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000001_39af675d2bf7_noseed_L2_M2_amplified.npz,1.8875298500061035,2026-08-21 18:58:01,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,100001,1,"[(1, 2), (0, 1), (2, 3), (0, 3)]","[1.0, 1.0, 1.0, 1.0]"
ce1cb0a2,3,3,3,50.0,False,True,"[1, 1, 1]",,3.000000005981841,1.5000000029909204,0.9593338546136929,0.8912913908741824,0.9593338544215324,0.9593338546136934,0.9593338546136926,"[1.1636814486678524, 1.1981709247695989, 1.2285189024351002, 1.2539816461862512, 1.2745186750810054, 1.2911114156151062, 1.305360801236993, 1.318552112309715, 1.3311938513827484, 1.3432193686383782, 1.3543087804580491, 1.3640870330711652, 1.372235362523966, 1.378578960118655, 1.3831679905620478, 1.38631224749911, 1.3885114841445556, 1.3903004863837398, 1.3921032599268395, 1.3941622233023638, 1.3965430258209153, 1.3991812946587356, 1.4019387319477603, 1.4046534215705817, 1.4071811210134846, 1.4094270202282022, 1.4113642201976973, 1.4130334102294773, 1.4145217005495154, 1.4159288521951572, 1.417336537807396, 1.4187923675011145, 1.420309096937585, 1.421872790940868, 1.4234547250787855, 1.4250243586857325, 1.4265613377626862, 1.428063500630027, 1.429548985580585, 1.4310531035955536, 1.4326221521519968, 1.434305952337497, 1.436149572083306, 1.4381848921391196, 1.440424476909515, 1.442861346590945, 1.4454747650004225, 1.4482391198101456, 1.451131115383411, 1.4541321704991308, 1.457225701040376]",50,0.6395559030757956,,0.9957836928533652,0.9957836932376871,1.457225701040376,,0.971483800693584,,,,4.340935230255127,5.195178508758545,True,0.8559532165527344,0.001699209213256836,0.0,0.8559532165527344,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000000_ef04306f2d85_noseed_L2_M2_amplified.npz,4.348559379577637,2026-08-21 18:58:02,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,201,0,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
550b86d7,5,5,2,50.0,False,True,"[1, 1, 1]",,6.415500163393052,3.207750081696526,2.111742012953952,1.870090001098211,2.015404709815218,2.1117420129539526,1.56918709913635,"[1.6142026281161825, 1.6352385373723624, 1.6547980041201291, 1.6728944629195985, 1.6892615553046355, 1.7036754733760888, 1.7160196053245476, 1.7263503883438411, 1.7349526312440777, 1.7423340579839661, 1.7491109661071098, 1.7558233860646395, 1.7627990042546038, 1.7701341175137093, 1.7777594418657705, 1.7855312706100102, 1.7933126460653979, 1.8010298503706683, 1.8086968942013357, 1.8164045441004888, 1.8242810196486194, 1.8324439420120113, 1.8409663307556783, 1.8498658654684332, 1.8591122584132145, 1.8686431638431857, 1.878380898880587, 1.8882475680311497, 1.898176616925507, 1.908120133564732, 1.9180507873873167, 1.9279579164429734, 1.9378398616875625, 1.947695236228049, 1.9575169840374356, 1.9672914751952937, 1.9770016842602902, 1.986633189021777, 1.9961811152341415, 2.005656462585416, 2.015090820295354, 2.024538466197673, 2.0340755187499533, 2.043795475712537, 2.0538016165972524, 2.0641972747248096, 2.075075459289181, 2.086509652330428, 2.098546866682327, 2.111203635575798, 2.12446466424899]",50,0.6772745391128777,,0.02544530259007516,0.2181199088675445,2.12446466424899,,0.6813549275974953,,,,3.7834842205047607,19.48931646347046,True,15.70792269706726,0.002075672149658203,0.0,15.70792269706726,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000002_ee18cc9e4ef7_noseed_L2_M2_amplified.npz,3.8056740760803223,2026-08-21 18:58:03,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,200101,2,"[(0, 1), (2, 3), (0, 4), (1, 2), (3, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
09ce76a2,7,7,2,50.0,False,True,"[1, 1, 1]",,9.558388738515506,4.779194369257753,2.4902583648981107,2.7859058806426713,2.3068963300777185,2.4902583648981107,2.218879050567465,"[1.991426813612327, 2.030540619631455, 2.0657584839579837, 2.096408728539453, 2.123355243298718, 2.1487628207082756, 2.1742966259564795, 2.2005882812483972, 2.2276115810357164, 2.2550431574556806, 2.2824456554589885, 2.3093610927915402, 2.3353700868969485, 2.3601303847077713, 2.383393732790565, 2.405001357015212, 2.4248671122073735, 2.4429612780978327, 2.4593017952395217, 2.47395013009659, 2.487005987182893, 2.4985975457207834, 2.5088678024471167, 2.5179599512475797, 2.5260053447853226, 2.5331174633728892, 2.5393928304418845, 2.5449187389586414, 2.5497847858056053, 2.554093362341254, 2.557964053277539, 2.561527842293502, 2.564912091955416, 2.568220700478193, 2.571518390860548, 2.574823897335902, 2.578114268400836, 2.581337192903532, 2.5844271271998775, 2.587321267664564, 2.5899720522990575, 2.592354868142758, 2.5944698923810874, 2.5963384084669032, 2.597995129519973, 2.5994790030919255, 2.600824974043881, 2.602059197157216, 2.603198279732055, 2.6042516348394504, 2.6052259097890422]",50,0.5407727176760283,,0.22993508978186306,0.5966591594226474,2.6052259097890422,,0.5657385254699331,,,,4.960693836212158,195.5983908176422,True,190.6402566432953,0.002549409866333008,0.0,190.6402566432953,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000004_caa538b3e766_noseed_L2_M2_amplified.npz,4.967627048492432,2026-08-21 18:58:03,x86_64,dacsgpu0002,,64,64,3.11.15,0.24,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,400101,4,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (0, 6), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
74465491,3,3,4,50.0,False,True,"[1, 1, 1]",,3.000000005981841,1.5000000029909204,0.9593338546136929,0.8912913908741824,0.9593338544215324,0.9593338546136934,0.9593338546136926,"[1.1158044563399672, 1.1640418256133438, 1.2094262428045208, 1.2510766895868348, 1.2873219947264907, 1.3167520176497844, 1.3389128732635514, 1.3545605650553882, 1.365169466272036, 1.3722939167901456, 1.3773164016308772, 1.3813708302328787, 1.3852776807977547, 1.38952942636564, 1.3943302928406967, 1.3996583543926486, 1.4053544925647417, 1.4112380946822847, 1.4171531840488305, 1.4229606653813482, 1.4285801176505166, 1.4340186009193454, 1.4393337220124294, 1.4445642070438176, 1.4496840411185974, 1.454607551154325, 1.4592337034022784, 1.4634949400414619, 1.4673766074622905, 1.470904481125912, 1.4741310694996492, 1.477139262376221, 1.4800451124124203, 1.482970238461732, 1.4859812492817182, 1.4890324411326585, 1.4919566416775385, 1.4945163366978453, 1.4964895540352108, 1.4977527166592084, 1.4983258883824837, 1.498361590590778, 1.4980887266158558, 1.4977409032277653, 1.4974946474158202, 1.497434144214714, 1.4975489596354832, 1.4977609348150045, 1.4979692388685166, 1.498096925723966, 1.4981194284549677]",50,0.6395559030757956,,1.0775711476825487,1.0775711480668706,1.4981194284549677,,0.9987462856366451,,,,6.185064315795898,7.039297580718994,True,0.8559532165527344,0.0017104148864746094,0.0,0.8559532165527344,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000000_ef04306f2d85_noseed_L2_M2_amplified.npz,6.192740440368652,2026-08-21 18:58:04,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,301,0,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
8aba5d4d,5,5,3,50.0,False,True,"[1, 1, 1]",,6.415500163393052,3.207750081696526,2.111742012953952,1.870090001098211,2.015404709815218,2.1117420129539526,1.56918709913635,"[1.854279136593058, 1.8873137338870503, 1.9169389364988174, 1.943020864309631, 1.966161712874538, 1.9871265020949522, 2.006463325744533, 2.0242698101976324, 2.040619910181485, 2.0558436145760157, 2.0704365915445244, 2.084768622225837, 2.098874461640753, 2.1125057598142227, 2.1253358305214043, 2.137145490767378, 2.1478858008672552, 2.157614838479321, 2.1664104541747284, 2.1743407258929484, 2.1814757836367016, 2.1879001874052126, 2.193705812345585, 2.1989758945529716, 2.203782778217454, 2.208205281681938, 2.212347188837217, 2.2163300566921538, 2.220261614943272, 2.2242112608580555, 2.228216353370492, 2.232310278795386, 2.2365467802280437, 2.241003147653073, 2.245764516395578, 2.2509069493236264, 2.256496177713085, 2.262600059836396, 2.269297429599926, 2.276669041730018, 2.284776288077283, 2.293640892202615, 2.303233975570691, 2.313474273899341, 2.3242286743695395, 2.3353111396830752, 2.3464821838633223, 2.35745670466787, 2.3679242045684545, 2.3775799749325484, 2.3861636236987986]",50,0.6772745391128777,,0.5488432214896921,0.7415178277671615,2.3861636236987986,,0.7652866015711349,,,,5.970355749130249,21.676340341567993,True,15.70792269706726,0.0019254684448242188,0.0,15.70792269706726,Results/warm_start_cache/cycle_graphs_3to12vertices_10instances_AdjacencyList__filehash_1a582721/hog_idx000002_ee18cc9e4ef7_noseed_L2_M2_amplified.npz,5.979078054428101,2026-08-21 18:58:05,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,False,True,2,True,True,True,True,adam,True,1,10,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/cycle_graphs_3to12vertices_10instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,200201,2,"[(0, 1), (2, 3), (0, 4), (1, 2), (3, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
