run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,circuit_type,learning_rate_adam,compare_with_010101,init_QAOAparams_close_to_zero,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_max_retries,queue_poll_interval_seconds,qaoa_seed,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
d430ba9f,9,18,1,50.0,False,False,"[1, 1, 1]",8.469001749928564,,,,,,,,"[0.8147262345414336, 1.405537474842662, 2.0515475461186448, 2.6992395738241695, 3.30067434631383, 3.8117972974928467, 4.1987971811137825, 4.449993723750224, 4.581825429993674, 4.629893832133637, 4.631524210728031, 4.613833879572303, 4.5918624330926905, 4.572073362647905, 4.556326452415737, 4.544516012120349, 4.5359163231104676, 4.52974823101888, 4.5253640514281575, 4.522277252332027, 4.520138497692522, 4.518703775799397, 4.517803881114958, 4.5173231686700115, 4.517183270134509, 4.517332964870255, 4.517741873591138, 4.518395907647798, 4.5192963706918645, 4.52045973871114, 4.521919269752574, 4.523728896541753, 4.525968455671194, 4.528751115430481, 4.532234350027081, 4.536634451254985, 4.542247055670094, 4.549475296607134, 4.558870182680949, 4.571186580030293, 4.587464070544378, 4.609139335308961, 4.63819666959104, 4.677353951690282, 4.7302526441030075, 4.801548905352245, 4.8966393092974725, 5.020545174084961, 5.175371074008877, 5.356515929688854, 5.550229326432697]",50,,,,,5.550229326432697,,0.6553581508563878,,,,2.23685622215271,2.23685622215271,False,,0.0,0.0,,,2.3467202186584473,2026-08-12 20:15:59,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,4,True,True,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,3700001,37,"[(2, 7), (0, 1), (1, 6), (0, 4), (5, 7), (3, 5), (0, 3), (4, 6), (1, 2), (5, 6), (3, 4), (6, 8), (1, 5), (2, 8), (3, 7), (7, 8), (4, 8), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
81741793,10,20,1,50.0,False,False,"[1, 1, 1]",11.531128874149305,,,,,,,,"[3.5325648020064886, 4.102092994241525, 4.54535811700873, 4.861336025490671, 5.061438218167612, 5.170706962872244, 5.222061064918834, 5.245496353256289, 5.261792153262338, 5.283121908193751, 5.316298036076949, 5.365291224775665, 5.432261413964308, 5.517642816207347, 5.620291243622425, 5.7385771641496515, 5.872179719608616, 6.02224901741485, 6.187036211343314, 6.353886122676503, 6.494242524545744, 6.57032291210705, 6.559104988432701, 6.483206842209046, 6.400450209234778, 6.350793922043425, 6.340286499315732, 6.357407292069561, 6.390221647558334, 6.434522586233312, 6.488834086323315, 6.545217766113647, 6.590037453514173, 6.612202922541111, 6.609372666750224, 6.588236515744184, 6.560300308721478, 6.536745110539842, 6.525052294690827, 6.527904511466689, 6.543549853666427, 6.5669117202046925, 6.5912088471761985, 6.61005673266581, 6.619610076119967, 6.619747929197159, 6.613483490032869, 6.605000102165038, 6.597759748924886, 6.593781973748238, 6.593905753931802]",50,,,,,6.593905753931802,,0.5718352319098731,,,,2.4080538749694824,2.4080538749694824,False,,0.0,0.0,,,2.5162034034729004,2026-08-12 20:15:59,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,False,True,4,False,False,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,16000001,160,"[(3, 8), (2, 6), (2, 9), (4, 9), (0, 2), (5, 7), (3, 7), (2, 5), (4, 8), (0, 1), (1, 6), (0, 4), (1, 9), (6, 8), (3, 9), (4, 7), (0, 3), (1, 5), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
f86060ce,10,20,1,50.0,False,False,"[1, 1, 1]",10.586966076270418,,,,,,,,"[4.788479366623987, 4.979937889908059, 5.071084190288551, 5.178210281528759, 5.33874266727633, 5.558007024169494, 5.845729441838675, 6.20145380374137, 6.582897158433342, 6.922860910193733, 7.1663200034071, 7.25232530998673, 7.1674245499931315, 7.005283514551591, 6.88352542784177, 6.856500001581741, 6.915338925714846, 7.020952531492805, 7.132292989678813, 7.22015704049642, 7.268927613922175, 7.27634310049115, 7.252734083157522, 7.218282657019308, 7.1917168394524085, 7.1796632135454495, 7.180781800301279, 7.193298309237008, 7.216567922113447, 7.24653989347251, 7.274316429569531, 7.291776728777659, 7.297170477635294, 7.294181291838819, 7.287275233866015, 7.279941997826244, 7.275288166928926, 7.275828374345333, 7.281962428356002, 7.291231649553474, 7.29985271263007, 7.305255759130297, 7.307358585496869, 7.3074995517375365, 7.306613903605635, 7.305073522626537, 7.3037095107414585, 7.303744682203978, 7.305496246419173, 7.308026244995968, 7.310328831034096]",50,,,,,7.310328831034096,,0.6905027161104669,,,,2.571640729904175,2.571640729904175,False,,0.0,0.0,,,2.6956286430358887,2026-08-12 20:15:59,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,4,False,False,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,27800001,278,"[(3, 8), (2, 6), (4, 9), (0, 2), (1, 7), (5, 7), (3, 4), (2, 5), (4, 8), (0, 1), (1, 6), (0, 4), (1, 9), (6, 8), (5, 9), (3, 9), (2, 7), (0, 3), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
288daf9c,10,25,1,50.0,False,False,"[1, 1, 1]",11.54089257376802,,,,,,,,"[5.641560242763569, 5.932723378493441, 6.106326493118251, 6.195092057332625, 6.233101682543778, 6.246160314050101, 6.249465858201866, 6.249974136540006, 6.2499999973492235, 6.249997505179562, 6.249981729420918, 6.250019223869754, 6.250312169029832, 6.251204967597851, 6.253225642504204, 6.257025999356466, 6.263161565243121, 6.27197934369615, 6.2837997020262675, 6.300203742284442, 6.323311381059097, 6.353703193593259, 6.391835458806802, 6.448525914908407, 6.534660054932106, 6.651704998587883, 6.792979581113402, 6.944978697657182, 7.103334421659529, 7.252335921901303, 7.337913892486165, 7.352652969165837, 7.306475580678433, 7.212444057242463, 7.125839292629684, 7.102386035193703, 7.133462094347684, 7.191978724827483, 7.263572162789205, 7.325590018751084, 7.357599636032894, 7.362261142542544, 7.350410029090303, 7.3294196255366515, 7.306513151834678, 7.28866175957482, 7.281820412094908, 7.286530414462753, 7.299480320390637, 7.31688420899351, 7.335315521169625]",50,,,,,7.335315521169625,,0.6355934321616077,,,,2.584182024002075,2.584182024002075,False,,0.0,0.0,,,2.709926128387451,2026-08-12 20:15:59,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,5,False,True,False,False,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,36400001,364,"[(2, 6), (3, 5), (7, 8), (0, 5), (0, 2), (1, 7), (6, 9), (2, 8), (4, 5), (3, 7), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (6, 8), (5, 6), (5, 9), (2, 4), (3, 9), (4, 7), (7, 9), (0, 3), (1, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4030a1da,9,18,2,50.0,False,False,"[1, 1, 1]",8.469001749928564,,,,,,,,"[4.381246786598115, 4.477282999288411, 4.50203275397552, 4.504287499572553, 4.502865483433699, 4.501494364554382, 4.500580601306089, 4.500118917036827, 4.500212932379929, 4.501040052543971, 4.503179528558797, 4.5087224896042, 4.522712281178056, 4.5537322785374545, 4.614555970727773, 4.719384497124542, 4.873623617922171, 5.025652211568351, 5.1713614951214755, 5.370536999571408, 5.574337955126643, 5.758668193805604, 5.923526519727265, 6.080965892005584, 6.196102532062986, 6.229713609423564, 6.203900776211017, 6.153037305452779, 6.115709251544423, 6.124701903007891, 6.1912681770472, 6.308409878749142, 6.4576105359041795, 6.616219751819541, 6.766755227778916, 6.899377364589668, 7.00621079107717, 7.080632825732711, 7.1198890613538826, 7.127143562446443, 7.11948585562787, 7.120471994347325, 7.1343258497139175, 7.141940681209353, 7.125047984298679, 7.09021599000909, 7.063803629242348, 7.063943652881287, 7.086099214929756, 7.1128472209072635, 7.130848481478486]",50,,,,,7.130848481478486,,0.8419939789879762,,,,5.124106407165527,5.124106407165527,False,,0.0,0.0,,,5.232437372207642,2026-08-12 20:16:02,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,4,True,True,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,3700101,37,"[(2, 7), (0, 1), (1, 6), (0, 4), (5, 7), (3, 5), (0, 3), (4, 6), (1, 2), (5, 6), (3, 4), (6, 8), (1, 5), (2, 8), (3, 7), (7, 8), (4, 8), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
41e2cacb,10,20,2,50.0,False,False,"[1, 1, 1]",10.586966076270418,,,,,,,,"[4.708579708643696, 4.815884765764205, 4.82430259361481, 4.89656841296141, 5.005870050124864, 5.11287431400576, 5.19083345244162, 5.224558343708054, 5.235206334939595, 5.287814073769781, 5.4236196865261785, 5.624485125618136, 5.84335884076554, 6.079494329931408, 6.288863503885961, 6.356846985463072, 6.3396479912555295, 6.364146897524788, 6.394692819214152, 6.397427350427145, 6.390917888603457, 6.3975773907867985, 6.43129376628049, 6.494865978307372, 6.579744006932547, 6.672038696450832, 6.759928009350857, 6.836191704163594, 6.900656067099142, 6.96136972101425, 7.026686249812423, 7.097192761467087, 7.1687208517948715, 7.2356180076637475, 7.289653756873298, 7.322253758233527, 7.331690906346134, 7.326008825322662, 7.3157382379840845, 7.3051847801301495, 7.293298090226964, 7.282157209835343, 7.280347335599423, 7.294679276907665, 7.322232280125556, 7.352940647590898, 7.377436027320144, 7.392091855125254, 7.398487689373625, 7.399831395764167, 7.398468807814274]",50,,,,,7.398468807814274,,0.6988280452127992,,,,5.626936912536621,5.626936912536621,False,,0.0,0.0,,,5.7435829639434814,2026-08-12 20:16:02,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,False,False,False,True,4,False,False,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,27800101,278,"[(3, 8), (2, 6), (4, 9), (0, 2), (1, 7), (5, 7), (3, 4), (2, 5), (4, 8), (0, 1), (1, 6), (0, 4), (1, 9), (6, 8), (5, 9), (3, 9), (2, 7), (0, 3), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
229a297a,10,20,2,50.0,False,False,"[1, 1, 1]",11.531128874149305,,,,,,,,"[5.000052147722931, 4.998632973661328, 5.006216311265775, 5.0109935518891175, 5.035475948322993, 5.053470554511646, 5.074363031787053, 5.101012983678492, 5.132087547970598, 5.168072360892879, 5.194068394850231, 5.207247417545615, 5.217887794943818, 5.233641785038687, 5.262834427438225, 5.3187831996229065, 5.426456172209643, 5.609297762949572, 5.861782105889493, 6.152587460114252, 6.430504019499601, 6.636419691766511, 6.722566781880949, 6.683513463070678, 6.56733974732605, 6.457534736287201, 6.411719839784687, 6.4362960813161045, 6.507430735768892, 6.591054855108488, 6.657574630017615, 6.693948620996217, 6.7037983176358145, 6.696375507630238, 6.680334241576622, 6.664704065011397, 6.658308452897608, 6.665572370013746, 6.683687104358861, 6.704990493133169, 6.722413487146091, 6.7324352814227355, 6.734435888987984, 6.730060156332716, 6.723030991678092, 6.717342512765179, 6.714946556169734, 6.716100966421872, 6.721099933309371, 6.729965617640881, 6.740758021552481]",50,,,,,6.740758021552481,,0.58457052168275,,,,5.693702936172485,5.693702936172485,False,,0.0,0.0,,,5.7993175983428955,2026-08-12 20:16:02,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,False,True,4,False,False,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,16000101,160,"[(3, 8), (2, 6), (2, 9), (4, 9), (0, 2), (5, 7), (3, 7), (2, 5), (4, 8), (0, 1), (1, 6), (0, 4), (1, 9), (6, 8), (3, 9), (4, 7), (0, 3), (1, 5), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
896091a9,10,25,2,50.0,False,False,"[1, 1, 1]",11.54089257376802,,,,,,,,"[6.281045778334372, 7.00037334313684, 7.352243821541153, 7.438606172553295, 7.437771045769455, 7.409266021395396, 7.376862691079007, 7.358441327800427, 7.364813086682065, 7.397994292872677, 7.449936225036226, 7.5070965788911606, 7.557065167412932, 7.593032856925719, 7.613999778807124, 7.620955756807824, 7.614718432918679, 7.598752518224102, 7.581254638320871, 7.571577763398908, 7.574468775574775, 7.5879300530389235, 7.6056791697853345, 7.621470124708954, 7.632082900973708, 7.637391224731297, 7.638797918045681, 7.6382004175943035, 7.637667230512444, 7.638897417222472, 7.642479325277403, 7.648015898378909, 7.6554890360078325, 7.6665861289380075, 7.6844818391480985, 7.712741182895479, 7.755662040529601, 7.8212053079734405, 7.924085359316602, 8.081068462228293, 8.29205534887807, 8.510098055092499, 8.635613305305093, 8.640957911436907, 8.655232189530409, 8.650534781290673, 8.628803748604584, 8.652212621416027, 8.653474049897936, 8.640124357889425, 8.647530030994195]",50,,,,,8.647530030994195,,0.7492947339835465,,,,6.282142877578735,6.282142877578735,False,,0.0,0.0,,,6.4011757373809814,2026-08-12 20:16:03,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,False,False,False,True,5,False,True,False,False,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,36400101,364,"[(2, 6), (3, 5), (7, 8), (0, 5), (0, 2), (1, 7), (6, 9), (2, 8), (4, 5), (3, 7), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (6, 8), (5, 6), (5, 9), (2, 4), (3, 9), (4, 7), (7, 9), (0, 3), (1, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a8be9cca,12,24,1,50.0,False,False,"[1, 1, 1]",11.937506827050715,,,,,,,,"[4.214381086462269, 4.746822562054321, 5.346031587739134, 5.984038373105993, 6.55122531591206, 6.9074737280460585, 7.012457548288453, 7.039576379917562, 7.273525248898956, 7.596732913550204, 7.94524917767361, 8.248752607629728, 8.439607023852984, 8.490062251504243, 8.431260235635834, 8.324606479713683, 8.2222259544372, 8.152902716942034, 8.127482820166877, 8.146935577932865, 8.206495977195882, 8.295171971313863, 8.393369437270003, 8.475077835140345, 8.518562091589512, 8.519755639097342, 8.494694291190147, 8.466778359206883, 8.45284258664599, 8.459084700974833, 8.482871009912724, 8.514959112572422, 8.543995108466975, 8.562375764801093, 8.568454465200157, 8.564390590850486, 8.553895282657562, 8.54171918605697, 8.532948180214047, 8.53118051651142, 8.537099106642428, 8.548853209192522, 8.563510284634027, 8.577943548159565, 8.588933930116967, 8.593833126523467, 8.592081398170933, 8.585773797857442, 8.578310901101686, 8.572748331521764, 8.571123938232082]",50,,,,,8.571123938232082,,0.7179995004325093,,,,2.876014232635498,2.876014232635498,False,,0.0,0.0,,,2.980912208557129,2026-08-12 20:16:06,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,False,False,False,True,4,False,False,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,19900001,199,"[(3, 11), (2, 9), (7, 8), (0, 2), (9, 11), (5, 7), (3, 4), (2, 8), (3, 10), (4, 11), (0, 1), (9, 10), (1, 6), (0, 4), (1, 9), (6, 8), (5, 6), (2, 7), (4, 10), (0, 3), (10, 11), (1, 5), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a5604afa,9,18,3,50.0,False,False,"[1, 1, 1]",8.469001749928564,,,,,,,,"[4.489944486198428, 4.511426107690734, 4.524633647140262, 4.551889586071188, 4.600308337078488, 4.692589882228528, 4.867361024400539, 5.139355195393153, 5.407635120448207, 5.676131841903685, 5.968778452569668, 6.327626006354502, 6.683405070079461, 6.924418494207138, 7.064566722437812, 7.143662908835401, 7.163192398473518, 7.128543965572933, 7.118710467256693, 7.147829326515448, 7.192269272173379, 7.219736467039693, 7.2375163611727515, 7.2551566531977985, 7.2626737813654225, 7.259393560427135, 7.248686975261572, 7.235245826713916, 7.226759280186667, 7.22758985713023, 7.236625582103542, 7.247933272718152, 7.2502462225935425, 7.2399741949767735, 7.230141748415282, 7.229858116838528, 7.235850382893499, 7.246335585788269, 7.255814332915538, 7.257035783163528, 7.2538142806066075, 7.253191418800462, 7.255044186717109, 7.259804221906088, 7.266840301729028, 7.269372781990023, 7.267719015405647, 7.267320870817625, 7.267770070056413, 7.270005903243608, 7.272518467725662]",50,,,,,7.272518467725662,,0.8587220409757271,,,,9.808873176574707,9.808873176574707,False,,0.0,0.0,,,9.911383390426636,2026-08-12 20:16:07,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,False,False,False,True,4,True,True,False,True,adam,False,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,1,False,_Exp5_subexp4_standardWithHeuristic,1,,3700201,37,"[(2, 7), (0, 1), (1, 6), (0, 4), (5, 7), (3, 5), (0, 3), (4, 6), (1, 2), (5, 6), (3, 4), (6, 8), (1, 5), (2, 8), (3, 7), (7, 8), (4, 8), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
