run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,circuit_type,learning_rate_adam,compare_with_010101,init_QAOAparams_close_to_zero,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_max_retries,queue_poll_interval_seconds,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
e945e846,3,3,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.0372114336538334, 1.0419529900358597, 1.0466598340501794, 1.0513307893246229, 1.0559647495077553, 1.0605606899265154, 1.0651176884467886, 1.069634945286336, 1.0741118067184683, 1.078547786121713, 1.0829425839352842, 1.0872961066948292, 1.0916084710439984, 1.095880007449494, 1.1001112385950647, 1.1043028523205671, 1.1084556385869535, 1.1125704342349234, 1.116648038155542, 1.1206891419620508, 1.1246942618971922, 1.1286636987155545, 1.1325975135097759, 1.1364955279704971, 1.1403573468963841, 1.1441823932603203, 1.1479699494960973, 1.1517192016291262, 1.1554292867986433, 1.159099327944504, 1.1627284693507167, 1.166315903187955, 1.1698608883619817, 1.173362770413163, 1.176820984230948, 1.18023506190905, 1.1836046338819817, 1.1869294206781975, 1.1902092276150318, 1.1934439307659321, 1.1966334690914013, 1.1997778235781087, 1.2028770075400448, 1.2059310544078843, 1.2089400010889484, 1.2119038826914488, 1.2148227271678487, 1.2176965486051254, 1.2205253524642012, 1.2233091337788689, 1.226047887376816]",50,,,,,1.226047887376816,,0.8173652582512106,,,,1.6272664070129395,1.6272664070129395,False,,0.0,0.0,,,1.6374280452728271,2026-08-03 16:40:20,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,1,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
60411024,4,6,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.1310599262798697, 1.1375255173716012, 1.1439899105094553, 1.150452629123646, 1.1569131865422384, 1.1633710881900372, 1.169825828551888, 1.1762768950077687, 1.1827237659481, 1.189165912045882, 1.195602798666852, 1.202033883728572, 1.2084586206050627, 1.2148764561351306, 1.221286833985112, 1.2276891953044546, 1.234082977945676, 1.2404676194594204, 1.2468425567982888, 1.2532072271160477, 1.259561069355597, 1.2659035261423677, 1.272234044490275, 1.2785520716785164, 1.284857063303359, 1.2911484799600539, 1.2974257927663697, 1.3036884777012487, 1.3099360231309578, 1.3161679229352328, 1.3223836855673208, 1.3285828301843812, 1.3347648895784496, 1.3409294097397633, 1.3470759500457252, 1.3532040856850072, 1.3593134046652262, 1.3654035138425267, 1.3714740366526734, 1.3775246142590332, 1.3835549058977463, 1.389564588268602, 1.395553358131848, 1.4015209313892547, 1.4074670431136198, 1.4133914462204304, 1.419293917562179, 1.4251742540718695, 1.431032271793081, 1.4368678086642306, 1.442680724021844]",50,,,,,1.442680724021844,,0.480893574673948,,,,1.1511814594268799,1.1511814594268799,False,,0.0,0.0,,,1.1572818756103516,2026-08-03 16:40:20,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,False,True,False,True,3,True,False,True,False,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,2,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5af0ab7c,5,10,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.5749194908238315, 1.5879702179667876, 1.6010830958449551, 1.6142568312331973, 1.627490056891444, 1.6407813370242834, 1.6541291422747755, 1.6675318607399439, 1.6809877902024575, 1.694495125542906, 1.7080519563630587, 1.7216562726419096, 1.7353059457048685, 1.7489987524007833, 1.7627323507939479, 1.7765042867824594, 1.7903119951765434, 1.804152799478865, 1.81802390827525, 1.8319224289073732, 1.8458453640515045, 1.8597896025142944, 1.873751947698092, 1.8877291012704214, 1.9017176723331928, 1.9157141951028147, 1.9297151292831511, 1.943716856266522, 1.9577156803249554, 1.9717078568123398, 1.9856895921114506, 1.9996570284075421, 2.0136062881164527, 2.0275334516091195, 2.041434587351743, 2.0553057415444838, 2.069142948093993, 2.0829422449408628, 2.0966996787218957, 2.1104113125879223, 2.1240732318295317, 2.1376815416642394, 2.151232391900265, 2.164721973034277, 2.178146518057652, 2.1915023383389567, 2.2047858056353036, 2.217993340977577, 2.231121468043958, 2.244166770141561, 2.2571259293455284]",50,,,,,2.2571259293455284,,0.5642814823363821,,,,2.7617228031158447,2.7617228031158447,False,,0.0,0.0,,,2.7677035331726074,2026-08-03 16:40:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,4,True,False,False,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,3,"[(1, 3), (0, 1), (2, 3), (0, 4), (0, 3), (1, 2), (3, 4), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
474bfbfc,3,3,3,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.24659845630908722, 0.25027452604411704, 0.2539806020285337, 0.25771706108933007, 0.261484352231812, 0.26528303745555526, 0.2691138015576596, 0.2729773779076157, 0.27687441215166836, 0.2808053744819694, 0.28477057327385263, 0.28877021590691365, 0.29280446429086676, 0.29687346979899065, 0.3009773953920314, 0.3051164290337885, 0.30929078788902337, 0.3135007095148954, 0.3177464262344937, 0.32202813602104796, 0.3263459691982702, 0.33069998177952004, 0.335090158566375, 0.3395164285551501, 0.3439786796413798, 0.348476777424454, 0.3530105709774619, 0.3575798954250191, 0.36218456812125965, 0.36682437224841724, 0.3714990448215591, 0.3762082644470949, 0.38095164921857894, 0.38572876144202134, 0.39053911971068317, 0.39538221316500005, 0.40025750560799894, 0.4051644351975443, 0.41010240908525614, 0.4150707929612001, 0.42006890298708033, 0.4250960048492937, 0.43015131976797166, 0.4352340325028058, 0.44034330311334585, 0.44547827042059895, 0.4506380518436761, 0.45582173964298117, 0.4610284000543782, 0.4662570655148716, 0.4715067416443605]",50,,,,,0.4715067416443605,,0.31433782776290703,,,,2.7908599376678467,2.7908599376678467,False,,0.0,0.0,,,2.7986464500427246,2026-08-03 16:40:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,1,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
2ddbd711,4,6,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.0429214583192391, 0.04471998063100566, 0.04656411750902259, 0.048454840675350025, 0.050393149943138676, 0.05238007329180988, 0.05441666001639933, 0.05650398295141387, 0.05864312942933167, 0.06083520407515311, 0.063081321616793, 0.06538260318845965, 0.06774017706238686, 0.07015517348230396, 0.07262872175798704, 0.07516194703064186, 0.07775596805514925, 0.08041189302277132, 0.08313082072564637, 0.08591383826347071, 0.08876201550905646, 0.09167640920103787, 0.09465805739664507, 0.0977079802881824, 0.10082718459801931, 0.10401665932376972, 0.10727738065379855, 0.1106103076612584, 0.11401638984261528, 0.11749656830955979, 0.12105177778101922, 0.1246829475001196, 0.12839100304460632, 0.13217686585622118, 0.13604145231029796, 0.13998567318758665, 0.1440104272814302, 0.14811659518288686, 0.15230502887212166, 0.15657654305728558, 0.1609319046890285, 0.16537181793698824, 0.16989691541999014, 0.1745077495706225, 0.17920478524581746, 0.18398839529754615, 0.18885885851033896, 0.19381635977939907, 0.19886099227902282, 0.20399276135608768, 0.20921158552234104]",50,,,,,0.20921158552234104,,0.06973719517411368,,,,2.259822130203247,2.259822130203247,False,,0.0,0.0,,,2.270443916320801,2026-08-03 16:40:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,True,False,True,3,True,False,True,False,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,2,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
baf16afb,6,15,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[3.937748744001229, 3.947514382745982, 3.9572630883276085, 3.9669934377023264, 3.9767040311510273, 3.986393495829747, 3.996060496012936, 4.0057037332605985, 4.015321953364851, 4.024913940187156, 4.034478540511135, 4.044014650660187, 4.053521222854062, 4.062997264439864, 4.072441882696506, 4.08185422347586, 4.091233530970255, 4.100579112017041, 4.10989036305228, 4.11916676447723, 4.128407871950546, 4.137613333623087, 4.146782870972843, 4.1559162923384605, 4.165013493098563, 4.174074434666603, 4.183099146015008, 4.192087738913415, 4.201040372316929, 4.209957278864608, 4.218838719540911, 4.227684994399455, 4.236496436726818, 4.2452733916455765, 4.254016209973984, 4.262725244294645, 4.271400811048518, 4.2800432364654375, 4.288652777901871, 4.297229655475777, 4.305774056475288, 4.31428607720352, 4.322765757559252, 4.33121308079516, 4.339627931849389, 4.348010110216583, 4.356359367398362, 4.364675367630589, 4.372957699076856, 4.381205878188669, 4.389419357141282]",50,,,,,4.389419357141282,,0.7315698928568803,,,,1.588977336883545,1.588977336883545,False,,0.0,0.0,,,1.5958852767944336,2026-08-03 16:40:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,False,False,False,True,5,True,False,False,False,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,4,"[(1, 3), (0, 1), (2, 3), (0, 4), (3, 5), (0, 3), (1, 2), (3, 4), (1, 5), (4, 5), (2, 5), (0, 5), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5e1b1441,2,1,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.0816681711721685e-17, 2.7755575615628914e-17, -6.938893903907228e-18, -6.938893903907228e-18, 0.0, 0.0, -3.469446951953614e-17, 2.7755575615628914e-17, -2.7755575615628914e-17, -3.469446951953614e-17, 3.469446951953614e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, 6.938893903907228e-18, 1.3877787807814457e-17, -3.469446951953614e-17, 0.0, 2.7755575615628914e-17, -6.938893903907228e-18, -6.938893903907228e-18, -6.938893903907228e-18, 3.469446951953614e-17, 2.7755575615628914e-17, 3.469446951953614e-17, 0.0, 1.3877787807814457e-17, -2.7755575615628914e-17, -4.163336342344337e-17, 2.0816681711721685e-17, -2.0816681711721685e-17, -2.0816681711721685e-17, -2.0816681711721685e-17, 3.469446951953614e-17, -1.3877787807814457e-17, 1.3877787807814457e-17, -2.7755575615628914e-17, 0.0, -4.163336342344337e-17, -3.469446951953614e-17, 0.0, 4.163336342344337e-17, 1.3877787807814457e-17, -3.469446951953614e-17, -6.938893903907228e-18, -1.3877787807814457e-17, -6.938893903907228e-18, 2.0816681711721685e-17, -1.3877787807814457e-17, -3.469446951953614e-17, -6.938893903907228e-18, -2.7755575615628914e-17]",50,,,,,-2.7755575615628914e-17,,-2.7755575615628914e-17,,,,0.8101341724395752,0.8101341724395752,False,,0.0,0.0,,,0.8206217288970947,2026-08-03 16:40:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,True,1,True,False,True,False,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,0,"[(0, 1)]",[1.0]
bd8d85f5,10,45,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[3.1777464588838096, 3.2039433817134655, 3.2302400902820816, 3.2566363236856573, 3.283131893560511, 3.309726386524083, 3.3364194813692376, 3.363210635158909, 3.3900992308286573, 3.417084624236569, 3.4441660050962706, 3.471342562895061, 3.4986133071146535, 3.5259772018611173, 3.5534331035516438, 3.580979676565921, 3.608615509438936, 3.6363391041343545, 3.6641488841935175, 3.69204309744542, 3.720019901786778, 3.748077392002448, 3.7762135111615005, 3.804426146145423, 3.832713096515252, 3.8610720881386413, 3.889500557419614, 3.917996059967819, 3.9465560243852646, 3.9751778709495547, 4.003858844072197, 4.0325961743215135, 4.0613869255719255, 4.090228227619115, 4.1191170597616, 4.14805037847001, 4.177025281146393, 4.206038666711967, 4.235087444791913, 4.264168466216545, 4.293278593199702, 4.3224146364367, 4.3515734191257085, 4.380751849827209, 4.409946819744661, 4.439155091332457, 4.4683736944615555, 4.497599456095836, 4.526829269178586, 4.5560601167402695, 4.585289012398833]",50,,,,,4.585289012398833,,0.3056859341599222,,,,3.3495423793792725,3.3495423793792725,False,,0.0,0.0,,,3.3579442501068115,2026-08-03 16:40:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,False,False,False,True,9,True,False,False,False,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,8,"[(2, 3), (3, 8), (2, 6), (3, 5), (2, 9), (4, 6), (4, 9), (7, 8), (0, 5), (1, 4), (0, 2), (0, 8), (1, 7), (6, 9), (5, 7), (3, 4), (2, 8), (4, 5), (3, 7), (2, 5), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (1, 9), (0, 7), (6, 8), (5, 6), (5, 9), (3, 6), (2, 4), (3, 9), (2, 7), (4, 7), (7, 9), (0, 3), (1, 2), (1, 8), (0, 6), (1, 5), (0, 9), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
b4ab4619,7,21,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.5459124438092453, 2.5591416607451545, 2.5723784529357023, 2.585622203269465, 2.5988722760443883, 2.6121280346026414, 2.6253888061784463, 2.6386538988612434, 2.651922602545037, 2.6651941922986673, 2.6784679336164263, 2.6917430593239593, 2.7050187825513934, 2.7182943070406123, 2.7315688162681417, 2.7448414807167256, 2.7581114540274134, 2.7713778751857947, 2.7846398639996597, 2.7978965355915064, 2.811146978072251, 2.8243902785037887, 2.8376255043094267, 2.850851723050468, 2.864068003448265, 2.877273381913241, 2.8904669037830186, 2.9036475963284394, 2.91681451845851, 2.929966686035385, 2.9431031192561927, 2.9562228451360877, 2.9693249074568633, 2.9824083319280983, 2.9954721497569907, 3.008515392851925, 3.0215370823453678, 3.0345362907879494, 3.0475120522265793, 3.0604634240725574, 3.0733894594284905, 3.0862892360826026, 3.099161823539878, 3.1120063010208683, 3.1248217946588106, 3.1376074075104183, 3.1503622772082447, 3.1630855364187553, 3.175776338433576, 3.1884338447013096, 3.20105723083574]",50,,,,,3.20105723083574,,0.42680763077809863,,,,1.900956153869629,1.900956153869629,False,,0.0,0.0,,,1.9202756881713867,2026-08-03 16:40:22,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,False,False,False,True,6,True,False,False,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,5,"[(2, 3), (2, 6), (3, 5), (4, 6), (0, 5), (1, 4), (0, 2), (3, 4), (4, 5), (2, 5), (1, 3), (0, 1), (1, 6), (0, 4), (5, 6), (3, 6), (2, 4), (0, 3), (1, 2), (0, 6), (1, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
c5aae0af,2,1,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.3877787807814457e-17, 0.0, -6.938893903907228e-18, 0.0, 1.3877787807814457e-17, 0.0, 4.163336342344337e-17, 1.3877787807814457e-17, 1.3877787807814457e-17, -2.7755575615628914e-17, -6.938893903907228e-18, 1.3877787807814457e-17, -3.469446951953614e-17, 2.7755575615628914e-17, -1.3877787807814457e-17, 0.0, -2.7755575615628914e-17, 0.0, 1.3877787807814457e-17, -4.163336342344337e-17, -1.3877787807814457e-17, -2.7755575615628914e-17, -2.7755575615628914e-17, -1.3877787807814457e-17, 2.0816681711721685e-17, 1.3877787807814457e-17, 6.245004513516506e-17, 1.3877787807814457e-17, -2.7755575615628914e-17, 3.469446951953614e-17, 1.3877787807814457e-17, 6.938893903907228e-18, 2.7755575615628914e-17, -5.551115123125783e-17, -2.7755575615628914e-17, -3.469446951953614e-17, 1.3877787807814457e-17, -2.7755575615628914e-17, 1.3877787807814457e-17, 2.7755575615628914e-17, -2.7755575615628914e-17, -1.3877787807814457e-17, 0.0, -6.938893903907228e-18, 1.3877787807814457e-17, -2.7755575615628914e-17, -2.7755575615628914e-17, -2.0816681711721685e-17, 6.938893903907228e-18, -2.7755575615628914e-17, 1.3877787807814457e-17]",50,,,,,1.3877787807814457e-17,,1.3877787807814457e-17,,,,1.3739254474639893,1.3739254474639893,False,,0.0,0.0,,,1.382117748260498,2026-08-03 16:40:22,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,True,1,True,False,True,False,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,32,1,1,0,0,0,5,False,_Exp5_subexp1_zeroAngles,1,,0,"[(0, 1)]",[1.0]
