run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_end,warm_start_mode,lasserre_level,initial_solver_level_M,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
0b10603c,8,18,1,50.0,False,True,"[1, 1, 1]",,17.451615034743202,8.725807517371601,6.004040916402253,5.318785487039657,5.775839950599862,5.3908332604721325,,,0.9482093813990655,0.1781960011436059,5.864937951171665,,,,,,198.87444925308228,7756.055280685425,True,7557.1866619586945,0.0058155059814453125,0.0,7557.1866619586945,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000009_536745fd3fad_noseed_L2_M2_standard.npz,198.98200964927673,2026-06-26 11:30:24,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,False,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,9,"[(1, 3), (2, 7), (2, 3), (0, 4), (4, 7), (5, 7), (3, 5), (4, 6), (1, 2), (5, 6), (0, 6), (1, 5), (3, 7), (0, 5), (1, 4), (0, 2), (6, 7), (1, 7)]",
67bcf59e,8,19,1,50.0,False,True,"[1, 1, 1]",,17.343464472444335,8.671732236222168,6.594873676819552,5.403744356765021,6.251304580107348,5.359063998605464,,,1.3281364940569986,-0.4563446689467696,6.023132245633963,,,,,,209.1764953136444,6907.839697360992,True,6698.668975830078,0.005758762359619141,0.0,6698.668975830078,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000011_5c9361db95ac_noseed_L2_M2_standard.npz,209.23064613342285,2026-06-26 11:33:40,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,False,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,11,"[(3, 5), (0, 5), (1, 4), (0, 2), (5, 7), (4, 5), (2, 5), (1, 3), (1, 6), (0, 4), (0, 7), (3, 6), (2, 4), (2, 7), (4, 7), (0, 3), (1, 2), (0, 6), (1, 5)]",
1d15bbcb,8,8,1,50.0,False,True,"[1, 1, 1]",,11.304453921222164,5.652226960611082,3.30029192865229,3.2975040340958537,2.9828620131317107,2.2413789150898897,0.39663403204563613,,0.40541225191389874,-1.0775539441697433,2.444085041046839,,0.43250487365896995,,,,190.13275742530823,6184.913471698761,True,5994.787521600723,0.006791353225708008,0.0,5994.787521600723,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000014_bb38dd1003c3_noseed_L2_M2_standard.npz,190.28513503074646,2026-06-26 11:33:43,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,14,"[(1, 3), (2, 3), (2, 6), (0, 7), (4, 6), (4, 5), (0, 5), (1, 7)]",
ed15539d,8,20,1,50.0,False,True,"[1, 1, 1]",,18.963818998719727,9.481909499359864,6.683546326431881,5.94282407227993,6.3671703882616155,5.2442103879061825,,,0.7105228983972616,-1.5353971023136044,5.599471837104813,,,,,,213.093585729599,7512.768923282623,True,7299.679443836212,0.004090309143066406,0.0,7299.679443836212,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000012_0834886e5235_noseed_L2_M2_standard.npz,213.14644050598145,2026-06-26 11:33:44,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,12,"[(2, 6), (4, 6), (1, 4), (0, 2), (1, 7), (5, 7), (3, 4), (4, 5), (3, 7), (0, 1), (1, 6), (0, 7), (5, 6), (3, 6), (2, 4), (2, 7), (0, 3), (1, 2), (1, 5), (6, 7)]",
d391040d,8,18,1,50.0,False,True,"[1, 1, 1]",,16.851609888781134,8.425804944390567,5.749477369509847,5.127091502758207,5.588345942418262,4.9766022212827234,,,0.9520702060097967,-0.27141723626128034,5.452637324287622,,,,,,208.8484194278717,7681.244565010071,True,7472.403729438782,0.007569074630737305,0.0,7472.403729438782,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000013_013e34e644f3_noseed_L2_M2_standard.npz,208.9462375640869,2026-06-26 11:33:45,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,False,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,13,"[(1, 6), (0, 4), (2, 6), (5, 7), (3, 5), (0, 3), (4, 6), (1, 2), (5, 6), (3, 4), (1, 5), (6, 7), (2, 5), (0, 5), (0, 2), (3, 6), (2, 4), (1, 7)]",
f569652c,8,7,3,50.0,False,True,"[1, 1, 1]",,9.461654040290211,4.730827020145106,3.1531920538625418,2.7975580345799576,2.8898379808658086,2.5346634869972626,,,1.7669844749624612,1.0566354872253694,3.4181557244784933,,,,,,458.87337613105774,8044.037007331848,True,7585.167821884155,0.0041768550872802734,0.0,7585.167821884155,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000001_810a3cb40cc8_noseed_L2_M2_standard.npz,458.9185230731964,2026-06-26 11:34:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.27,True,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,1,"[(1, 6), (0, 4), (2, 6), (0, 7), (5, 6), (1, 4), (3, 6)]",
d3cca987,8,8,3,50.0,False,True,"[1, 1, 1]",,11.035447801863985,5.517723900931992,3.9061525703326296,3.27921085175488,3.6081674730260116,3.3710053738569212,,,1.8217749723883694,1.3474507740501886,4.281892860051106,,,,,,472.44245076179504,7423.486599206924,True,6951.045722723007,0.0015599727630615234,0.0,6951.045722723007,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000002_52fcb3353709_noseed_L2_M2_standard.npz,472.5052273273468,2026-06-26 11:34:56,x86_64,dacsgpu0003,,64,64,3.11.15,0.27,True,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,2,"[(1, 3), (4, 7), (0, 3), (1, 5), (3, 7), (0, 5), (0, 2), (3, 6)]",
faeec872,8,9,3,50.0,False,True,"[1, 1, 1]",,11.556424065465588,5.778212032732794,3.3401531427313564,3.468333191040411,3.1874999334671976,2.537826161740293,,,3.0280859835703975,1.7287384401165884,4.051869153525492,,,,,,484.71500539779663,6503.859573602676,True,6019.146387338638,0.0018057823181152344,0.0,6019.146387338638,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000004_599da97b41f5_noseed_L2_M2_standard.npz,484.75612926483154,2026-06-26 11:35:07,x86_64,dacsgpu0003,,64,64,3.11.15,0.26,False,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,4,"[(1, 3), (2, 6), (0, 7), (1, 2), (1, 5), (3, 7), (3, 6), (2, 4), (1, 7)]",
32a72071,8,10,3,50.0,False,True,"[1, 1, 1]",,12.210260346740933,6.105130173370466,3.663926563080446,3.723921649026031,3.2838002142600473,3.246590828771985,,,2.1808935765689386,2.106474805592814,4.337037617056454,,,,,,487.2043364048004,7278.504212617874,True,6791.304798841476,0.0049076080322265625,0.0,6791.304798841476,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000005_9c9705ee9f60_noseed_L2_M2_standard.npz,487.26051235198975,2026-06-26 11:35:10,x86_64,dacsgpu0003,,64,64,3.11.15,0.27,False,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,5,"[(0, 1), (2, 3), (0, 4), (2, 6), (5, 7), (3, 5), (4, 6), (0, 6), (3, 4), (4, 5)]",
1a685cad,8,10,3,50.0,False,True,"[1, 1, 1]",,11.526204570912558,5.763102285456279,3.5711848556091677,3.5551414959269687,3.2568224936588717,3.2318707729684273,,,1.2273653543350038,1.177461912954115,3.845553450135929,,,,,,492.04771280288696,7973.77707529068,True,7481.731833696365,0.0024573802947998047,0.0,7481.731833696365,Results/warm_start_cache/fast_test/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList__filehash_a0cb3063/hog_idx000006_457a66056d87_noseed_L2_M2_standard.npz,492.2019166946411,2026-06-26 11:35:16,x86_64,dacsgpu0003,,64,64,3.11.15,0.26,False,False,adam,True,2,1000,hamqaoa,0.05,78,standard,2,2,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/random_graphs_8to15vertices_1094instances_20260625_144734_AdjacencyList.txt,True,Results/warm_start_cache/fast_test,512,60,0,32,1,1,40,40,5,3,5,1,,6,"[(1, 3), (0, 1), (2, 3), (0, 4), (3, 5), (1, 2), (5, 6), (3, 7), (0, 5), (3, 6)]",
