run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
d2c7a3af,8,13,3,50.0,False,True,"[1, 1, 1]",8.269903533154938,16.541190676051578,8.270595338025789,4.279226143647442,4.831023349825927,4.076521881041261,4.234827962585033,0.5120770690500983,,3.8947035806233963,4.211315743710941,6.182179752896731,,0.7475516163050395,,,,893.4465095996857,8223.885944366455,True,7330.440673828125,0.001226663589477539,0.0,7330.440673828125,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000106_b417dc0a3a99_seed6000042_L2_M2_standard.npz,893.4558312892914,2026-06-23 04:47:49,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.28,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,6000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,7,6000042,106,"[(2, 7), (2, 3), (1, 6), (0, 4), (5, 7), (0, 7), (3, 5), (4, 6), (1, 5), (4, 5), (6, 7), (3, 6), (2, 4)]",
12ebae1a,8,13,3,50.0,False,True,"[1, 1, 1]",8.269903533154938,16.541190676051578,8.270595338025789,4.136869444227633,4.831023349825927,3.905638507724097,3.98075444229056,0.48135439867361024,,3.0265384827867194,3.176770351919645,5.49402368368392,,0.6643395127473717,,,,895.0587456226349,8409.399385213852,True,7514.343824148178,0.0012660026550292969,0.0,7514.343824148178,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000106_b417dc0a3a99_seed5000042_L2_M2_standard.npz,895.0703125,2026-06-23 04:47:50,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.28,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,5000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,6,5000042,106,"[(2, 7), (2, 3), (1, 6), (0, 4), (5, 7), (0, 7), (3, 5), (4, 6), (1, 5), (4, 5), (6, 7), (3, 6), (2, 4)]",
83d5c94a,8,13,3,50.0,False,True,"[1, 1, 1]",8.269903533154938,16.541190676051578,8.270595338025789,3.9879711294624816,4.831023349825927,3.719695695836687,3.528699810121425,0.42669177409077214,,3.513060916034026,3.1310691446035017,5.285230268138438,,0.6390921305126932,,,,895.6469106674194,8627.872197151184,True,7732.227262973785,0.0019638538360595703,0.0,7732.227262973785,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000106_b417dc0a3a99_seed4000042_L2_M2_standard.npz,895.6584594249725,2026-06-23 04:47:51,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.28,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,4000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,5,4000042,106,"[(2, 7), (2, 3), (1, 6), (0, 4), (5, 7), (0, 7), (3, 5), (4, 6), (1, 5), (4, 5), (6, 7), (3, 6), (2, 4)]",
215a4008,8,13,3,50.0,False,True,"[1, 1, 1]",8.269903533154938,16.541190676051578,8.270595338025789,3.851798531097869,4.831023349825927,3.6773226747212906,5.108937640853993,0.6177747564251154,,1.406728216394784,4.269958148660189,5.812301749051385,,0.7028258220605885,,,,895.7979421615601,8548.74010682106,True,7652.943956851959,0.0017778873443603516,0.0,7652.943956851959,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000106_b417dc0a3a99_seed2000042_L2_M2_standard.npz,895.8178133964539,2026-06-23 04:47:51,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.28,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,2000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,3,2000042,106,"[(2, 7), (2, 3), (1, 6), (0, 4), (5, 7), (0, 7), (3, 5), (4, 6), (1, 5), (4, 5), (6, 7), (3, 6), (2, 4)]",
6e201905,8,13,3,50.0,False,True,"[1, 1, 1]",8.269903533154938,16.541190676051578,8.270595338025789,5.508943355658907,4.831023349825927,5.172207684433369,3.6580813810006423,0.4423366447184055,,1.998540960506312,-1.0297116463591411,4.657351861253798,,0.5631688256800059,,,,897.8133723735809,8426.222777366638,True,7528.412470340729,0.0030508041381835938,0.0,7528.412470340729,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000106_b417dc0a3a99_seed3000042_L2_M2_standard.npz,897.8259837627411,2026-06-23 04:47:53,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.28,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,3000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,4,3000042,106,"[(2, 7), (2, 3), (1, 6), (0, 4), (5, 7), (0, 7), (3, 5), (4, 6), (1, 5), (4, 5), (6, 7), (3, 6), (2, 4)]",
18eabbd3,8,13,3,50.0,False,True,"[1, 1, 1]",8.269903533154938,16.541190676051578,8.270595338025789,4.9023664687938355,4.831023349825927,4.611403985711705,3.4350613501541067,0.41536897454517746,,3.3744155801949507,1.0217303090797536,5.122269140251582,,0.6193868065952464,,,,898.1737954616547,8248.703894138336,True,7350.5323803424835,0.0022690296173095703,0.0,7350.5323803424835,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000106_b417dc0a3a99_seed1000042_L2_M2_standard.npz,898.1847569942474,2026-06-23 04:47:53,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.28,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,1000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,2,1000042,106,"[(2, 7), (2, 3), (1, 6), (0, 4), (5, 7), (0, 7), (3, 5), (4, 6), (1, 5), (4, 5), (6, 7), (3, 6), (2, 4)]",
934e538a,7,9,1,50.0,False,True,"[1, 1, 1]",5.592091266863661,11.312869251543464,5.656434625771732,3.3478650252687516,3.307993007168903,3.227711088797258,3.3009742922206087,0.5902933508579821,,0.6654980427795971,0.812024449626298,3.6337233136104072,,0.6497968542005558,,,,137.7448718547821,2009.0172719955444,True,1871.2781584262848,0.005746603012084961,0.0,1871.2781584262848,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000107_c0fb8ed562bc_seed1000042_L2_M2_standard.npz,137.76116609573364,2026-06-23 04:50:11,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,1000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,2,1000042,107,"[(1, 6), (2, 6), (0, 3), (3, 4), (4, 5), (2, 5), (0, 5), (1, 4), (3, 6)]",
cfa9fe38,7,9,1,50.0,False,True,"[1, 1, 1]",5.592091266863661,11.312869251543464,5.656434625771732,4.221651801271009,3.307993007168903,3.9418571136233513,3.988225053346694,0.7131902651480687,,0.15898637418390216,0.25172225363058764,4.067718240438645,,0.7274055530070123,,,,137.82907271385193,2246.449584007263,True,2108.625564098358,0.005041837692260742,0.0,2108.625564098358,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000107_c0fb8ed562bc_seed2000042_L2_M2_standard.npz,137.83785963058472,2026-06-23 04:50:14,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,2000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,3,2000042,107,"[(1, 6), (2, 6), (0, 3), (3, 4), (4, 5), (2, 5), (0, 5), (1, 4), (3, 6)]",
5603973d,7,9,1,50.0,False,True,"[1, 1, 1]",5.592091266863661,11.312869251543464,5.656434625771732,2.9141960935329934,3.307993007168903,2.774812224915719,2.985022961865094,0.5337936774303135,,1.4895905210804488,1.9100119949791985,3.7298182224053185,,0.6669809279592099,,,,139.25806498527527,2169.9020450115204,True,2030.6488287448883,0.0048372745513916016,0.0,2030.6488287448883,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000107_c0fb8ed562bc_seed3000042_L2_M2_standard.npz,139.2712426185608,2026-06-23 04:50:16,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,3000042,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,4,3000042,107,"[(1, 6), (2, 6), (0, 3), (3, 4), (4, 5), (2, 5), (0, 5), (1, 4), (3, 6)]",
fa216039,7,9,3,50.0,False,True,"[1, 1, 1]",5.592091266863661,11.312869251543464,5.656434625771732,4.038934949926724,3.307993007168903,3.78440926992148,3.575055379174065,0.639305620843192,,1.7146785661747534,1.2959707846799233,4.432394662261442,,0.7926184410697864,,,,683.226259469986,2809.039570093155,True,2125.8206832408905,0.007360935211181641,0.0,2125.8206832408905,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000107_c0fb8ed562bc_seed42_L2_M2_standard.npz,683.2386121749878,2026-06-23 04:51:22,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.25,True,False,adam,True,2,1000,hamqaoa,0.05,101,130,standard,2,2,42,False,False,False,10800,hog,False,True,False,False,True,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,21,1,1,1,1,5,3,5,1,42,107,"[(1, 6), (2, 6), (0, 3), (3, 4), (4, 5), (2, 5), (0, 5), (1, 4), (3, 6)]",
