run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,sdp_threads,qaoa_max_parallel,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
7a2cc455,8,8,1,50.0,False,False,"[1, 1, 1]",5.467166254526778,,,,,,,,,,,3.999994851579396,,0.7316395122002054,,,,69.45759510993958,69.45759510993958,False,,0.0,0.0,,,69.46637749671936,2026-06-22 22:43:22,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,1,,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
1336238c,8,8,1,50.0,False,False,"[1, 1, 1]",5.467166254526778,,,,,,,,,,,4.761946626275993,,0.8710081977721332,,,,72.29950404167175,72.29950404167175,False,,0.0,0.0,,,72.31173539161682,2026-06-22 22:44:12,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,2,,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
4487a9ae,8,8,1,50.0,False,False,"[1, 1, 1]",5.467166254526778,,,,,,,,,,,3.99999989379875,,0.7316404344731197,,,,72.0732810497284,72.0732810497284,False,,0.0,0.0,,,72.09153461456299,2026-06-22 22:44:12,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,4,,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
08b5d455,8,8,1,50.0,False,False,"[1, 1, 1]",5.467166254526778,,,,,,,,,,,5.777137158004388,,1.056696813128914,,,,72.41837215423584,72.41837215423584,False,,0.0,0.0,,,72.43733406066895,2026-06-22 22:44:17,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,3,,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
70eb1fcf,8,8,1,50.0,False,False,"[1, 1, 1]",5.467166254526778,,,,,,,,,,,5.777194011556377,,1.05670721221856,,,,72.72800326347351,72.72800326347351,False,,0.0,0.0,,,72.73806571960449,2026-06-22 22:44:40,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,5,,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
57b604cd,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,5.385586948917402,,1.8866096342736414,,,,163.8194227218628,163.8194227218628,False,,0.0,0.0,,,163.82574272155762,2026-06-22 22:44:53,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,4,,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
181d525a,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,5.3691369873468435,,1.8808470950598448,,,,164.39674711227417,164.39674711227417,False,,0.0,0.0,,,164.40214014053345,2026-06-22 22:44:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,2,,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
c28ad59a,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,4.810553337248632,,1.6851712465741266,,,,164.4416742324829,164.4416742324829,False,,0.0,0.0,,,164.45081496238708,2026-06-22 22:44:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,1,,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
3692d642,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,4.214324596467615,,1.476308053526167,,,,163.93669033050537,163.93669033050537,False,,0.0,0.0,,,163.94187569618225,2026-06-22 22:44:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,5,,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
2ff0472d,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,5.394785660896307,,1.8898320088833018,,,,163.598295211792,163.598295211792,False,,0.0,0.0,,,163.60549068450928,2026-06-22 22:44:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,,False,False,False,10800,hog,False,True,False,False,True,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,1,32,1,40,40,5,3,5,8,,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
