run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_end,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
87f58cae,8,8,1,50.0,False,True,"[1, 1, 1]",5.467166254526778,10.94347269163768,5.47173634581884,3.5722907750781636,3.256549020609683,3.346280938326409,2.798293318047335,0.5118361483392546,,0.6934617678708941,-0.40251347268725457,3.145024201982782,,0.5752567336650357,,,,117.51255798339844,3458.554761648178,True,3341.050290584564,0.008073806762695312,0.0,3341.050290584564,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed42_L2_M1_standard.npz,117.52548027038574,2026-06-23 18:46:05,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,42,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,1,42,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
8fd56de9,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.8070160215249813,1.6961746584414974,1.5468447335854674,1.1927195303338818,0.41781818365527695,,2.1309419112729207,1.4226915047697495,2.258190485970342,,0.79106028131495,,,,171.68614196777344,211.58331179618835,True,39.901477575302124,0.004294157028198242,0.0,39.901477575302124,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed1000042_L2_M1_standard.npz,171.69579005241394,2026-06-23 18:46:05,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,1000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
51ec2a85,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.717717810381908,1.6961746584414974,1.5457427618664499,1.1023444476488482,0.3861591456879974,,2.474372929476771,1.5875763010415676,2.3395309123872337,,0.81955441456163,,,,171.90470838546753,212.7789750099182,True,40.87853002548218,0.004250764846801758,0.0,40.87853002548218,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed3000042_L2_M1_standard.npz,171.911381483078,2026-06-23 18:46:05,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,3000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,4,3000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
50bca409,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,2.600689656014004,2.1996120008219076,2.2882445202862662,,0.8015884245288685,,,,172.1288435459137,210.62397503852844,True,38.49927997589111,0.004138469696044922,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,172.13528299331665,2026-06-23 18:46:06,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,42,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
7b26174c,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.3590266069287122,1.6961746584414974,1.2784213818317025,0.9315923534697362,0.32634346561333644,,2.686053239994579,1.9923951832706468,2.274618973467026,,0.7968152980070522,,,,171.8506247997284,209.6047329902649,True,37.755406618118286,0.001287221908569336,0.0,37.755406618118286,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed5000042_L2_M1_standard.npz,171.85656881332397,2026-06-23 18:46:06,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,5000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,6,5000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
c380f6a3,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.838906126702245,1.6961746584414974,1.5596814637095846,1.3073443788065746,0.4579720880498962,,2.0539058635749177,1.5492316937688977,2.3342973105940334,,0.8177210464146376,,,,172.20686554908752,201.98938488960266,True,29.783693552017212,0.0011606216430664062,0.0,29.783693552017212,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed4000042_L2_M1_standard.npz,172.21386909484863,2026-06-23 18:46:06,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,4000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,5,4000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
30745f5c,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.8747881509752111,1.6961746584414974,1.698500482055282,1.1301158885507623,0.39588768010034114,,1.542590415233926,0.40582122822488653,1.9014110961677253,,0.6660779088277332,,,,171.5959448814392,212.00503611564636,True,40.41036677360535,0.0012655258178710938,0.0,40.41036677360535,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed6000042_L2_M1_standard.npz,171.60257649421692,2026-06-23 18:46:06,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,6000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,7,6000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
6bdd1897,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.7242406860775965,1.6961746584414974,1.6393034362919907,0.8385311816958121,0.2937434714231447,,2.7894978474607917,1.1879533382684344,2.233280105426208,,0.7823339968126761,,,,172.31877279281616,210.115385055542,True,37.79791021347046,0.001285552978515625,0.0,37.79791021347046,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed7000042_L2_M1_standard.npz,172.3236367702484,2026-06-23 18:46:07,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,7000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,8,7000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
7542d6a9,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.867505481189661,1.6961746584414974,1.677404660467622,1.0128861955185757,0.3548212800226443,,2.7399244331034835,1.410887503205391,2.3828484120703175,,0.8347288445745331,,,,171.86497282981873,198.36937022209167,True,26.50558114051819,0.0011715888977050781,0.0,26.50558114051819,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed8000042_L2_M1_standard.npz,171.87244820594788,2026-06-23 18:46:07,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,8000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,9,8000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
c44ca7c3,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,2.0318105909535618,1.6961746584414974,1.7691852408298314,1.0303331407915477,0.36093306975936934,,1.5403417499411693,0.0626375498646019,1.8005040157621324,,0.6307294367177648,,,,171.61439871788025,213.59471154212952,True,41.98161602020264,0.0012905597686767578,0.0,41.98161602020264,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed2000042_L2_M1_standard.npz,171.62482476234436,2026-06-23 18:46:10,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,60,standard,2,1,2000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,26,1,1,40,40,5,3,5,3,2000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
