run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
04517603,5,4,1,5.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,0.0,-0.4010776551920965,0.9878996922792642,,0.3460683291957023,,,,0.07892847061157227,38.57438659667969,True,38.49927997589111,0.003813028335571289,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,0.08342719078063965,2026-07-19 14:32:10,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]","[1.0, 1.0, 1.0, 1.0]"
8bd93ddc,5,4,1,10.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,0.0,-0.4010776551920965,0.9878996922792642,,0.3460683291957023,,,,0.14585280418395996,38.64426565170288,True,38.49927997589111,0.0008592605590820312,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,0.15022563934326172,2026-07-19 14:32:10,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]","[1.0, 1.0, 1.0, 1.0]"
59fa1575,5,4,2,5.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,0.0,-0.4010776551920965,0.9878996922792642,,0.3460683291957023,,,,0.1956462860107422,38.69396615028381,True,38.49927997589111,0.0009503364562988281,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,0.2009282112121582,2026-07-19 14:32:10,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]","[1.0, 1.0, 1.0, 1.0]"
60ceba5d,5,4,2,10.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,0.0,-0.4010776551920965,0.9878996922792642,,0.3460683291957023,,,,0.35935354232788086,38.85773801803589,True,38.49927997589111,0.0008854866027832031,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,0.3644900321960449,2026-07-19 14:32:10,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]","[1.0, 1.0, 1.0, 1.0]"
70001b9b,5,4,1,25.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,0.3177665386684514,-0.08331111652364509,1.14678296161349,,0.40172627502296243,,,,0.38101673126220703,38.87907600402832,True,38.49927997589111,0.0012118816375732422,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,0.38681745529174805,2026-07-19 14:32:11,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]","[1.0, 1.0, 1.0, 1.0]"
ed386f55,8,8,1,5.0,False,True,"[1, 1, 1]",5.467166254526778,10.94347269163768,5.47173634581884,3.5722907750781636,3.256549020609683,3.346280938326409,2.798293318047335,0.5118361483392546,,0.0,-1.0959752405581487,2.798293318047335,,0.5118361483392546,,,,0.21759796142578125,3341.2612764835358,True,3341.050290584564,0.006600856781005859,0.0,3341.050290584564,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed42_L2_M1_standard.npz,0.2238166332244873,2026-07-19 14:32:11,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
bf1028b5,5,4,1,50.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,0.5414969604702251,0.14041930527812863,1.2586481725143768,,0.4409134586349715,,,,0.7770819664001465,39.27548551559448,True,38.49927997589111,0.0008664131164550781,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,0.7820825576782227,2026-07-19 14:32:11,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]","[1.0, 1.0, 1.0, 1.0]"
356a7d9c,5,4,2,25.0,False,True,"[1, 1, 1]",2.8546376797184614,5.709275158959567,2.8546375794797836,1.2434672209445516,1.6961746584414974,1.1884385198753125,0.9878996922792642,0.3460683291957023,,0.3485405727788651,-0.052537082413231406,1.1621699786686968,,0.40711645716920397,,,,0.9227347373962402,39.420918703079224,True,38.49927997589111,0.0010862350463867188,0.0,38.49927997589111,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,0.9286289215087891,2026-07-19 14:32:11,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]","[1.0, 1.0, 1.0, 1.0]"
6bf894bb,8,8,2,5.0,False,True,"[1, 1, 1]",5.467166254526778,10.94347269163768,5.47173634581884,3.5722907750781636,3.256549020609683,3.346280938326409,2.798293318047335,0.5118361483392546,,0.0,-1.0959752405581487,2.798293318047335,,0.5118361483392546,,,,0.3582136631011963,3341.4069883823395,True,3341.050290584564,0.001505136489868164,0.0,3341.050290584564,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed42_L2_M1_standard.npz,0.36389994621276855,2026-07-19 14:32:11,x86_64,dacsgpu0003,,64,64,3.11.15,0.25,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
57c36050,8,8,1,10.0,False,True,"[1, 1, 1]",5.467166254526778,10.94347269163768,5.47173634581884,3.5722907750781636,3.256549020609683,3.346280938326409,2.798293318047335,0.5118361483392546,,0.0,-1.0959752405581487,2.798293318047335,,0.5118361483392546,,,,0.35689806938171387,3341.405508518219,True,3341.050290584564,0.0016696453094482422,0.0,3341.050290584564,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed42_L2_M1_standard.npz,0.36298346519470215,2026-07-19 14:32:11,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,False,hamqaoa,0.001,standard,2,1,42,scs,1e-06,100000,False,False,False,hog,False,True,False,False,False,False,True,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,250,250,5,3,5,1,42,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
