log_file,file_n,repeat,hog_idx,original_hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error
sdp_n0_rep1_seednone.log,0,1,0,0,9,12,12,hog,0,False,False,False,12.000000000000021,,,,,,,,,,,,,,2026-07-01 15:12:35 CEST,,,
sdp_n1_rep1_seednone.log,1,1,1,1,11,15,15,hog,1,False,False,False,15.000000000000071,,,,,,,,,,,,,,2026-07-01 15:12:40 CEST,,,
sdp_n2_rep1_seednone.log,2,1,2,2,13,18,18,hog,2,False,False,False,18.000000000000036,,,,,,,,,,,,,,2026-07-01 15:12:35 CEST,,,
sdp_n3_rep1_seednone.log,3,1,3,3,8,24,24,hog,3,False,False,True,20.0,14.099547095486761,12.26113445189859,14.09954709548677,19.999993937936548,14,0.7049773547743381,0.6130567225949295,0.7049773547743385,0.9999996968968274,0.7,0.7049775684552757,0.7049775684552761,0.8333330807473561,2026-07-01 15:12:35 CEST,11m 30s,690.14,
sdp_n4_rep1_seednone.log,4,1,4,4,10,40,40,hog,4,False,False,False,29.999999999999982,,,,,,,,,,,,,,2026-07-01 15:12:35 CEST,,,
sdp_n5_rep1_seednone.log,5,1,5,5,6,10,10,hog,5,False,False,True,11.069784138804975,7.1309804032546,6.711278131417504,7.823463925610057,11.069784131737713,7,0.6441842328485021,0.6062700091767111,0.7067404230751901,0.9999999993615718,0.6323519873763027,0.6441842332597675,0.7067404235263931,1.1069784131737712,2026-07-01 15:12:40 CEST,1m 19s,79.33,
sdp_n6_rep1_seednone.log,6,1,6,6,8,23,23,hog,6,False,False,True,20.00000000000003,12.750433232411956,12.343354638449918,12.957423492225855,20.00000107684083,13,0.6375216616205969,0.6171677319224951,0.6478711746112918,1.0000000538420402,0.649999999999999,0.6375216272951318,0.6478711397285879,0.869565264210471,2026-07-01 15:12:35 CEST,12m 44s,764.45,
sdp_n7_rep1_seednone.log,7,1,7,7,10,38,38,hog,7,False,False,False,30.0,,,,,,,,,,,,,,2026-07-01 15:12:36 CEST,,,
sdp_n8_rep1_seednone.log,8,1,8,8,3,3,3,hog,8,False,False,True,3.0,1.8890262850699135,1.7825827817483648,1.8890262862217617,3.000000005981841,2,0.6296754283566378,0.5941942605827882,0.6296754287405872,1.000000001993947,0.6666666666666666,0.6296754271010985,0.6296754274850479,1.000000001993947,2026-07-01 15:12:36 CEST,1s,1.23,
sdp_n9_rep1_seednone.log,9,1,9,9,6,15,15,hog,9,False,False,True,12.000000000000004,8.823121549372173,7.422576448967277,8.823121549372173,12.000000017305183,8,0.7352601291143476,0.6185480374139396,0.7352601291143476,1.0000000014420982,0.6666666666666665,0.7352601280540302,0.7352601280540302,0.8000000011536789,2026-07-01 15:12:37 CEST,1m 27s,87.24,
sdp_n10_rep1_seednone.log,10,1,10,10,5,6,6,hog,10,False,False,True,7.999999999999999,5.5217491062881505,4.662490631923165,5.582349467453749,8.000000487574724,6,0.6902186382860189,0.5828113289903958,0.6977936834317188,1.0000000609468407,0.7500000000000001,0.6902185962193762,0.6977936409034009,1.3333334145957874,2026-07-01 15:12:37 CEST,25s,24.52,
sdp_n11_rep1_seednone.log,11,1,11,11,8,16,16,hog,11,False,False,True,20.00000000000005,14.073925095346423,11.66720093244932,14.946665360582207,19.999984437648177,8,0.7036962547673195,0.5833600466224645,0.7473332680291085,0.9999992218824063,0.399999999999999,0.7036968023261819,0.7473338495427252,1.249999027353011,2026-07-01 15:12:38 CEST,14m 41s,881.2,
sdp_n12_rep1_seednone.log,12,1,12,12,10,25,25,hog,12,False,False,False,30.000000000000068,,,,,,,,,,,,,,2026-07-01 15:12:39 CEST,,,
sdp_n13_rep1_seednone.log,13,1,13,13,7,6,6,hog,13,False,False,True,7.000000000000006,5.466968797033768,4.096833730209251,5.694346785799179,7.000000002114164,6,0.7809955424333948,0.5852619614584639,0.8134781122570248,1.0000000003020226,0.8571428571428564,0.7809955421975165,0.8134781120113361,1.1666666670190273,2026-07-01 15:12:40 CEST,3m 53s,233.47,
sdp_n14_rep1_seednone.log,14,1,14,14,11,10,10,hog,14,False,False,False,11.000000000000014,,,,,,,,,,,,,,2026-07-01 15:12:41 CEST,,,
sdp_n15_rep1_seednone.log,15,1,15,15,4,4,4,hog,15,False,False,True,5.999999999999995,3.568974283281089,3.5110496009226773,3.9448798186765734,5.999998077194724,4,0.5948290472135154,0.5851749334871134,0.6574799697794295,0.9999996795324549,0.6666666666666673,0.5948292378369809,0.6574801804804888,1.499999519298681,2026-07-01 15:12:42 CEST,6s,6.08,
