file,file_n,hog_idx,nodes,edges,finished,global_start_unix,global_start_readable,init_finish_unix,init_finish_readable,effective_start_unix,effective_start_readable,effective_end_unix_estimated,effective_end_readable_estimated,sdp_duration_seconds,sdp_duration_human,cache_save_seconds,abnormal
sdp_n0_rep1_seednone.log,0,0,8,11,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.2306378,2026-06-29 12:12:09 CEST,1782727929.2325225,2026-06-29 12:12:09 CEST,1782728885.6025224,2026-06-29 12:28:05 CEST,956.37,15m 56s,0.0085,
sdp_n1_rep1_seednone.log,1,1,8,9,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.2283676,2026-06-29 12:12:09 CEST,1782727929.2305787,2026-06-29 12:12:09 CEST,1782728738.3505785,2026-06-29 12:25:38 CEST,809.12,13m 29s,0.0059,
sdp_n2_rep1_seednone.log,2,2,8,16,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.2301493,2026-06-29 12:12:09 CEST,1782727929.2330358,2026-06-29 12:12:09 CEST,1782728793.9330359,2026-06-29 12:26:33 CEST,864.7,14m 25s,0.0057,
sdp_n3_rep1_seednone.log,3,3,8,12,True,1782727929.2230666,2026-06-29 12:12:09 CEST,1782727929.2284718,2026-06-29 12:12:09 CEST,1782727929.2314773,2026-06-29 12:12:09 CEST,1782728785.3614774,2026-06-29 12:26:25 CEST,856.13,14m 16s,0.0068,
sdp_n4_rep1_seednone.log,4,4,8,16,True,1782727929.2229347,2026-06-29 12:12:09 CEST,1782727929.2307951,2026-06-29 12:12:09 CEST,1782727929.233873,2026-06-29 12:12:09 CEST,1782728753.5738728,2026-06-29 12:25:53 CEST,824.34,13m 44s,0.0061,
sdp_n5_rep1_seednone.log,5,5,8,20,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.230983,2026-06-29 12:12:09 CEST,1782727929.2340019,2026-06-29 12:12:09 CEST,1782728790.914002,2026-06-29 12:26:30 CEST,861.68,14m 22s,0.0084,
sdp_n6_rep1_seednone.log,6,6,8,12,True,1782727929.2228813,2026-06-29 12:12:09 CEST,1782727929.2281377,2026-06-29 12:12:09 CEST,1782727929.231121,2026-06-29 12:12:09 CEST,1782728731.271121,2026-06-29 12:25:31 CEST,802.04,13m 22s,0.0074,
sdp_n7_rep1_seednone.log,7,7,8,15,True,1782727929.3912451,2026-06-29 12:12:09 CEST,1782727929.393361,2026-06-29 12:12:09 CEST,1782727929.3951907,2026-06-29 12:12:09 CEST,1782728756.4051907,2026-06-29 12:25:56 CEST,827.01,13m 47s,0.0083,
sdp_n8_rep1_seednone.log,8,8,8,16,True,1782728739.2448955,2026-06-29 12:25:39 CEST,1782728739.2617292,2026-06-29 12:25:39 CEST,1782728739.264921,2026-06-29 12:25:39 CEST,1782729691.214921,2026-06-29 12:41:31 CEST,951.95,15m 52s,0.0058,
sdp_n9_rep1_seednone.log,9,9,8,16,True,1782728743.4722981,2026-06-29 12:25:43 CEST,1782728743.4799175,2026-06-29 12:25:43 CEST,1782728743.4831462,2026-06-29 12:25:43 CEST,1782729564.083146,2026-06-29 12:39:24 CEST,820.6,13m 41s,0.0059,
sdp_n10_rep1_seednone.log,10,10,8,24,True,1782728761.4048,2026-06-29 12:26:01 CEST,1782728761.4083345,2026-06-29 12:26:01 CEST,1782728761.4115818,2026-06-29 12:26:01 CEST,1782729609.7315817,2026-06-29 12:40:09 CEST,848.32,14m 8s,0.0062,
sdp_n11_rep1_seednone.log,11,11,8,24,True,1782728761.8012302,2026-06-29 12:26:01 CEST,1782728761.8040993,2026-06-29 12:26:01 CEST,1782728761.807266,2026-06-29 12:26:01 CEST,1782729712.477266,2026-06-29 12:41:52 CEST,950.67,15m 51s,0.009,
sdp_n12_rep1_seednone.log,12,12,9,10,True,1782728791.5941813,2026-06-29 12:26:31 CEST,1782728791.5971951,2026-06-29 12:26:31 CEST,1782728791.600563,2026-06-29 12:26:31 CEST,1782731487.280563,2026-06-29 13:11:27 CEST,2695.68,44m 56s,0.008,
sdp_n13_rep1_seednone.log,13,13,9,18,True,1782728797.642554,2026-06-29 12:26:37 CEST,1782728797.6456907,2026-06-29 12:26:37 CEST,1782728797.6493762,2026-06-29 12:26:37 CEST,1782731047.3893762,2026-06-29 13:04:07 CEST,2249.74,37m 30s,0.0068,
sdp_n14_rep1_seednone.log,14,14,9,21,True,1782728797.7963028,2026-06-29 12:26:37 CEST,1782728797.7999947,2026-06-29 12:26:37 CEST,1782728797.803316,2026-06-29 12:26:37 CEST,1782731512.9933162,2026-06-29 13:11:52 CEST,2715.19,45m 15s,0.0079,
sdp_n15_rep1_seednone.log,15,15,9,18,True,1782728893.375713,2026-06-29 12:28:13 CEST,1782728893.3794065,2026-06-29 12:28:13 CEST,1782728893.3830152,2026-06-29 12:28:13 CEST,1782731414.433015,2026-06-29 13:10:14 CEST,2521.05,42m 1s,0.0087,
sdp_n16_rep1_seednone.log,16,16,9,14,True,1782729568.289866,2026-06-29 12:39:28 CEST,1782729568.2941463,2026-06-29 12:39:28 CEST,1782729568.2979236,2026-06-29 12:39:28 CEST,1782732249.0979235,2026-06-29 13:24:09 CEST,2680.8,44m 41s,0.0077,
sdp_n17_rep1_seednone.log,17,17,9,18,True,1782729615.061098,2026-06-29 12:40:15 CEST,1782729615.0647855,2026-06-29 12:40:15 CEST,1782729615.0683177,2026-06-29 12:40:15 CEST,1782732182.8583176,2026-06-29 13:23:02 CEST,2567.79,42m 48s,0.0082,
sdp_n18_rep1_seednone.log,18,18,9,18,True,1782729697.9814363,2026-06-29 12:41:37 CEST,1782729697.9849098,2026-06-29 12:41:37 CEST,1782729697.988375,2026-06-29 12:41:37 CEST,1782732320.038375,2026-06-29 13:25:20 CEST,2622.05,43m 42s,0.0106,
sdp_n19_rep1_seednone.log,19,19,9,18,True,1782729720.2965186,2026-06-29 12:42:00 CEST,1782729720.299411,2026-06-29 12:42:00 CEST,1782729720.301523,2026-06-29 12:42:00 CEST,1782732098.1615229,2026-06-29 13:21:38 CEST,2377.86,39m 38s,0.0077,
sdp_n20_rep1_seednone.log,20,20,9,27,True,1782731056.8369958,2026-06-29 13:04:16 CEST,1782731056.8411477,2026-06-29 13:04:16 CEST,1782731056.8436956,2026-06-29 13:04:16 CEST,1782733280.0836957,2026-06-29 13:41:20 CEST,2223.24,37m 3s,0.0103,
sdp_n21_rep1_seednone.log,21,21,9,27,True,1782731420.9663305,2026-06-29 13:10:20 CEST,1782731420.9699895,2026-06-29 13:10:20 CEST,1782731420.9736154,2026-06-29 13:10:20 CEST,1782733488.4436154,2026-06-29 13:44:48 CEST,2067.47,34m 27s,0.0092,
sdp_n22_rep1_seednone.log,22,22,10,9,True,1782731491.6946218,2026-06-29 13:11:31 CEST,1782731491.6980424,2026-06-29 13:11:31 CEST,1782731491.7010188,2026-06-29 13:11:31 CEST,1782738190.081019,2026-06-29 15:03:10 CEST,6698.38,1h 51m 38s,0.0132,
sdp_n23_rep1_seednone.log,23,23,10,21,True,1782731520.2859507,2026-06-29 13:12:00 CEST,1782731520.2889736,2026-06-29 13:12:00 CEST,1782731520.2921684,2026-06-29 13:12:00 CEST,1782738244.4521685,2026-06-29 15:04:04 CEST,6724.16,1h 52m 4s,0.0124,
sdp_n24_rep1_seednone.log,24,24,10,28,True,1782732103.701302,2026-06-29 13:21:43 CEST,1782732103.7050872,2026-06-29 13:21:43 CEST,1782732103.7090213,2026-06-29 13:21:43 CEST,1782738072.0390213,2026-06-29 15:01:12 CEST,5968.33,1h 39m 28s,0.0114,
sdp_n25_rep1_seednone.log,25,25,10,15,True,1782732192.3802874,2026-06-29 13:23:12 CEST,1782732192.383971,2026-06-29 13:23:12 CEST,1782732192.3878086,2026-06-29 13:23:12 CEST,1782738792.9578085,2026-06-29 15:13:12 CEST,6600.57,1h 50m 1s,0.0108,
sdp_n26_rep1_seednone.log,26,26,10,20,True,1782732257.0215101,2026-06-29 13:24:17 CEST,1782732257.0247805,2026-06-29 13:24:17 CEST,1782732257.0284522,2026-06-29 13:24:17 CEST,1782738108.838452,2026-06-29 15:01:48 CEST,5851.81,1h 37m 32s,0.015,
sdp_n27_rep1_seednone.log,27,27,10,25,True,1782732328.1583598,2026-06-29 13:25:28 CEST,1782732328.1618667,2026-06-29 13:25:28 CEST,1782732328.1660268,2026-06-29 13:25:28 CEST,1782738716.8860269,2026-06-29 15:11:56 CEST,6388.72,1h 46m 29s,0.0102,
sdp_n28_rep1_seednone.log,28,28,10,16,True,1782733286.8440123,2026-06-29 13:41:26 CEST,1782733286.847474,2026-06-29 13:41:26 CEST,1782733286.851199,2026-06-29 13:41:26 CEST,1782740106.6711988,2026-06-29 15:35:06 CEST,6819.82,1h 53m 40s,0.0104,
sdp_n29_rep1_seednone.log,29,29,10,21,True,1782733492.5587666,2026-06-29 13:44:52 CEST,1782733492.5624833,2026-06-29 13:44:52 CEST,1782733492.5649428,2026-06-29 13:44:52 CEST,1782740187.6649427,2026-06-29 15:36:27 CEST,6695.1,1h 51m 35s,0.01,
sdp_n30_rep1_seednone.log,30,30,10,20,True,1782738079.6610532,2026-06-29 15:01:19 CEST,1782738079.665006,2026-06-29 15:01:19 CEST,1782738079.6675718,2026-06-29 15:01:19 CEST,1782743396.6175718,2026-06-29 16:29:56 CEST,5316.95,1h 28m 37s,0.0106,
